Name,BirdID,Letter,Bird #,L-leg,R-leg,L-#,R-#,Location,Coordinates,Blood,Feathers,Age,Sex,Photo,WeightBird+bag,WeightBag,BirdWeight,LeftWing,RightWing,LcentralRetrix,RcentralRetrix,LeftTarsus,RightTarsus,BillLength,BillWidth,BillDepth,SkullLength,HCT1,HCT2,HCT3,Fat,SMI,Date,Time,Trapping method,Handler,Biometrics/blood,BloodProcessing,Other people present,Notes,AviaryEntryDate,AviaryReleaseDate,RadioFrequency,Tag death date
Abeja,A079YL,A,079,Y,L,CL19,CL04,Skyspace,,yes,yes,J,F,yes,165,74,91,141mm,142mm,13.5mm,11.4mm,36.5mm,36.1mm,30.5mm,7.8mm,9.7mm,32.0mm,-,-,-,3,90.39734265,16-Oct-2019,11:51-12:18,mist net,Melissa,Melissa,Kelsey,-,"brown bugs on inside of mouth, looks like mites or avian pox.",,,,
Adobo,A073OL,A,073,O,L,CL19,CL07,Matthews,,yes,yes,A,M,yes,216,73,143,164mm,163mm,124mm,124mm,44.4mm,45.0mm,37.7mm,9.2mm,11.9mm,35.5mm,41%,41%,41%,0,,7-Oct-2019,9:00 - 9:58,mist net,Melissa,Melissa,Kelsey,-,,07-Oct-2019,16 Dec 2019,148.231,9-Mar-2020 seen without his harness; Last seen with harness ~26-Feb-2020
Adobo,A073OL,A,073,O,L,CL19,CL07,Aviary,,yes,yes,A,M,yes,-,-,-,165mm,165mm,15.8mm,15.6mm,44.6mm,42.8mm,47.8mm,8.8mm,11.0mm,37.1mm,46%,46%,47%,4,,16-Dec-2019,11:24-12:20,aviary,Gus,Melissa,Kelsey,,,7-Oct-2019,16-Dec-2019,148.231,9-Mar-2020 seen without his harness; Last seen with harness ~26-Feb-2020
Ahumada Asada,A081LL,A,081,L,L,CL19,CL20,RBHL,,no,yes,A,F,yes,160,65,95,140mm,141mm,12.2mm,12.1mm,37.0mm,36.0mm,33.5mm,7.3mm,9.8mm,32.3mm,-,-,-,1,94.64377516,29-Oct-2019,10:27-11:45,mist net,Melissa,Melissa,Kelsey,-,,,,,
Al Pastor,A011-A,A,011,-,A,,CL26,Chompies,,yes,yes,A,M,yes,242,70,172,176mm,176mm,160mm,168mm,45.1mm,44.5mm,41.6mm,NA,NA,30.7mm,40%,40%,40%,,,1-May-2018,11:38a,Bownet,Zoe,Luisa,Carol,,"lower bill extends past top, see pic",,,,
Alma,A095GB,A,095,G,B,CL11,CL12,Skyspace,,yes,yes,A,F,yes,160,78,82,136mm,134mm,12.3mm,11.6mm,36.8mm,37.2mm,31.5mm,7.9mm,9.9mm,30.8mm,41%,39%,39%,0,83.03170161,23-Jan-2020,9:35 - 11:16,mist net,Melissa,Melissa,Kelsey,Emily released,,,,,
Aquaman,A047AY,A,047,A,Y,CL12,CL18,Light Rail,"33.420431, -111.927529",yes,yes,A,M,yes,222,75,147,170mm,170mm,164mm,169mm,39.1mm,39.2mm,36.6mm,NA,NA,33.0mm,31%,31%,31%,0,,26-Feb-2019,9:00a,bownet,Kelsey,Kelsey,Luisa,,keel pokey,,,,
Avocada,A046NG,A,046,N,G,CL10,CL17,Light Rail,"33.420082, -111.926550",yes,yes,A,F,yes,178,75,103,144mm,147mm,132mm,137mm,35.9mm,34.9mm,30.7mm,NA,NA,31.5mm,37%,36%,35%,0,101.1630429,14-Feb-2019,10:40a,mist net,Kelsey,Kelsey,Luisa,,keel muscular,14 Feb 19,14 Aug 19,,
Avocada,A046NG,A,046,N,G,CL10,CL17,Aviary,,yes,yes,A,F,yes,-,-,-,136mm,134mm,134mm,135mm,37.0mm,38.7mm,33.5mm,NA,NA,31.5mm,46%,46%,46%,0,,3-Jun-2019,10:13a,-,Kelsey/Amanda,Kelsey/Amanda,Luisa,-,"Broke her foot in a chair on 26 July. Took to Liberty Wildlife, but she had to be euthanized",14 Feb 19,03-June-19,149.29,8-Jul-0209
Azucara,A080KS,A,080,K,S,CL20,CL03,Skyspace,,yes,yes,J,F,yes,170,74,96,141mm,141mm,12.1mm,11.9mm,39.4mm,40.2mm,32.9mm,7.1mm,9.7mm,31.9mm,-,-,-,1,95.50178346,22-Oct-2019,12:53-2:08,mist net,Melissa,Melissa,Kelsey,-,cross bill,,,,
