Population,Site,ID,Bird,Sex,Age,TrialsToLearn,TrialsToReverse,TrialsToReverseNew,LociSolved,Notes
Sacramento,CA,C102OO,Flan,F,A,37,67,67,4,
Sacramento,CA,C104YS,Tembleque,M,A,27,39,39,4,
Sacramento,CA,C105AR,Polvorones,M,A,23,47,47,3,
Sacramento,CA,C107GY,Alegria,F,A,46,60,60,1,
Sacramento,CA,C109YY,Piña,F,A,46,77,77,4,
Sacramento,CA,C110GO,Camote,M,A,31,67,67,4,
Sacramento,CA,C112OR,Helado,M,A,29,82,82,4,
Sacramento,CA,C113SA,Zapote Negro,M,A,30,70,70,2,
Sacramento,CA,C116RY,Buñuelo,M,A,47,92,92,4,
Sacramento,CA,C117GA,Dulce de Leche,M,A,32,66,66,4,
Sacramento,CA,C118AR,Kau,M,A,38,N.A.,N.A.,2/2,Can't count doors A or D as being solved in MAB because they accidentally fell shut during habituation and could have been solved without us documenting them
Woodland,CA,C119AR,Galandra,F,J,50,96,96,3/3,Can't count door D as being solved in MAB because it accidentally fell shut during habituation and could have been solved without us documenting it
Woodland,CA,C120OS,Kel,F,A,61,N.A.,N.A.,3,
Sacramento,CA,C123SS,Wachil,F,J,N.A,N.A.,N.A.,1,
Woodland,CA,C124YA,Ak'xi',M,A,47,76,76,3,
Sacramento,CA,C125YO,Cuervo,M,J,31,49,49,4,
Sacramento,CA,C101AY,Xango,M,A,N.A.,N.A.,N.A.,0,
Sacramento,CA,C127OS,Talingo,M,A,N.A.,N.A.,N.A.,4,
Tempe,AZ,22,Tomatillo,M,A,40,50,50,N.A.,
Tempe,AZ,31,Queso,M,A,50,70,68,N.A.,
Tempe,AZ,42,Tapa,F,A,30,100,98,N.A.,
Tempe,AZ,87,Yuca,F,A,40,80,80,4,
Tempe,AZ,75,Marisco,M,A,40,50,48,2,
Tempe,AZ,88,Pizza,M,A,50,60,59,1,
Tempe,AZ,90,Mofongo,M,A,20,40,38,4,
Tempe,AZ,7,Taquito,M,A,90,160,159,4,
Tempe,AZ,25,Chalupa,F,A,50,90,90,N.A.,
Tempe,AZ,35,Mole,M,A,30,70,70,4,
Tempe,AZ,36,Habanero,M,A,50,80,78,N.A.,
Tempe,AZ,64,Diablo,M,A,20,80,80,1,
Tempe,AZ,68,Burrito,M,A,40,60,59,4,
Tempe,AZ,73,Adobo,M,A,50,100,100,4,
Tempe,AZ,86,Chilaquile,M,J,30,40,39,4,
Tempe,AZ,96,Pollito,M,A,40,60,58,3,
Tempe,AZ,70,Taco,M,J,40,80,78,4,
Tempe,AZ,43,Memela,F,A,50,60,59,N.A.,
Tempe,AZ,44,Fideo,M,A,60,70,70,N.A.,
Tempe,AZ,46,Avocada,F,A,50,100,99,N.A.,
Tempe,AZ,82,Pavo,M,A,N.A.,N.A.,N.A,N.A.,
Tempe,AZ,89,Huachinago,M,A,70,N.A.,N.A,N.A.,
Tempe,AZ,98,Guacamole,M,A,30,N.A.,N.A,N.A.,
