Bird,Place,Latitude,Longitude,Type,Age,Sex,AS
Abeja,Skyspace,33.4169,-111.9268,Resight,J,F,JF
Adobo,Matthews,33.4237069,-111.9348069,Resight,A,M,AM
Ahumada Asada,RBHL,33.4204,-111.9266,Resight,A,F,AF
Al Pastor,Chompies,33.4222,-111.919458,Trap,A,M,AM
Alma,Skyspace,33.4193933,-111.926715,Trap,A,F,AF
Aquaman,Light Rail,33.4189889,-111.9269,Resight,A,M,AM
Avocada,Light Rail,33.4196963,-111.9273431,Resight,A,F,AF
Azucara,Skyspace,33.4209751,-111.9356003,Resight,J,F,JF
Becky,Fulton Center,33.4223222,-111.9329,Resight,J,F,JF
Birria,Noble,33.418431,-111.930344,Resight,A,F,AF
Botana,Chompies,33.4222,-111.919458,Trap,A,F,AF
Burrito,Social Sciences,33.4235003,-111.9370884,Resight,A,M,AM
Calabazo,Daley Park,33.4103556,-111.934425,Resight,A,M,AM
Cebollita,Health Services,33.4218,-111.9327,Resight,A,F,AF
Cemita,SkySpace,33.4206,-111.927,Resight,A,F,AF
Ceviche,SkySpace,33.41867778,-111.9271389,Resight,A,F,AF
Chalupa,Wilson Hall,33.4187861,-111.9363444,Resight,A,F,AF
Chancaca,Light Rail,33.4208,-111.9257,Resight,A,F,AF
Chilaquile,Wilson,33.4183777,-111.9362607,Resight,A,M,AM
Chile,Psychology North,33.420273,-111.9308135,Resight,A,M,AM
Chimichanga,Matthews,33.4182833,-111.9368361,Resight,A,F,AF
Cochinita,Noble,33.41966111,-111.9303917,Resight,A,F,AF
Concha,Social Sciences,33.4217855,-111.9362107,Resight,A,F,AF
Conejita,SHESC,33.42081,-111.935553,Trap,J,F,JF
Crema,Light Rail,33.4207848,-111.9291276,Resight,A,F,AF
Cúrcuma,Crepe Club,33.420384,-111.931802,Trap,J,F,JF
Diablo,Social Sciences,33.4217172,-111.9355438,Resight,A,M,AM
Elote,Wrigley,33.4215984,-111.9361433,Resight,A,F,AF
Empanada,Chompies,33.4222,-111.919458,Trap,A,F,AF
Enchilada,SHESC,33.4203,-111.9363,Resight,A,F,AF
Ensalada,Wilson,33.418529,-111.937009,Trap,A,F,AF
Fajita,Chompies,33.422389,-111.931164,Resight,A,F,AF
Fideo,Light Rail,33.4188749,-111.9300296,Resight,A,M,AM
Flauta,Chompies,33.4222,-111.919458,Trap,A,F,AF
Fresca,Daley Park,33.409864,-111.934386,Trap,A,F,AF
Frijoles,Skyspace,33.416549,-111.9302667,Resight,A,F,AF
Galleta,Wilson,33.41757419,-111.9368562,Resight,A,F,AF
Gordita,East Athletic Field,33.424534,-111.925695,Trap,A,F,AF
Guacamole,Skyspace,33.4203357,-111.9249679,Resight,A,M,AM
Guapo,Chompies,33.4222137,-111.9200966,Resight,A,M,AM
Habanero,Daley Park,33.4105101,-111.933097,Resight,A,M,AM
Huachinango,Wrigley,33.4213725,-111.935414,Resight,A,M,AM
Jamaica,Wilson Hall,33.41851667,-111.9365389,Trap,A,F,AF
Kentucky,Wells Fargo Arena,33.424108,-111.930218,Trap,A,F,AF
Lechuga,Skyspace,33.4207967,-111.9260613,Resight,A,F,AF
Limon,Crepe Club,33.42357986,-111.9349941,Resight,A,F,AF
Mangonada,SkySpace,33.4183708,-111.9291382,Resight,A,F,AF
Marisco,RBHL,33.4162702,-111.9261172,Resight,A,M,AM
Memela,Lot 27,33.41596984,-111.9304204,Resight,A,F,AF
Migas,RBHL,33.4165,-111.9284,Resight,A,F,AF
Mixiote,Noble,33.4183556,-111.9296528,Resight,A,M,AM
Mofongo,Light Rail,33.4199646,-111.9264521,Resight,A,M,AM
Molé,Daley Park,33.4098865,-111.9347569,Resight,A,M,AM
Morada,Wilson,33.4222472,-111.9326444,Resight,J,F,JF
Nacho,Psychology North,33.42026944,-111.9291361,Resight,A,M,AM
Naranja,Old Main,33.42178611,-111.9304,Resight,A,F,AF
Nopal,Lot 27,33.4174842,-111.9302781,Resight,A,F,AF
Paella,Light Rail,33.42063907,-111.9273003,Resight,A,F,AF
Palomita,Psychology North,33.42,-111.928,Resight,A,F,AF
Pan Dulce,Skyspace,33.4168817,-111.9268268,Resight,J,F,JF
Papa,Chompies,33.4222,-111.919458,Trap,A,F,AF
Pavo,Light Rail,33.42059351,-111.9268393,Resight,A,M,AM
Peggy,Matthews,33.419998,-111.935177,Trap,A,F,AF
Pepino,Psychology North,33.4208562,-111.9301572,Resight,J,M,JM
Pernil,Skyspace,33.4179618,-111.9244683,Resight,A,M,AM
Picante,Armstrong,33.4179886,-111.9298541,Resight,A,M,AM
Pico,Wilson Hall,33.41851667,-111.9365389,Resight,A,M,AM
Pinto beans,Wells Fargo Arena,33.424108,-111.930218,Trap,A,F,AF
Pizza,Light Rail,33.4237691,-111.9244359,Resight,A,M,AM
Platana,Chompies,33.4222,-111.919458,Trap,A,F,AF
Pollito,Skyspace,33.419646,-111.9271263,Resight,A,M,AM
Pozole,Health Services,33.4217721,-111.935226,Resight,A,F,AF
Pupusa,Skyspace,33.4184003,-111.9268876,Resight,A,F,AF
Quesadilla,East Athletic Field,33.4226846,-111.9244274,Resight,A,F,AF
Queso,Packard,33.42515,-111.9278472,Resight,A,M,AM
Ranchera,Wilson,33.41817,-111.936097,Trap,A,F,AF
Roja,Noble,33.420061,-111.930255,Trap,J,F,JF
Salsa,Chompies,33.42280833,-111.9199056,Resight,A,F,AF
Shakira,Armstrong,33.418222,-111.929351,Trap,A,F,AF
Sincronizada,Old Main,33.4247194,-111.9291194,Resight,A,F,AF
Sofrita,USE,33.421847,-111.92941,Trap,J,F,JF
Taco,SHESC,33.416588,-111.92701,Resight,J,M,JM
Tajin,USE,33.421847,-111.92941,Trap,J,F,JF
Tamale,Wells Fargo Arena,33.424108,-111.930218,Trap,A,F,AF
Tapa,Lot 27,33.4186932,-111.9300709,Resight,A,F,AF
Taquito,Psychology North,33.420273,-111.9308135,Resight,A,M,AM
Tomatillo,Daley Park,33.4100722,-111.9345333,Resight,A,M,AM
Torta,Light Rail,33.419172,-111.9277172,Resight,A,F,AF
Tortilla,Old Main,33.4229833,-111.9308417,Resight,A,F,AF
Tostada,Old Main,33.42234167,-111.9331333,Resight,A,F,AF
Tripa,Armstrong,33.4175735,-111.929907,Resight,A,F,AF
Uva,Crepe Club,33.4207,-111.9254,Resight,J,F,JF
Yerba,Old Main,33.42039,-111.934051,Trap,A,F,AF
Yuca,Armstrong,33.4164832,-111.9260233,Resight,A,F,AF
