Bird,Location,Latitude,Longitude,Type,Sex,Age,AS
Xango,N. Bufferlands,38.4587669,-121.4861788,Resight,M,A,AM
Flan,N. Bufferlands,38.45909045,-121.4921141,Resight,F,A,AF
Churro,N. Bufferlands,38.4594298,-121.4914298,Resight,M,A,AM
Tembleque,Primary Medicine Associates,38.4605925,-121.49095,Resight,M,A,AM
Polvorones,N. Bufferlands,38.458511,-121.4857973,Resight,M,A,AM
Chocolate,N. Bufferlands,38.457249,-121.488399,Trap,F,A,AF
Alegria,N. Bufferlands,38.457249,-121.488399,Trap,F,A,AF
Sopapilla,N. Bufferlands,38.4664912,-121.4940635,Resight,F,A,AF
Pi–a,N. Bufferlands,38.4634763,-121.4945641,Resight,F,A,AF
Camote,N. Bufferlands,38.4573176,-121.4847763,Resight,M,A,AM
Tres Leches,N. Bufferlands,38.45788,-121.486325,Resight,F,A,AF
Helado,N. Bufferlands,38.4595217,-121.4908246,Resight,M,A,AM
Zapote Negro,N. Bufferlands,38.4561899,-121.4824049,Resight,M,A,AM
Merengue,N. Bufferlands,38.4575,-121.4867,Trap,M,A,AM
Carlota,N. Bufferlands,38.457699,-121.486173,Trap,F,A,AF
Bu–uelo,N. Bufferlands,38.459044,-121.4852779,Resight,M,A,AM
Dulce de Leche,N. Bufferlands,38.4562065,-121.4813429,Resight,M,A,AM
Kau,N. Bufferlands,38.4575105,-121.4905592,Resight,M,A,AM
Galandra,WWTS,38.4616709,-121.4920702,Resight,F,J,JF
Kel,WWTS,38.4627665,-121.4948999,Resight,M,A,AM
Wachil,N. Bufferlands,38.4562387,-121.4141453,Resight,F,J,JF
Ak'xi',WWTS,38.6610555,-121.7139041,Resight,M,A,AM
Cuervo,N. Bufferlands,38.4605411,-121.4923217,Resight,M,J,JM
Zanate,N. Bufferlands,38.45708,-121.490008,Trap,F,J,JF
Talingo,N. Bufferlands,38.4560457,-121.4126933,Resight,M,A,AM
Bacmut bacni,N. Bufferlands,38.4576984,-121.4126996,Resight,M,A,AM
Xunub,N. Bufferlands,38.4606205,-121.493124,Resight,M,A,AM
Changa,N. Bufferlands,38.456986,-121.490791,Trap,F,A,AF
Urraca,N. Bufferlands,38.4658745,-121.493245,Resight,M,A,AM
Cocinera,N. Bufferlands,38.457246,-121.488612,Trap,F,A,AF
Tzanatl preciosa,N. Bufferlands,38.4599362,-121.4916782,Resight,F,A,AF
Cutuy,N. Bufferlands,38.4593671,-121.4916563,Resight,F,A,AF
Quiscalus,N. Bufferlands,38.4554088,-121.4111248,Resight,F,A,AF
