VideoFileName,Trial,1CorrectChoice,2CorrectChoice,1LocusSolved,2LocusSolved,Coder1,Coder2
A064LR-2019-10-29 Coglog S1 T1,1,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-29 Coglog S2 T1,1,1,1,D,D,Maggie MacPherson,Brynna Hood
A064LR 2019-10-29 Coglog S2 T2,2,1,1,D,D,Maggie MacPherson,Brynna Hood
A064LR 2019-10-29 Coglog S2 T2,3,1,1,D,D,Maggie MacPherson,Brynna Hood
A064LR 2019-10-29 Coglog S2 T2,4,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-29 Coglog S3 T5,4,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-30 Coglog S4 T4,4,-1,0,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-30 Coglog S5 T5,4,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-31 Coglog S6 T4,4,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A064LR 2019-10-31 Coglog S7 T4,4,-1,-1,na,na,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,1,1,1,D,D,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,2,1,1,D,D,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,3,1,1,D,D,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,4,1,1,C,C,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,5,1,1,C,C,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,5,1,1,B,B,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,6,1,1,A,A,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,7,1,1,A,A,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,7,1,1,C,C,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,7,1,1,B,B,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,8,1,1,A,A,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,8,1,1,C,C,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,9,1,1,A,A,Maggie MacPherson,Brynna Hood
A073OL 2019-11-01 Coglog S1 T1.mp4,10,1,1,B,B,Maggie MacPherson,Brynna Hood
A073OL 2019-11-03 Coglog S2 T11.mp4,11,1,1,D,D,Kelsey McCune,Brynna Hood
A073OL 2019-11-03 Coglog S2 T11.mp4,12,1,1,A,A,Kelsey McCune,Brynna Hood
A073OL 2019-11-05 Coglog S3 T13.mp4,13,1,1,B,B,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,1,1,1,D,D,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,2,1,1,D,D,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,3,1,1,D,D,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,4,1,1,B,B,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,5,1,1,B,B,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,6,1,1,C,C,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,7,1,1,B,B,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,8,1,1,A,A,Maggie MacPherson,Brynna Hood
A087AG 2019-12-26 Coglog S1 T1,9,1,1,C,C,Maggie MacPherson,Brynna Hood
A087AG 2019-12-28 Coglog S2 T11,10,1,1,A,A,Maggie MacPherson,Brynna Hood
A087AG 2019-12-28 Coglog S2 T11,11,1,1,A,A,Maggie MacPherson,Brynna Hood
A087AG 2019-12-28 Coglog S2 T11,12,1,1,C,C,Maggie MacPherson,Brynna Hood
