VideoFileName,Trial,1CorrectChoice,2CorrectChoice,1LocusSolved,2LocusSolved,Coder1,Coder2,Notes
A025GO 2018-12-4 Multiaccess box S1 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-5 Multiaccess box S2 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-5 Multiaccess box S3 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-5 Multiaccess box S4 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-7 Multiaccess box S5 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-7 Multiaccess box S6 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-8 Multiaccess box S7 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-8 Multiaccess box S8 T1,1,-1,0,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-9 Multiaccess box S9 T1,1,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-9 Multiaccess box S10 T1,1,0,0,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-10 Multiaccess box S11 T2,2,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-10 Multiaccess box S12 T2,2,0,0,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-10 Multiaccess box S13 T3,3,0,0,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-11 Multiaccess box S14 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-11 Multiaccess box S15 T4,4,1,1,String,String,Corina Logan,Tiana Lam,
A025GO 2018-12-11 Multiaccess box S15 T5,5,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-12 Multiaccess box S16 T5,5,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-12 Multiaccess box S17 T5,5,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-13 Multiaccess box S18 T5,5,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-13 Multiaccess box S19 T5,5,1,1,String,String,Corina Logan,Tiana Lam,
A025GO 2018-12-13 Multiaccess box S19 T6,6,-1,0,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-14 Multiaccess box S20 T7,7,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-14 Multiaccess box S21 T7,7,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-14 Multiaccess box S22 T7,7,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-17 Multiaccess box S23 T7,7,-1,-1,None,None,Corina Logan,Tiana Lam,
A025GO 2018-12-17 Multiaccess box S24 T7,7,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-20 Multiaccess box S1 T1,1,1,1,Twist,Twist,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-20 Multiaccess box S1 T2,2,0,0,None,None,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-20 Multiaccess box S2 T3,3,-1,-1,None,None,Kelsey McCune,Tiana Lam,
A031-Y 2018-12-21 Multiaccess box S3 T3,3,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-21 Multiaccess box S4 T3,3,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-24 Multiaccess box S5 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-25 Multiaccess box S6 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-26 Multiaccess box S7 T4,4,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S8 T4,4,-1,0,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T4,4,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T5,5,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T6,6,1,1,Twist,Twist,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-27 Multiaccess box S9 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-28 Multiaccess box S10 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-28 Multiaccess box S11 T7,7,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T7,7,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T8,8,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-30 Multiaccess box S12 T9,9,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S13 T9,9,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S13 T10,10,-1,-1,None,None,Corina Logan,Tiana Lam,
A031-Y 2018-12-31 Multiaccess box S14 T10,10,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T11,11,0,1,None,String,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T12,12,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T13,13,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S15 T14,14,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T15,15,1,1,Push,Push,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T16,16,0,0,None,None,Corina Logan,Tiana Lam,
A031-Y 2019-01-01 Multiaccess box S16 T17,17,1,1,Push,Push,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S17 T17,18,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S17 T18,18,1,1,String,String,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S18 T18,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-02 Multiaccess box S18 T19,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A031-Y 2019-01-03 Multiaccess box S19 T19,19,-1,-1,None,None,Luisa Bergeron,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T1,1,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T2,2,1,1,Push,Push,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T3,3,1,1,Twist,Twist,Kelsey McCune,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T4,4,1,1,Push,String,Kelsey McCune,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T5,5,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T6,6,1,1,Push,Push,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T7,7,1,1,Push,Push,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T8,8,1,1,Push,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T9,9,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-18 Multiaccess box S1 T10,10,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-19 Multiaccess box S2 T11,11,1,1,Push,Push,Corina Logan,Tiana Lam,
A036R 2018-12-19 Multiaccess box S2 T12,12,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-19 Multiaccess box S2 T13,13,1,1,Twist,Twist,Corina Logan,Tiana Lam,
A036R 2018-12-19 Multiaccess box S2 T14,14,0,0,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-20 Multiaccess box S3 T15,15,0,0,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-20 Multiaccess box S4 T16,16,0,0,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S5 T17,17,1,1,String,String,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S5 T18,18,1,1,String,String,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S5 T19,19,0,-1,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S6 T20,20,1,1,String,String,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S6 T21,21,1,1,String,String,Corina Logan,Tiana Lam,
A036R 2018-12-21 Multiaccess box S6 T22,22,0,0,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-22 Multiaccess box S7 T23,23,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-22 Multiaccess box S7 T24,24,1,0,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-22 Multiaccess box S7 T25,25,-1,-1,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-24 Multiaccess box S8 T25,25,1,0,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-24 Multiaccess box S8 T26,26,0,0,Window,None,Corina Logan,Tiana Lam,
A036R 2018-12-25 Multiaccess box S9 T27,27,0,0,Window,None,Corina Logan,Tiana Lam,
A036R 2018-12-25 Multiaccess box S10 T28,28,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-25 Multiaccess box S10 T29,29,1,0,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-25 Multiaccess box S10 T30,30,-1,-1,None,None,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T31,31,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T32,32,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T33,33,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T34,34,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T35,35,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T36,36,1,1,Window,Window,Corina Logan,Tiana Lam,
A036R 2018-12-26 Multiaccess box S11 T37,37,1,1,Window,Window,Corina Logan,Tiana Lam,
NO video for A036R for this trial,38,1,1,Window,Window,Corina Logan,NA,"This video was accidentally never recorded, therefore Logan used the experimenter’s data for Coder 2 to prevent the missing data from counting against Coder 2"
NO video for A036R for this trial,39,1,1,Window,Window,Corina Logan,NA,"This video was accidentally never recorded, therefore Logan used the experimenter’s data for Coder 2 to prevent the missing data from counting against Coder 2"
