VideoFileName,1HeadEnteredHopper,2HeadEnteredHopper,Coder1,Coder2,Notes
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,1,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-20 Causal Test Observe S1 T1.mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,1,1,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 1).mp4Â,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 2).mp4,0,0,Maggie MacPherson,Sierra Planck,
A064LR 2019-12-19 Causal Test Intervene S1 T1 (pt. 2).mp4,0,0,Maggie MacPherson,Sierra Planck,
A087AG 2020-01-22 Causal Test Intervene S1 T1.mp4,0,0,Maggie MacPherson,Sierra Planck,
A087AG 2020-01-22 Causal Test Intervene S1 T1.mp4,0,0,Maggie MacPherson,Sierra Planck,
A087AG 2020-01-22 Causal Test Intervene S1 T1.mp4,0,0,Maggie MacPherson,Sierra Planck,
A087AG 2020-01-22 Causal Test Intervene S1 T1.mp4,1,1,Maggie MacPherson,Sierra Planck,
