BirdID,VideoFileName,Experiment,Trial,Coder1latencyland,Coder1closestdistancetoapparatus,Coder2latencyland,Coder2closestdistrancetoapparatus,"Notes: coder 1=Mar Kelsey, coder 2=May Kelsey"
A023OY,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,Boldness,1,330,n/a,330,n/a,
A023OY,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,Boldness,2,n/a,Far,n/a,Far,
A023OY,A021-K & A026PP & A023OY 2019-1-29 Boldness Time1 C1,Boldness,3,n/a,n/a,n/a,n/a,
A051KG,"A051KG, A058BS 2019-12-11 Boldness Time1 C2 T1-T3",Boldness,2,720,Far,660,Far,
A051KG,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",Boldness,1,600,n/a,600,n/a,
A051KG,"A051KG, A058BS 2019-12-19 Boldness Time1 C1 T1-T3",Boldness,2,n/a,Far,n/a,Far,
A071OK,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",Boldness,1,n/a,n/a,n/a,n/a,
A071OK,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",Boldness,2,660,Far,660,Far,
A071OK,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",Boldness,3,180,n/a,180,n/a,
A007-S,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",Exploration,FamObj,15,Far,15,Far,
A007-S,A007-S & A009-L 2019-01-8 ExploreObj Time1 Novel S1,Exploration,NovObj,1200,Far,1200,Far,
A032RR,"A007-S, A009-L, A018BB, A032RR 2019-1-4 ExploreObj Time1 Familiar S1",Exploration,FamObj,40,Near,40,Near,
