Experiment,Video file name,Coder1,Coder2,Coder1TimeStamp,Coder2TimeStamp,Behavior,Notes
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PeckVert,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PeckHorz,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PeckUpDown,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PeckOnTop,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PushVert,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PushHorz,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PushUpDown,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PushOnTop,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PullVert,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PullHorz,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PullUpDown,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,PullOnTop,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GrabVert,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GrabHorz,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GrabUpDown,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GrabOnTop,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),No,No,,,GapeVert,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GapeHorz,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,GapeUpDown,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),No,No,,,GapeOnTop,
Motor,A073OL 2019-11-28 ExploreEnv Time2 Novel T1 (pt. 1),Yes,Yes,,,StandOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PeckVert,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PeckHorz,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PeckUpDown,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PeckOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PushVert,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PushHorz,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PushUpDown,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,PushOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PullVert,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,PullHorz,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,Yes,,,PullUpDown,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,PullOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,GrabVert,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,GrabHorz,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,GrabUpDown,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,GrabOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,GapeVert,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,GapeHorz,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,GapeUpDown,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,No,No,,,GapeOnTop,
Motor,A073OL 2019-10-25 ExploreEnv Time1 Novel T1,Yes,Yes,,,StandOnTop,
Persistence,A035P- 2018-12-27 ExploreEnv Time1 Novel T1,51,51,,,Touch,"For Persistence, Alexis Breen (Coder1) removed touches that Vincent Kiepsch (Coder2) scored that were NOT directed to the focal object (after clarifying this piece of the instructions with him)"
