Date,"FocalFollowNumber, Bird ID",1NumberDifferentFoodsEaten,2NumberDifferentFoodsEaten,1NumberForagingTechniques,2NumberForagingTechniques,1NumberAffiliativeInteractions,2NumberAffiliativeInteractions,1NumberAggressiveInteractions,2NumberAggressiveInteractions,1NumberTimesSubjectInitiatedAggression,2NumberTimesSubjectInitiatedAggression,1Microhabitat,2Microhabitat,1GroupSize,2GroupSize,Coder1,Coder2,1Notes,2Notes
2-Mar-21,FF UBF1,0,1,0,0,17,15,0,1,0,1,tree,tree,1,1,KM,CLR,,
2-Mar-21,FF UBF2,1,1,0,0,8,10,1,0,1,0,NA,building,NA,1,KM,CLR,Voice memo cut off before KM said substrate and group size; These data not used in calculation of ICC,
2-Mar-21,FF Sopapilla,0,0,0,0,10,7,4,3,4,3,tree,tree,1,1,KM,CLR,,
2-Mar-21,FF UBM3,0,0,0,0,2,2,0,0,0,0,tree,tree,2,2,KM,CLR,Counted solicitation as an additional affiliative interactions to the vicinity.,
2-Mar-21,FF UBF4,1,1,1,0,2,4,0,0,0,0,concrete,concrete,2,2,KM,CLR,,
2-Mar-21,FF UBM5,1,1,0,0,4,4,6,4,6,4,concrete,concrete,1,1,KM,CLR,,
3-Mar-21,FF UBM1,0,0,0,0,4,5,17,11,16,11,tree,tree,1,1,KM,CLR,,
3-Mar-21,FF UBF2,0,0,1,0,10,9,1,1,0,0,light,light,2,2,KM,CLR,,
3-Mar-21,FF UBM3,0,0,0,0,7,7,16,16,16,16,light,light,2,2,KM,CLR,,
3-Mar-21,FF UBF4,0,0,0,0,4,4,0,0,0,0,tree,tree,1,1,KM,CLR,,
3-Mar-21,FF UBF5,0,0,1,1,8,10,1,1,1,1,rock,rock,2,2,KM,CLR,,
3-Mar-21,FF UBM6,0,NA,0,NA,9,NA,38,NA,38,NA,grass,grass,6,6,KM,CLR,,"Phone turned off during recording, missed at least a few minutes of interactions; These data not used in calculation of ICC"
3-Mar-21,FF UBF7,2,2,3,4,11,18,2,0,1,1,mulch,mulch,2,2,KM,CLR,,
4-Mar-21,FF UBM1,0,0,0,0,0,0,0,0,0,0,tree,tree,1,1,KM,CLR,,
4-Mar-21,FF UBM2,0,0,2,2,12,12,5,3,5,3,building,building,1,1,KM,CLR,,
4-Mar-21,FF UBF3,0,0,0,0,10,11,4,3,3,2,tree,tree,2,2,KM,CLR,,
4-Mar-21,FF UBF4,1,1,0,0,0,0,0,0,0,0,tree,tree,1,1,KM,CLR,,
