Bird,Experiment,NoMotorActionsCoder1,NoMotorActionsCoder2,Action,ActionPresentCoder1,ActionPresentCoder2,MotCoder1,MotCoder2
Tomatillo,Exploration Environment,6,5,PeckVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PeckHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PeckOnTop,Yes,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PullVert,No,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PullHorz,Yes,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GrabHorz,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Environment,,,StandOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,3,4,PeckVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PeckHorz,No,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PeckOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Exploration Object,,,StandOnTop,Yes,Yes,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,0,0,PeckVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PeckHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PeckOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,Boldness,,,StandOnTop,No,No,Vincent Kiepsch,Alexis Breen
Tomatillo,MAB Plastic,13,13,PeckVert,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PeckHorz,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PeckUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PeckOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PushVert,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PushHorz,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PushUpDown,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PushOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PullVert,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PullHorz,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PullUpDown,Yes,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,PullOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GrabVert,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GrabHorz,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GrabUpDown,No,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GrabOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GapeVert,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GapeHorz,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GapeUpDown,Yes,Yes,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,GapeOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Plastic,,,StandOnTop,No,No,Sierra Planck,Alexis Breen
Tomatillo,MAB Log,NA,NA,,,,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,0,0,PeckVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PeckHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PeckOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PullVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PullHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PullUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,PullOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GrabVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GrabHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GrabUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GrabOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GapeVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GapeHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GapeUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,GapeOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Environment,,,StandOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,2,1,PeckVert,Yes,Yes,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PeckHorz,Yes,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PeckUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PeckOnTop,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PushVert,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PushHorz,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PushUpDown,No,No,Vincent Kiepsch,Alexis Breen
Queso,Exploration Object,,,PushOnTop,No,No,Vincent Kiepsch,Alexis Breen
