Bird,Experiment,NoTouchesFunctionalCoder1,NoTouchesFunctionalCoder2,NoTouchesNonFunctionalCoder1,NoTouchesNonFunctionalCoder2,PerCoder1,PerCoder2
Tomatillo,Exploration Environment,15,22,NA,NA,Alexis Breen,Vincent Kiepsch
Tomatillo,Exploration Object,51,51,NA,NA,Alexis Breen,Vincent Kiepsch
Tomatillo,Boldness,0,0,NA,NA,Alexis Breen,Vincent Kiepsch
Tomatillo,MAB Plastic,29,14,22,35,Alexis Breen,Sierra Planck
Tomatillo,MAB Log,NA,NA,NA,NA,NA,NA
Queso,Exploration Environment,0,0,NA,NA,Alexis Breen,Vincent Kiepsch
Queso,Exploration Object,16,17,NA,NA,Vincent Kiepsch,Vincent Kiepsch
Queso,Boldness,0,0,NA,NA,Vincent Kiepsch,Vincent Kiepsch
Queso,MAB Plastic,50,40,9,16,Alexis Breen,Sierra Planck
Queso,MAB Log,NA,NA,NA,NA,NA,NA
Mole,Exploration Environment,51,50,NA,NA,Alexis Breen,Vincent Kiepsch
Mole,Exploration Object,22,0,NA,NA,Alexis Breen,Vincent Kiepsch
Mole,Boldness,51,0,NA,NA,Alexis Breen,Vincent Kiepsch
Mole,MAB Plastic,35,25,16,25,Alexis Breen,Sierra Planck
Mole,MAB Log,42,39,8,12,Sierra Planck,Vincent Kiepsch
Habanero,Exploration Environment,0,1,NA,NA,Alexis Breen,Vincent Kiepsch
Habanero,Exploration Object,7,7,NA,NA,Alexis Breen,Vincent Kiepsch
Habanero,Boldness,0,0,NA,NA,Alexis Breen,Vincent Kiepsch
Habanero,MAB Plastic,51,46,2,5,Sierra Planck,Vincent Kiepsch
Habanero,MAB Log,43,38,7,13,Sierra Planck,Vincent Kiepsch
