CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Session,IndicatedTrial,TrialBeginTimeStamp,TimeFirstTouchToApparatus,ChoiceTimeStamp,1CorrectChoice,"2CorrectChoice(1=yes, 0=no, -1=did not touch apparatus)",1LocusSolved,2LocusSolved,GetFoodOnFirstTouchToLocus,TimeApparatusRemoved,Notes
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S1 T1,2021-01-31,KM,C102OO,1,1,0:35,0:59,1:09,1,1,D,D,no,1:33,"Column starting with 1=live coder data, column starting with 2=video coder (Lea) data"
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S1 T1,2021-01-31,KM,C102OO,1,2,1:57,2:09,2:09,1,1,D,D,yes,2:38,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S1 T1,2021-01-31,KM,C102OO,1,3,2:50,3:01,3:04,1,1,D,D,no,3:18,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S1 T1,2021-01-31,KM,C102OO,1,4,3:33,3:56,12:27,1,1,C,C,no,13:23,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,5,0:43,1:07,1:29,1,1,C,C,no,2:22,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,6,2:43,2:47,3:24,1,1,C,C,no,3:59,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,7,4:10,4:23,13:25,1,1,A,A,no,14:05,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,8,14:17,14:29,17:27,1,1,B,B,no,18:04,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,9,18:18,18:42,19:55,1,1,B,B,no,20:28,
2021-07-27,Lea Gihlein,C102OO 2021-01-31 MABlog S2 T5,2021-01-31,KM,C102OO,2,10,20:48,21:05,22:36,1,1,B,B,no,23:07,
2021-07-27,Lea Gihlein,C102OO 2021-02-01 MABlog S3 T11,2021-02-01,ZM,C102OO,3,11,0:32,0:41,1:59,1,1,A,A,no,2:43,
2021-07-27,Lea Gihlein,C102OO 2021-02-01 MABlog S3 T11,2021-02-01,ZM,C102OO,3,12,2:49,3:09,3:25,1,1,A,A,yes,4:03,
2021-08-02,Lea Gihlein,C105AR 2021-01-27 MABlog S1 T1,2021-01-27,ZM,C105AR,1,1,1:09,1:55,NA,0,0,NA,NA,NA,16:32,
2021-08-02,Lea Gihlein,C105AR 2021-01-27 MABlog S2 T2,2021-01-27,ZM,C105AR,2,2,0:59,1:48,1:48,1,1,D,D,yes,2:03,
2021-08-02,Lea Gihlein,C105AR 2021-01-27 MABlog S2 T2,2021-01-27,ZM,C105AR,2,3,2:19,3:14,6:33,1,1,D,D,yes,7:08,
2021-08-02,Lea Gihlein,C105AR 2021-01-27 MABlog S2 T2,2021-01-27,ZM,C105AR,2,4,7:20,8:14,8:14,1,1,D,D,yes,8:31,
2021-08-02,Lea Gihlein,C105AR 2021-01-27 MABlog S2 T2,2021-01-27,ZM,C105AR,2,5,8:47,NA,NA,0,-1,NA,NA,NA,19:49,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S3 T6,2021-01-28,KM,C105AR,3,6,0:53,1:22,1:23,1,1,A,A,no,1:52,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S3 T6,2021-01-28,KM,C105AR,3,7,2:01,2:21,2:23,1,1,A,A,no,2:41,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S3 T6,2021-01-28,KM,C105AR,3,8,2:52,3:11,3:12,1,1,A,A,no,3:28,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S3 T6,2021-01-28,KM,C105AR,3,9,3:35,8:56,NA,0,0,NA,NA,NA,14:37,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S4 T10,2021-01-28,KM,C105AR,4,10,0:26,1:04,1:05,1,1,B,B,no,1:53,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S4 T10,2021-01-28,KM,C105AR,4,11,2:04,2:45,2:45,1,1,B,B,yes,3:09,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S4 T10,2021-01-28,KM,C105AR,4,12,3:17,3:52,3:52,1,1,B,B,yes,4:12,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S4 T10,2021-01-28,KM,C105AR,4,13,4:21,5:16,NA,0,0,NA,NA,NA,13:49,
2021-08-02,Lea Gihlein,C105AR 2021-01-28 MABlog S4 T10,2021-01-28,KM,C105AR,4,14,14:00,15:10,NA,0,0,NA,NA,NA,18:53,
2021-08-02,Lea Gihlein,C105AR 2021-01-29 MABlog S5 T15,2021-01-29,ZM,C105AR,5,15,0:37,NA,NA,0,-1,NA,NA,NA,17:52,
2021-08-06,Lea Gihlein,C107GY 2021-04-23 MABlog S1 T1,2021-04-23,ZM,C107GY,1,1,0:29,1:12,1:12,1,1,D,D,yes,1:29,
2021-08-06,Lea Gihlein,C107GY 2021-04-23 MABlog S1 T1,2021-04-23,ZM,C107GY,1,2,1:37,2:20,NA,0,0,NA,NA,NA,12:43,
2021-08-06,Lea Gihlein,C107GY 2021-04-25 MABlog S2 T3,2021-04-25,KM,C107GY,2,3,0:29,5:10,6:25,1,1,D,D,no,6:46,
2021-08-06,Lea Gihlein,C107GY 2021-04-25 MABlog S2 T3,2021-04-25,KM,C107GY,2,4,6:50,7:05,7:05,1,1,D,D,yes,7:24,
2021-08-06,Lea Gihlein,C107GY 2021-04-25 MABlog S2 T3,2021-04-25,KM,C107GY,2,5,7:51,NA,NA,-1,-1,NA,NA,NA,14:50,
2021-08-06,Lea Gihlein,C107GY 2021-04-26 MABlog S3 T5,2021-04-26,ZM,C107GY,3,5,0:29,4:17,NA,0,0,NA,NA,NA,17:12,
2021-08-06,Lea Gihlein,C107GY 2021-04-27 MABlog S4 T6,2021-04-27,ZM,C107GY,4,6,0:43,NA,NA,-1,-1,NA,NA,NA,12:34,
