VideoFileName,BreenLatencyFirstLand,BreenTimeentertent,BreenClosestdistancetoapparatus,KiepschLatencyFirstLand,KiepschTimeentertent,KiepschClosestdistancetoapparatus
C102OO 2021-01-25 ExpEnv fam T1 pt1,960,1272.8,Near,960,1273,Near
C102OO 2021-01-25 ExpEnv fam T1 pt2,422.4,484.6,Near,422.4,484.2,Near
C102OO 2021-01-25 ExpEnv nov T1 pt1,1047.6,n/a,Near,1049.2,n/a,Far
C102OO 2021-01-25 ExpEnv nov T1 pt2,0,n/a,Near,0,n/a,Near
C102OO 2021-02-01 ExpEnv fam T2 pt1,7.4,94.4,Near,7.2,94.4,Near
C102OO 2021-02-01 ExpEnv fam T2 pt2,396.6,n/a,Near,396.4,n/a,Near
C102OO 2021-02-01 ExpEnv nov T2 pt1,372.6,n/a,Near,372.6,n/a,Near
C102OO 2021-02-01 ExpEnv nov T2 pt2,364.4,n/a,Far,364.4,n/a,Far
C105AR 2021-02-08 ExpEnv fam T1 pt1,623.8,668.8,Near,623.8,668.8,Near
C105AR 2021-02-08 ExpEnv fam T1 pt2,0,n/a,OutOfView,0,n/a,OutOfView
C105AR 2021-02-08 ExpEnv nov T1 pt1,594.2,n/a,Near,594.2,n/a,Near
C105AR 2021-02-08 ExpEnv nov T1 pt2,0,n/a,OutOfView,0,n/a,OutOfView
C105AR 2021-02-15 ExpEnv fam T2 pt1,218,218.8,Near,218,219.6,Near
C105AR 2021-02-15 ExpEnv fam T2 pt2,0,n/a,Near,0,n/a,Near
C105AR 2021-02-15 ExpEnv nov T2 pt1,814.2,n/a,Near,813.4,n/a,Near
C105AR 2021-02-15 ExpEnv nov T2 pt2,143.4,n/a,Far,143.6,n/a,Far
C107GY 2021-01-22 ExpEnv fam T1 pt1,286.2,716.2,Near,285.8,716,Near
C107GY 2021-01-22 ExpEnv fam T1 pt2,208.2,n/a,Near,0,n/a,Near
C107GY 2021-01-22 ExpEnv nov T1 pt1,672,n/a,Far,716.4,n/a,Far
C107GY 2021-01-22 ExpEnv nov T1 pt2,231.6,n/a,Far,231.8,n/a,Far
C107GY 2021-01-31 ExpEnv fam T2 pt1,317.4,317.4,Near,317,317.2,Near
C107GY 2021-01-31 ExpEnv fam T2 pt2,14,14,Near,14,14.2,Near
C107GY 2021-01-31 ExpEnv nov T2 pt1,1464.8,n/a,Far,1465,n/a,Far
C107GY 2021-01-31 ExpEnv nov T2 pt2,232,n/a,Far,232.2,n/a,Far
C110GO 2021-02-28 ExpEnv fam T1,309.2,309.2,Near,309.2,325,Near
C110GO 2021-02-28 ExpEnv nov T1,0,n/a,OutOfView,0,n/a,Out of view
C110GO 2021-03-07 ExpEnv fam T2,413,413,Near,413,412.8,Near
C110GO 2021-03-07 ExpEnv nov T2,2537,n/a,Far,2536.8,n/a,Far
C112OR 2021-03-09 ExpEnv fam T1 ,107.2,116,Near,107.4,116,Near
C112OR 2021-03-09 ExpEnv nov T1 ,2640.2,n/a,Far,2640,n/a,Far
C112OR 2021-03-16 ExpEnv fam T2,37.6,101.6,Near,37.8,38,Near
C112OR 2021-03-16 ExpEnv nov T2,0,n/a,OutOfView,0,n/a,Out of view
