BirdNumber,VideoFileName,TrialDate,Reversal,RewardedColor,1Session,2Session,1Trial,2Trial,ChoiceTimeStamp,1CorrectChoice,2CorrectChoice,Coder1,Coder2,Notes
A064LR,A064LR 2019-09-25 Color Reversal 0 S1 T1,2019-09-25,0,dark gray,1,1,1,1,0:56,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S1 T2,2019-09-25,0,dark gray,1,1,2,2,NA,-1,-1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,2,2,0:35,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,3,3,1:34,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,4,4,2:33,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,5,5,4:15,0,0,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,6,6,5:54,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,7,7,10:07,1,1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S2 T2,2019-09-25,0,dark gray,2,2,8,8,NA,-1,-1,CL,Lea Gihlein,
A064LR,A064LR 2019-09-25 Color Reversal 0 S3 T8,2019-09-25,0,dark gray,3,3,8,8,NA,-1,-1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,10,10,0:43,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,11,11,2:12,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,12,12,3:41,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,13,13,5:23,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,14,14,6:50,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,15,15,8:22,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,16,16,9:37,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,17,17,10:50,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,18,18,12:04,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,19,19,17:00,1,1,MM,Lea Gihlein,
A064LR,A064LR 2019-09-26 Color Reversal 0 S6 T10,2019-09-26,0,dark gray,6,6,20,20,18:16,1,1,MM,Lea Gihlein,
