BirdNumber,VideoFileName,TrialDate,Reversal,RewardedColor,1Session,2Session,1Trial,2Trial,ChoiceTimeStamp,1CorrectChoice,2CorrectChoice,Coder1,Coder2,Video coder notes
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,1,1,0:51,0,0,KM,Lea Gihlein,All videos in this sheet coded in June and July 2021
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,2,2,2:06,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,3,3,3:12,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,4,4,4:04,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,5,5,4:46,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,6,6,5:38,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,7,7,6:28,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,8,8,7:07,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,9,9,7:48,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,10,10,8:53,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,11,11,9:48,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,12,12,10:40,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,13,13,11:42,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,14,14,12:22,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,15,15,13:32,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,16,16,15:04,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-24 Reversal 0 S1 T1,2021-01-24,0,dark gray,1,1,17,17,16:54,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,18,18,0:35,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,19,19,2:08,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,20,20,3:50,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,21,21,5:56,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,22,22,7:47,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,23,23,9:49,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,24,24,11:39,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,25,25,12:57,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,26,26,14:30,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S2 T18,2021-01-25,0,dark gray,2,2,27,27,18:30,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,28,28,1:50,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,29,29,3:23,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,30,30,4:34,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,31,31,5:40,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,32,32,6:47,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,33,33,8:05,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,34,34,9:45,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,35,35,11:15,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,36,36,13:34,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,37,37,15:47,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,38,38,16:58,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,39,39,18:23,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-25 Reversal 0 S3 T28,2021-01-25,0,dark gray,3,3,40,40,19:51,1,1,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,1,1,0:48,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,2,2,2:09,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,3,3,3:26,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,4,4,4:36,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,5,5,5:50,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,6,6,6:57,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,7,7,8:20,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,8,8,9:36,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,9,9,10:51,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S1 T1,2021-01-26,1,light gray,1,1,10,10,17:26,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,11,11,1:46,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,12,12,3:07,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,13,13,4:34,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,14,14,5:41,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,15,15,6:59,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,16,16,8:12,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,17,17,9:18,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,18,18,10:32,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,19,19,11:48,0,0,ZM,Lea Gihlein,looked at both
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,20,20,13:33,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,21,21,14:50,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,22,22,15:34,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,23,23,16:24,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,24,24,17:25,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,25,25,18:22,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-26 Reversal 1 S2 T11,2021-01-26,1,light gray,2,2,26,26,19:10,0,0,ZM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,27,27,0:59,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,28,28,1:50,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,29,29,2:45,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,30,30,3:22,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,31,31,4:13,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,32,32,4:54,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,33,33,7:23,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,34,34,8:00,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,35,35,8:29,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,36,36,9:15,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,37,37,9:46,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,38,38,10:14,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,39,39,11:14,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,40,40,11:47,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,41,41,12:14,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,42,42,13:09,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,43,43,13:39,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,44,44,14:18,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,45,45,14:47,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,46,46,15:16,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S3 T27,2021-01-27,1,light gray,3,3,47,47,15:53,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,48,48,0:21,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,49,49,0:52,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,50,50,1:29,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,51,51,2:09,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,52,52,2:51,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,53,53,3:25,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,54,54,3:54,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,55,55,4:28,0,0,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,56,56,4:58,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,57,57,5:32,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,58,58,6:08,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,59,59,6:46,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,60,60,7:16,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,61,61,8:39,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,62,62,9:09,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,63,63,9:44,1,1,KM,Lea Gihlein,
C102OO,C102OO 2021-01-27 Reversal 1 S4 T48,2021-01-27,1,light gray,4,4,64,64,10:49,1,1,KM,Lea Gihlein,
