Date,Batch,Bird,Experiment,Trial,ColorOnLeft,CorrectChoice,Correct,NonoverlappingWindow4-trialbins,Criterion,Preference? Notes
15-Sep-14,1,Tequila,Initial,1,S,No,0,,,
15-Sep-14,1,Tequila,Initial,2,G,No,0,,,
15-Sep-14,1,Tequila,Initial,3,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,4,S,Yes,1,0.50,,
15-Sep-14,1,Tequila,Initial,5,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,6,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,7,S,No,0,,,
15-Sep-14,1,Tequila,Initial,8,G,Yes,1,0.75,,
15-Sep-14,1,Tequila,Initial,9,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,10,S,No,0,,6/10,No
15-Sep-14,1,Tequila,Initial,11,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,12,S,Yes,1,0.75,,
15-Sep-14,1,Tequila,Initial,13,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,14,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,15,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,16,G,Yes,1,1.00,,
15-Sep-14,1,Tequila,Initial,17,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,18,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,19,S,No,0,,,
15-Sep-14,1,Tequila,Initial,20,G,Yes,1,0.75,9/10,Yes
15-Sep-14,1,Tequila,Initial,21,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,22,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,23,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,24,S,No,0,0.75,,
15-Sep-14,1,Tequila,Initial,25,G,Yes,1,,,
15-Sep-14,1,Tequila,Initial,26,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,27,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,28,G,Yes,1,1.00,,
15-Sep-14,1,Tequila,Initial,29,S,Yes,1,,,
15-Sep-14,1,Tequila,Initial,30,G,Yes,1,,9/10,Yes. 18/20
19-Sep-14,1,Michelada,Initial,1,S,No,0,,,
25-Sep-14,1,Michelada,Initial,2,G,No,0,,,
25-Sep-14,1,Michelada,Initial,3,S,No,0,,,
25-Sep-14,1,Michelada,Initial,4,S,Yes,1,0.25,,
25-Sep-14,1,Michelada,Initial,5,G,Yes,1,,,
25-Sep-14,1,Michelada,Initial,6,S,No,0,,,
25-Sep-14,1,Michelada,Initial,7,S,No,0,,,
25-Sep-14,1,Michelada,Initial,8,G,No,0,0.25,,
25-Sep-14,1,Michelada,Initial,9,S,No,0,,,
25-Sep-14,1,Michelada,Initial,10,G,No,0,,2/10,No
26-Sep-14,1,Michelada,Initial,11,S,No,0,,,
26-Sep-14,1,Michelada,Initial,12,G,Yes,1,0.25,,
26-Sep-14,1,Michelada,Initial,13,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,14,S,No,0,,,
26-Sep-14,1,Michelada,Initial,15,G,No,0,,,
26-Sep-14,1,Michelada,Initial,16,G,Yes,1,0.50,,
26-Sep-14,1,Michelada,Initial,17,S,No,0,,,
26-Sep-14,1,Michelada,Initial,18,S,No,0,,,
26-Sep-14,1,Michelada,Initial,19,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,20,G,Yes,1,0.50,5/10,No
26-Sep-14,1,Michelada,Initial,21,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,22,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,23,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,24,G,Yes,1,1.00,,
26-Sep-14,1,Michelada,Initial,25,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,26,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,27,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,28,S,Yes,1,1.00,,
26-Sep-14,1,Michelada,Initial,29,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,30,S,Yes,1,,10/10,Yes
26-Sep-14,1,Michelada,Initial,31,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,32,G,Yes,1,1.00,,
26-Sep-14,1,Michelada,Initial,33,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,34,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,35,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,36,S,Yes,1,1.00,,
26-Sep-14,1,Michelada,Initial,37,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,38,G,Yes,1,,,
26-Sep-14,1,Michelada,Initial,39,S,Yes,1,,,
26-Sep-14,1,Michelada,Initial,40,G,Yes,1,1.00,10/10,Yes. 20/20
22-Sep-14,1,Margarita,Initial,1,S,No,0,,,
22-Sep-14,1,Margarita,Initial,2,G,Yes,1,,,
22-Sep-14,1,Margarita,Initial,3,S,No,0,,,
22-Sep-14,1,Margarita,Initial,4,S,No,0,0.25,,
22-Sep-14,1,Margarita,Initial,5,G,Yes,1,,,
22-Sep-14,1,Margarita,Initial,6,S,Yes,1,,,
22-Sep-14,1,Margarita,Initial,7,S,No,0,,,
22-Sep-14,1,Margarita,Initial,8,G,Yes,1,0.75,,
