"","Date","Aviary","ID","Sex","FatScore","mass","Ltarsus","Rtarsus","tarsus","Lwing","Rwing","wing","Season","Experimenter","Body","Fatbin","Body2"
"2","7-Oct-2019","Wild","Adobo","M",0,143,44.4,45,44.7,164,163,163.5,"non-breeding","MF",332.428608521936,0,-1.29610837291277
"5","1-May-2018","Wild","Al Pastor","M",NA,172,45.1,44.5,44.8,176,176,176,"breeding","LB",357.427747290742,NA,0.0276673728868655
"7","26-Feb-2019","Wild","Aquaman","M",0,147,39.1,39.2,39.15,170,170,170,"non-breeding","KM",370.332384173825,0,0.711004725911662
"15","29-Sept-2019","Wild","Burrito","M",0,175,52,50.3,51.15,164,168,166,"non-breeding","MF",314.64858381335,0,-2.23761142574248
"16","31-Oct-2018","Wild","Calabazo","M",2,176,40,41.3,40.65,179,178,178.5,"non-breeding","LB",381.314722071521,1,1.29255086138444
"26","24-Apr-2018","Wild","Chile","M",NA,183,43.7,41.7,42.7,173,178,175.5,"breeding","LB",365.429012818608,NA,0.451357218342991
"27","17-Jun-2019","Wild","Chile","M",NA,171,48,47.3,47.65,181,180,180.5,"breeding","MF",354.988332722035,NA,-0.1015065906592
"37","18-Sept-2019","Wild","Diablo","M",0,177,45.3,46.5,45.9,176,180,178,"non-breeding","MM",356.95494951584,0,0.00263138133245429
"46","18-Jan-2019","Wild","Fideo","M",0,170,46.1,48.2,47.15,177,175,176,"non-breeding","KM",348.043541116106,0,-0.469253126753226
"54","27-Feb-2020","Wild","Guacamole","M",0,162,47.1,46.1,46.6,166,168,167,"non-breeding","KM",332.268522706046,0,-1.30458537375195
"56","4-Apr-2019","Wild","Guapo","M",0,190,45.8,43.8,44.8,176,177,176.5,"breeding","KM",358.443167027364,0,0.0814367459671481
"57","24-Oct-2018","Wild","Habanero","M",1,155,42.9,44.8,43.85,173,175,174,"non-breeding","KM",357.329521327341,1,0.0224660277861038
"59","17-Dec-2019","Wild","Huachinango","M",0,165,44.2,42,43.1,170,170,170,"non-breeding","MF",352.263414456855,0,-0.245798789766209
"67","10-Oct-2019","Wild","Marisco","M",0,144,47,46.4,46.7,166,179,172.5,"non-breeding","MF",342.828848428235,0,-0.745385987402639
"72","31-Oct-2018","Wild","Mixiote","M",1,158,44.8,45.1,44.95,168,166,167,"non-breeding","LB",338.560758685213,1,-0.971393520500512
"73","18-Dec-2019","Wild","Mofongo","M",0,174,49.8,49.8,49.8,176,174,175,"non-breeding","MF",336.357258315894,0,-1.08807515388561
"75","24-Oct-2018","Wild","Mole","M",1,161,40.4,39.1,39.75,163,168,165.5,"non-breeding","KM",357.687174645683,1,0.0414047917413226
"78","18-Apr-2018","Wild","Nacho","M",NA,176,40.7,40.9,40.8,178,183,180.5,"breeding","LB",384.848792518478,NA,1.47968997785139
"87","4-Nov-2019","Wild","Pavo","M",1,168,47.8,46.6,47.2,181,181,181,"non-breeding","MF",357.733776342861,1,0.0438724846089703
"91","23-Jan-2020","Wild","Pernil","M",0,173,45.8,45.7,45.75,183,183,183,"non-breeding","MF",367.60743152935,0,0.566710706322905
"93","9-Apr-2019","Wild","Picante","M",0,155,44.5,45.2,44.85,188,188,188,"breeding","MF",381.576261530957,0,1.30640012219987
"96","21-Nov-2019","Wild","Pizza","M",0,157,43.5,45.9,44.7,168,168,168,"non-breeding","MF",341.578019765659,0,-0.81162093497351
"100","16-Feb-2020","Wild","Pollito","M",0,172,46.2,46.3,46.25,176,176,176,"non-breeding","MF",351.551749761852,0,-0.283483466470416
"106","5-Oct-2018","Wild","Queso","M",1,155,39.9,42.1,41,168,170,169,"non-breeding","KM",359.413567397059,1,0.132822215082629
"120","18-Apr-2018","Wild","Taquito","M",NA,166,40.3,39.3,39.8,184,185,184.5,"breeding","LB",398.49019202158,NA,2.20204101433998
"121","27-Feb-2020","Wild","Taquito","M",0,156,42.8,43.3,43.05,183,183,183,"non-breeding","KM",379.430333285021,0,1.1927670970598
