"","ID.1","Site","ID.2"
"1","Pico","AZ","unbanded adult female45"
"2","Pico","AZ","unbanded adult male1"
"4","Salsa","AZ","unknown adult female1"
"6","Salsa","AZ","unknown adult male1"
"8","Sincronizada","AZ","unknown adult female2"
"11","Taquito","AZ","unknown adult female3"
"13","Calabazo","AZ","unbanded adult male2"
"15","Chalupa","AZ","unbanded adult female11"
"16","Chalupa","AZ","unknown adult female4"
"18","Fajita","AZ","unbanded adult female21"
"19","Fajita","AZ","unbanded adult male3"
"21","Fajita","AZ","unknown adult female5"
"23","Fajita","AZ","unknown juvenile1"
"25","Aquaman","AZ","unbanded adult female5"
"26","Aquaman","AZ","unknown adult female6"
"28","Ceviche","AZ","unbanded adult male4"
"32","Tapa","AZ","unbanded adult female54"
"33","Tapa","AZ","unbanded adult male5"
"35","Tapa","AZ","unbanded juvenile1"
"39","Naranja","AZ","unbanded adult female36"
"40","Naranja","AZ","unbanded juvenile2"
"43","Sincronizada","AZ","unbanded adult female51"
"44","Sincronizada","AZ","unbanded adult male6"
"46","Sincronizada","AZ","unbanded juvenile3"
"49","Taquito","AZ","unbanded adult female55"
"50","Taquito","AZ","unbanded juvenile4"
"52","Tripa","AZ","unbanded adult female61"
"53","Mixiote","AZ","unbanded adult female32"
"54","Mixiote","AZ","unknown female1"
"56","Nacho","AZ","unbanded adult female35"
"57","Nacho","AZ","unbanded juvenile5"
"59","Aquaman","AZ","unbanded adult female6"
"60","Aquaman","AZ","unbanded adult male7"
"62","Aquaman","AZ","unbanded juvenile6"
"64","Pepino","AZ","unbanded adult female42"
"65","Pepino","AZ","unbanded adult male8"
"67","Pepino","AZ","unbanded juvenile7"
"69","Pepino","AZ","unknown female2"
"72","Fideo","AZ","unbanded adult female22"
"73","Fideo","AZ","unbanded juvenile8"
"75","Fideo","AZ","unknown adult female7"
"77","Fideo","AZ","unknown adult male2"
"79","Mangonada","AZ","unbanded adult female29"
"80","Morada","AZ","unbanded adult male9"
"82","Morada","AZ","unbanded juvenile9"
"84","Tortilla","AZ","unbanded adult female58"
"85","Tortilla","AZ","unbanded juvenile10"
"88","Aquaman","AZ","unbanded adult male10"
"90","Aquaman","AZ","unknown adult female8"
"92","Abeja","AZ","unbanded adult female1"
"93","Abeja","AZ","unbanded adult male11"
"95","Cemita","AZ","unbanded adult female10"
"96","Cemita","AZ","unknown female3"
"98","Queso","AZ","unbanded adult female50"
"99","Queso","AZ","unbanded adult male12"
"102","Tripa","AZ","unbanded adult female62"
"103","Cochinita","AZ","unknown female4"
"105","Tripa","AZ","unbanded adult female63"
"106","Tripa","AZ","unknown female5"
"108","Lechuga","AZ","unbanded juvenile11"
"110","Lechuga","AZ","unknown female6"
"112","Nopal","AZ","unbanded adult female39"
"113","Mangonada","AZ","unbanded adult female30"
"114","Mangonada","AZ","unknown female7"
"116","Nacho","AZ","unbanded adult male13"
"119","Fideo","AZ","unbanded adult female23"
"120","Fideo","AZ","unbanded adult male14"
"122","Fideo","AZ","unknown female8"
"124","Nopal","AZ","unknown female9"
"126","Pico","AZ","unbanded adult female46"
"127","Pico","AZ","unknown female10"
"129","Torta","AZ","unbanded adult female56"
"130","Torta","AZ","unbanded adult male15"
"132","Torta","AZ","unbanded juvenile12"
"134","Chalupa","AZ","unbanded adult female12"
"135","Chalupa","AZ","unbanded adult male16"
"138","Taco","AZ","unbanded adult male17"
"140","Taco","AZ","unknown female11"
"143","Pepino","AZ","unbanded adult female43"
"144","Pepino","AZ","unbanded adult male18"
"146","Pozole","AZ","unbanded adult female47"
"147","Pozole","AZ","unbanded adult male19"
"150","Mixiote","AZ","unbanded adult female33"
"151","Mixiote","AZ","unbanded adult male20"
"153","Tripa","AZ","unbanded adult female64"
"155","Tortilla","AZ","unbanded adult female59"
"156","Tortilla","AZ","unknown adult female9"
"158","Tortilla","AZ","unknown adult male3"
"160","Frijoles","AZ","unbanded adult female26"
"162","Morada","AZ","unbanded adult female34"
"163","Morada","AZ","unbanded adult male21"
"165","Pan Dulce","AZ","unbanded adult female41"
"166","Pan Dulce","AZ","unbanded adult male22"
"168","Pan Dulce","AZ","unknown adult female10"
"171","unbanded adult female66","AZ","Uva"
"172","unbanded adult male23","AZ","Uva"
"174","unknown adult female11","AZ","Uva"
"176","Aquaman","AZ","unbanded adult male24"
"178","Picante","AZ","unbanded adult male25"
"180","Picante","AZ","unknown adult female12"
"182","Lechuga","AZ","unbanded adult female27"
"183","Lechuga","AZ","unbanded adult male26"
"188","Abeja","AZ","unbanded adult female2"
"189","Abeja","AZ","unbanded adult male27"
"191","Abeja","AZ","unknown adult female13"
"193","Fideo","AZ","unbanded adult female24"
"194","Fideo","AZ","unbanded adult male28"
"196","Fideo","AZ","unbanded juvenile13"
"198","Naranja","AZ","unbanded adult female37"
"199","Naranja","AZ","unbanded adult male29"
"201","Naranja","AZ","unbanded juvenile14"
"203","Naranja","AZ","unknown adult female14"
"206","Taco","AZ","unbanded adult female52"
"207","Taco","AZ","unbanded adult male30"
"209","Taco","AZ","unbanded juvenile15"
"211","Taco","AZ","unknown adult female15"
"214","Taquito","AZ","unbanded adult male31"
"216","Chimichanga","AZ","unbanded adult female16"
"218","Migas","AZ","unbanded adult female31"
"219","Migas","AZ","unknown adult female16"
"222","Pozole","AZ","unbanded adult female48"
"224","Adobo","AZ","unbanded adult male32"
"227","Crema","AZ","unknown adult female17"
"231","Fideo","AZ","unbanded adult female25"
"232","Fideo","AZ","unbanded adult male33"
"235","Burrito","AZ","unbanded adult female8"
"236","Burrito","AZ","unbanded adult male34"
"238","Burrito","AZ","unknown adult female18"
"240","Burrito","AZ","unknown adult male4"
"242","Diablo","AZ","unbanded adult male35"
"245","Chilaquile","AZ","unbanded adult male36"
"247","Tripa","AZ","unbanded adult female65"
"248","Cebollita","AZ","unknown adult female19"
"250","Crema","AZ","unbanded adult male37"
