"","BirdID","TotalFoodEvents","Sex","PercentTerritoryShared","MaleSharesTerritoryWithOtherMale","SumFocalTime","NumFoodTypes","FoodTypesPerSec","NumForageTechs","ForageTechsPerSec","PropHumanFood","NumHumanFood","PropMicroHabitatHumSurface","PropMicroHabitatBuilding","PropMicroHabitatDumpster","PropMicroHabitatMiscHum","PropMicroHabitatNatGround","PropMicroHabitatRock","PropMicroHabitatShrub","PropMicroHabitatGrass","PropMicroHabitatTree","ShannonDiversityIndex","Phi","Lambda","DomRank","FlexibilityManipulated","MABavgLatencySwitch","Population","NumFollows","Notes","MaxBondStrength","Strength","Degree","SumFoodEvents","AvgCaloriesPer100g"
"1","Abeja",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Adobo",6,"M",63.01,"Y",1800,4,0.002,3,0.002,0.5,2,0,0,0,0,0,0,0,0,1,0,0.06274,3.26909,0.764706,"Yes","79","AZ",2,"",0.222222222222222,0.747900053163211,5,4,205.5
"3","Ak'xi",32,"M",0,"N",816,2,0.002,5,0.006,0,0,1,0,0,0,0,0,0,0,0,0,0.02516,4.01025,0,"No","34","CA",1,"",NA,NA,NA,10,0.8
"4","Aquaman",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Azucara",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Bacmut Bacni",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Becky",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Birria",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Bunuelo",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Burrito",29,"M",60.77,"Y",6550,10,0.002,7,0.001,0.54,5,0,0.13,0,0,0,0,0,0.13,0.75,0.75,0.08189,2.20602,0.968,"Yes","391","AZ",8,"",0.181818181818182,0.181818181818182,1,18,283.5
"11","Calabazo",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Camote",5,"M",78.32,"Y",2376,2,0.001,2,0.001,1,2,0.25,0,0,0.25,0,0,0,0.25,0.25,1.39,0.02693,7.57132,0.647059,"No","488","CA",4,"",0.0769230769230769,0.199145299145299,3,4,484.3
"13","Cemita",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Chalupa",12,"F",NA,NA,4024,4,0.001,2,0,0.33,2,0.2,0.2,0,0,0,0,0,0.2,0.4,1.33,0.06313,3.50323,0.5,"Yes","-","AZ",6,"No substrate entered for nbs1",0.105263157894737,0.18859649122807,2,10,223.6
"15","Chilaquile",58,"M",70.42,"Y",5290,10,0.002,6,0.001,0.52,8,0,0,0,0,0,0,0,0.33,0.67,0.63,0.07163,2.82868,0.8125,"Yes","170","AZ",6,"",0.266666666666667,0.266666666666667,1,33,240.2
"16","Chile",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Chimichanga",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Cochinita",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Concha",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Crema",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Cuervo",25,"M",68.28,"Y",4230,7,0.002,6,0.001,0.45,5,0,0,0,0,0.33,0,0,0.17,0.5,1.01,0.05899,3.98594,0.6,"No","341","CA",6,"",0.0555555555555556,0.159469185784975,3,17,191
"22","Cutuy",3,"F",NA,NA,3838,2,0.001,1,0,1,2,0,0,0.17,0,0,0,0,0,0.83,0.46,0.0046,8.43886,0.096774,"No","125","CA",6,"",0.0952380952380952,0.175238095238095,2,3,495.7
"23","Diablo",26,"M",89.49,"Y",5226,1,0,3,0.001,0,0,0,0.2,0,0,0,0,0,0.2,0.6,0.95,0.07797,3.14878,1,"Yes",NA,"AZ",6,"No substrate entered for nbs2",0.133333333333333,0.133333333333333,1,21,276
"24","Dulce de Leche",7,"M",65.93,"Y",5427,3,0.001,1,0,1,3,0.13,0,0,0,0.13,0,0.13,0,0.63,1.09,0.04176,2.4889,0.783133,"No","425","CA",8,"",0.0666666666666667,0.119298245614035,2,7,312.3
"25","Elote",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Fajita",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Fideo",16,"M",84.27,"Y",6603,7,0.001,3,0,0.69,5,0,0.13,0.13,0.38,0,0,0,0,0.38,1.26,0.02363,4.13445,0.551724,"No","-","AZ",8,"",0.142857142857143,0.280788177339901,3,13,231
"28","Galandra",4,"F",NA,NA,3729,2,0.001,3,0.001,0,0,0.17,0,0,0,0.17,0,0,0,0.67,0.87,0.01458,4.28544,-1,"No","440","CA",6,"",0.0714285714285714,0.0714285714285714,1,1,0.7
"29","Galleta",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Guacamole",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Guapo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Habanero",1,"M",11.34,"Y",497,1,0.002,1,0.002,0,0,0,0,0,0,0,0,0,0,1,0,0.05851,4.78359,1,"Yes","-","AZ",1,"",NA,NA,NA,1,276
"33","Huachinango",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Kau",2,"M",66.66,"Y",2048,0,0,2,0.001,0,0,0,0,0,0,0,0,0,0,1,0,0.01691,4.5713,1,"No","178","CA",3,"All foods listed as unknown",0.0689655172413793,0.0689655172413793,1,0,NA
"35","Kel",17,"F",NA,NA,3736,4,0.001,6,0.002,0,0,0,0,0,0.17,0,0.17,0.33,0,0.33,1.33,0.05182,2.46271,0.538462,"No","432","CA",6,"",0.08,0.08,1,1,54.1
"36","Lechuga",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Mangonada",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Memela",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Mixiote",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Mofongo",8,"M",80.53,"Y",2216,4,0.002,3,0.001,0.33,2,0.25,0.25,0,0.25,0,0,0,0,0.25,1.39,0.10338,5.34865,-0.898305,"No","630","AZ",4,"",NA,NA,NA,3,259.3
"41","Morada",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Nacho",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Naranja",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Nopal",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Paella",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Palomita",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Pan Dulce",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Pepino",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
