Individual,Sex,Lat,Lon,Age
AF_001YP,F,33.4222,-111.919458,A
AF_002PB,F,33.4222,-111.919458,A
AF_003BO,F,33.417491,-111.931093,A
AF_004OR,F,33.417491,-111.931093,A
AF_005RG,F,33.4222,-111.919458,A
AM_006_V,M,33.419703,-111.929471,A
AM_007_S,M,33.419703,-111.929471,A
AF_008PY,F,33.4222,-111.919458,A
AM_009_L,M,33.419703,-111.929471,A
AF_010BR,F,33.419703,-111.929471,A
AM_011_A,M,33.4222,-111.919458,A
AF_012RB,F,33.4222,-111.919458,A
AF_013GP,F,33.4222,-111.919458,A
AF_014BG,F,33.42068,-111.93347,A
AF_015OO,F,33.42068,-111.93347,A
AF_016RY,F,33.42068,-111.93347,A
AF_017GR,F,33.42068,-111.93347,A
AF_018BB,F,33.42068,-111.93347,A
AF_020YG,F,33.41948,-111.926639,A
AM_021_K,M,33.418517,-111.936539,A
AM_022_N,M,33.409864,-111.934386,A
AF_023OY,F,33.419998,-111.935177,A
AF_024_O,F,33.419998,-111.935177,A
AF_025GO,F,33.418517,-111.936539,A
AF_026PP,F,33.418517,-111.936539,A
AF_027BK,F,33.42230208,-111.9337442,J
AM_031_Y,M,33.42515,-111.927847,A
AF_032RR,F,33.419702,-111.930282,J
AF_033GG,F,33.418048,-111.931288,A
AF_034PO,F,33.41817,-111.936097,J
AM_035P_,M,33.409864,-111.934386,A
AM_036R_,M,33.409864,-111.934386,A
AF_037BY,F,33.409864,-111.934386,A
AF_038PG,F,33.419702,-111.930282,A
AF_039YR,F,33.419702,-111.930282,A
AM_040B_,M,33.419702,-111.930282,A
AM_041_O,M,33.409864,-111.934386,A
AF_042GY,F,33.418048,-111.931288,A
AF_043KR,F,33.418048,-111.931288,A
AM_044KS,M,33.420082,-111.92655,A
AF_045YY,F,33.4222,-111.919458,A
AF_046NG,F,33.420082,-111.92655,A
AM_047AY,M,33.420082,-111.92655,A
AF_049BA,F,33.420082,-111.92655,A
AF_050OA,F,33.420082,-111.92655,A
AF_051KG,F,33.41948,-111.926639,A
AF_052GA,F,33.4217249,-111.9329267,A
AF_053PS,F,33.4217249,-111.9329267,A
AF_054BN,F,33.418222,-111.929351,A
AM_055YO,M,33.4222,-111.919458,A
AM_056G_,M,33.418222,-111.929351,A
AF_057YA,F,33.418222,-111.929351,A
AF_058BS,F,33.420082,-111.92655,A
AF_059NB,F,33.41817,-111.936097,A
AF_060SB,F,33.41817,-111.936097,A
AF_061PR,F,33.41948,-111.926639,A
AM_062AP,M,33.419703,-111.929471,J
