What,Item,Calorie content per 100g,Source,Notes
bird poop,Human excrement,491,Basolo et al. 2020. Procedures for Measuring Excreted and Ingested Calories to Assess Nutrient Absorption Using Bomb Calorimetry. https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.22965?casa_token=UGtA2D2QhUQAAAAA:uV2ZSd4mpFFclbNpWXwjIDDtjEBdBK1SYg0UrgZ7MxCwNhOHEwcwj9EY9rE18U4h8e20TI9mPRihGPxr,
candy,Candies,460,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,Averaged the 9 items called Candies
carcass,Rat,217,https://www.automatictrap.com/blogs/news/what-countries-eat-rats,
cat food,Purina Pro Plan Adult Complete Essentials Chicken & Rice Formula,436,https://www.purina.com/sites/g/files/auxxlc196/files/product-label-deck-file/2021-03/4623%20-%20L462319%20Pro%20Plan%20Cat%20Food%20Complete%20Essentials%20Adult%20Chicken%20Rice%20Formula.pdf,
chicken,Fried chicken,272,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
condiment,Mayonnaise,361,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
food crumbs,French bread,319,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
fruit,Raw apple with skin,52,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
fry,French fries,133,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
grains,French bread,319,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
insect,"Insect wild caught, raw",276,https://www.caloriecounter.com.au/food/insect-wild-caught-raw/,
lizard,Green iguana,119,https://www.healthline.com/nutrition/eating-lizards#potential-benefits,
peanut,Raw peanuts,567,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
seed,Sunflower seeds dried,584,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
vegetation,Green leaf lettuce raw,15,https://caloriecontrol.org/healthy-weight-tool-kit/food-calorie-calculator/?,
vomit,"Average of candy, chicken, condiment, food crumbs, fruit, fry, grains, peanut",310,Could not find a reference,"Vomit is most likely to be what was recently eaten and grackles eat many human foods, which are already in this list"
worm,Mopane worm canned,97,https://www.caloriecounter.com.au/food/calories-in-mopane-worm-canned/,
rock,,0,https://www.inlivo.com/nutrition/grains/cereal-bars/rocks-and-gravel,
misc. trash,"Trash is 24% food, which is the only thing grackles could digest and thus obtain calories from",74,"https://www.epa.gov/facts-and-figures-about-materials-waste-and-recycling/national-overview-facts-and-figures-materials#:~:text=In%202018%2C%20about%20146.1%20million,less%20than%2010%20percent%20each.","The value is 24% of the average calorie content per 100g of the human foods in this list (candy, chicken, condiment, food crumbs, fruit, fry, grains, peanut)"
soil,5% of the calories in vegetation,1,Could not find a reference,"Soil is 5% organic matter (https://www.ctahr.hawaii.edu/mauisoil/a_comp.aspx#:~:text=The%20typical%20soil%20consists%20of,is%20very%20complex%20and%20dynamic.). One type of soil organic matter is plant residues (https://franklin.cce.cornell.edu/resources/soil-organic-matter-fact-sheet)."
mulch,Hay,50,"https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/mulch#:~:text=Mulching%2C%20and%20Cover%20and%20Trap,bark%20chips%2C%20sawdust%2C%20etc.","Mulch is composed of straw, peat moss, bark chips, sawdust, etc. (https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/mulch#:~:text=Mulching%2C%20and%20Cover%20and%20Trap,bark%20chips%2C%20sawdust%2C%20etc.)"
