"","BirdID","Test","Condition","Time","LatencyFirstLand","LatencyFirstTimeWithin20cmOfObject","LatencyFirstEnterTent","TotalDurationInTent","TotalDurationNear.20cm","TotalDurationFar.20cm","TotalDurationOutOfView","ClosestDistanceToApparatus","TrialDuration","TotalTouchesToApparatusPerVideo","SumTotalTouchesAcrossAllVideos","MotorActionsUsed","TotalNumberMotorActionsUsedForThisBirdInThisExperiment","Site"
"3","Taquito","Environment","Familiar",1,2121.2,"n/a","n/a",0,0,229,2476,"Far",2704.8,"n/a","n/a","n/a","n/a","AZ"
"6","Taquito","Environment","Novel",1,3400,"n/a","n/a",0,0,0,2797.8,"OutOfView",2797.8,"n/a","n/a","n/a","n/a","AZ"
"9","Taquito","Environment","Familiar",2,125,"1300.4","1300.6",4.4,1.2,1483.2,1234.2,"Near",2722.6,"n/a","n/a","n/a","n/a","AZ"
"12","Taquito","Environment","Novel",2,890.2,"n/a","n/a",0,0,1343,1371,"Far",2713.6,"n/a","0","n/a","0","AZ"
"15","Taquito","Object","Familiar",1,154.6,"n/a","n/a",0,0,708,2027.4,"Far",2735,"n/a","n/a","n/a","n/a","AZ"
"18","Taquito","Object","Novel",1,1926.8,"n/a","n/a",0,0,229.6,2480,"Far",2709.2,"n/a","n/a","n/a","n/a","AZ"
"21","Taquito","Object","Familiar",2,74.4,"79.4","n/a",0,26.8,2182.6,508.4,"Near",2717.4,"n/a","n/a","n/a","n/a","AZ"
"24","Taquito","Object","Novel",2,1518.4,"n/a","n/a",0,0,1039.4,1678,"Far",2716.8,"n/a","0","n/a","0","AZ"
"25","Tomatillo","Environment","Familiar",1,95,"123.2","2077.8",94.2,51.4,806.2,1791.6,"Near",2743.2,"n/a","n/a","n/a","n/a","AZ"
"26","Tomatillo","Environment","Novel",1,391.6,"553","n/a",0,264.8,1244.6,1462.4,"Touch",2971.6,"3","n/a","StandOnTop, PeckVert","n/a","AZ"
"27","Tomatillo","Environment","Familiar",2,517,"556.6","1460",7.2,117.2,1250.8,1357.2,"Near",2732.2,"n/a","n/a","n/a","n/a","AZ"
"28","Tomatillo","Environment","Novel",2,20,"309","n/a",0,345,878.2,1509.6,"Touch",2732.6,"12","15","PeckHorz, PullVert, GrabHorz","5","AZ"
