"","BirdID","Test","Condition","Time","LatencyFirstLand","LatencyFirstTimeWithin20cmOfObject","LatencyFirstEnterTent","TotalDurationInTent","TotalDurationNear.20cm","TotalDurationFar.20cm","TotalDurationOutOfView","TrialDuration","ClosestDistanceToApparatus","Site"
"3","Xango","Environment","Familiar",1,"263.6","263.8","357.6",2.8,3.4,462.6,2312.4,2780.8,"Near","CA"
"6","Xango","Environment","Novel",1,"514.6","2187.4","n/a",0,4.8,316.4,2379.4,2700.4,"Near","CA"
"9","Xango","Object","Familiar",1,"935.4","938.8","n/a",0,10,161.6,2592.2,2763.4,"Near","CA"
"12","Xango","Object","Novel",1,"1345.4","n/a","n/a",0,0,240.4,2520.4,2760.4,"Far","CA"
"15","Xango","Environment","Familiar",2,"1929.8","1984.8","1930",76,2.8,193,2458.4,2729.8,"Near","CA"
"18","Xango","Environment","Novel",2,"153.8","281","n/a",0,14.4,569.4,2165,2748.4,"Near","CA"
"21","Xango","Object","Familiar",2,"1070.2","1070.2","n/a",0,66.4,226,2420.6,2712.8,"Near","CA"
"24","Xango","Object","Novel",2,"139.8","n/a","n/a",0,0,190,2586,2775.8,"Far","CA"
"27","Flan","Object","Familiar",1,"2243.8","2396.4","n/a",0,19.8,159.8,2564.6,2744,"Near","CA"
"30","Flan","Object","Novel",1,"774.4","n/a","n/a",0,0,215.4,2498,2713.2,"Far","CA"
"33","Flan","Environment","Familiar",1,"960","1269.2","1273",53.6,11.4,424.8,2261.2,2750.6,"Near","CA"
"36","Flan","Environment","Novel",1,"1049.2","2379.6","n/a",0,30.2,576.4,2149.6,2755.8,"Near","CA"
"39","Flan","Object","Familiar",2,"2.2","84.6","n/a",0,20.4,326,2330.6,2676.8,"Near","CA"
"42","Flan","Object","Novel",2,"680.8","n/a","n/a",0,0,790.2,1948.4,2688.2,"Far","CA"
"45","Flan","Environment","Familiar",2,"7.2","94","94.4",53.6,4,240.8,2428.6,2724.8,"Near","CA"
"48","Flan","Environment","Novel",2,"372.6","543","n/a",0,14.4,695.8,2017,2726.8,"Near","CA"
"51","Churro","Object","Familiar",1,"765","765","n/a",0,47,254.4,2417.8,2718.4,"Near","CA"
"54","Churro","Object","Novel",1,"1479","n/a","n/a",0,0,139,2706.2,2844.8,"Far","CA"
"57","Churro","Environment","Familiar",1,"380","385.6","383.6",2,64.6,90.6,2563,2717.2,"Near","CA"
"60","Churro","Environment","Novel",1,"797.4","n/a","n/a",0,0,167.4,2733.8,2900.8,"Far","CA"
"63","Churro","Object","Familiar",2,"195.6","199.6","n/a",0,39.2,472.2,2240,2751.2,"Near","CA"
"66","Churro","Object","Novel",2,"400.8","n/a","n/a",0,0,410.4,2360.4,2770.4,"Far","CA"
"69","Churro","Environment","Familiar",2,"95","95.2","150",2,56.2,215.6,2464,2737.4,"Near","CA"
"72","Churro","Environment","Novel",2,"1202.4","1202.6","n/a",0,14.4,123,2616.6,2753.6,"Near","CA"
"75","Tembleque","Object","Familiar",1,"91.8","149.8","n/a",0,54.8,253.8,2431.2,2739.6,"Near","CA"
"78","Tembleque","Object","Novel",1,"1820.6","n/a","n/a",0,0,66.6,2694.4,2760.6,"Far","CA"
"81","Tembleque","Environment","Familiar",2,"70.6","160.4","161",2.4,1.2,233.6,2495.6,2732.4,"Near","CA"
"84","Tembleque","Environment","Novel",2,"25.6","132","n/a",0,2,140,2574,2715.8,"Near","CA"
"87","Tembleque","Environment","Familiar",1,"321","322.6","322.8",220.6,161.2,702,1642.2,2725.6,"Near","CA"
"90","Tembleque","Environment","Novel",1,"723.8","1140.2","n/a",0,95,650.8,1994.8,2740.2,"Near","CA"
"93","Polvorones","Object","Familiar",1,"290.6","359.4","n/a",0,42.6,468,2309.2,2819.4,"Near","CA"
"96","Polvorones","Object","Novel",1,"393.2","2447.4","n/a",0,0.4,667.8,2118.2,2786,"Near","CA"
"99","Polvorones","Environment","Familiar",1,"623.8","624","668.8",12.8,8,248,2469.8,2738.2,"Near","CA"
"102","Polvorones","Environment","Novel",1,"594.2","758.4","n/a",0,25.2,433,2263.4,2721.4,"Near","CA"
"105","Polvorones","Environment","Familiar",1,"218","218.8","219.6",12.2,61.6,521.6,2179.2,2774.2,"Near","CA"
"108","Polvorones","Environment","Novel",2,"813.4","846.6","n/a",0,55.8,431,2280.8,2767.2,"Near","CA"
"111","Chocolate","Object","Familiar",1,"101.8","103","n/a",0,35,405.4,2376.6,2716.6,"Near","CA"
"114","Chocolate","Object","Novel",1,"140.6","n/a","n/a",0,0,883.8,1839.2,2722.6,"Far","CA"
"117","Chocolate","Object","Familiar",2,"184.2","228.8","n/a",0,52.4,589.2,2070.2,2711.4,"Near","CA"
"120","Chocolate","Object","Novel",2,"60.6","n/a","n/a",0,0,618.4,2091.8,2709.8,"Far","CA"
"123","Chocolate","Environment","Familiar",1,"315","407.2","407.6",7,34.6,455.6,2237.6,2734.4,"Near","CA"
"126","Chocolate","Environment","Novel",1,"91.4","n/a","n/a",0,0,611.6,2116.2,2727.4,"Far","CA"
"129","Chocolate","Environment","Familiar",2,"44.6","n/a","n/a",0,0,133.6,2715.2,2848.4,"Far","CA"
"132","Chocolate","Environment","Novel",2,"426","n/a","n/a",0,0,377.4,2416.2,2793.2,"Far","CA"
"135","Alegria","Environment","Familiar",1,"285.8","286","716",18,19.4,631.4,2065.6,2734,"Near","CA"
"138","Alegria","Environment","Novel",1,"716.4","n/a","n/a",0,0,275.4,2453.8,2728.8,"Far","CA"
"141","Alegria","Object","Familiar",1,"11.2","11.2","n/a",0,12.6,964.6,1745.2,2722.2,"Near","CA"
"144","Alegria","Object","Novel",1,"2169.4","n/a","n/a",0,0,0,2721.6,2721.6,"OutOfView","CA"
"147","Alegria","Environment","Familiar",2,"317","318","317.2",42.8,18.4,459.8,2379.6,2900.2,"Near","CA"
"150","Alegria","Environment","Novel",2,"1465","n/a","n/a",0,0,315,2402.8,2717.4,"Far","CA"
"153","Alegria","Object","Familiar",2,"314.2","1165.8","n/a",0,1.8,226.4,2498.2,2726.2,"Near","CA"
"156","Alegria","Object","Novel",2,"2115.2","n/a","n/a",0,0,28,2722.6,2750.2,"Far","CA"
"159","Sopapilla","Environment","Familiar",1,"22","22","22",2.8,18,132,2609,2761.4,"Near","CA"
"162","Sopapilla","Environment","Novel",1,"481","481","n/a",0,15.8,76.4,2630,2721.8,"Near","CA"
"165","Sopapilla","Object","Familiar",1,"1186","1198","n/a",0,27.4,189.4,2532.8,2749.2,"Near","CA"
"168","Sopapilla","Object","Novel",1,"553.2","853.2","n/a",0,8,212.2,2495.6,2715.6,"Near","CA"
"171","Sopapilla","Environment","Familiar",2,"346.6","1632.2","1632.4",2.6,6.8,119.4,2634,2762.6,"Near","CA"
"174","Sopapilla","Environment","Novel",2,"336.4","n/a","n/a",0,0,128.4,2659.2,2787.4,"Far","CA"
"177","Sopapilla","Object","Novel",2,"1750.2","n/a","n/a",0,0,58.6,2811.4,2869.6,"Far","CA"
"180","Sopapilla","Object","Familiar",2,"329.4","340.4","n/a",0,22,320.4,2376.8,2718.8,"Near","CA"
"181","Pina","Environment","Familiar",1,"2050.6","2050.6","2050.6",3.6,6,99.4,2618.4,2727.2,"Near","CA"
"182","Pina","Environment","Novel",1,"2724","n/a","n/a",0,0,0,2724,2724,"OutOfView","CA"
"183","Pina","Environment","Familiar",2,"20.2","20.2","20.2",0.4,0.4,123.6,2608.8,2733,"Near","CA"
"184","Pina","Environment","Novel",2,"2728.8","n/a","n/a",0,0,0,2728.8,2728.8,"OutOfView","CA"
"185","Camote","Environment","Familiar",1,"309.2","317.4","325",3.8,9,127,2585,2752.6,"Near","CA"
"186","Camote","Environment","Novel",1,"2715.2","n/a","n/a",0,0,0,2715.4,2715.2,"Out of view","CA"
"187","Camote","Environment","Familiar",2,"413","413.8","412.8",1,0.6,222,2508.2,2731.6,"Near","CA"
"188","Camote","Environment","Novel",2,"2536.8","n/a","n/a",0,0,23,2699.2,2722,"Far","CA"
"189","Tres Leches","Environment","Familiar",1,"183.2","183.2","588",9.6,28.2,145.2,2558.4,2741.2,"Near","CA"
"190","Tres Leches","Environment","Novel",1,"642","1692.6","n/a",0,4,65.8,2682.6,2752.2,"Near","CA"
"191","Tres Leches","Environment","Familiar",2,"118","118.6","118.2",28.4,67,214.4,2438.6,2748.2,"Near","CA"
"192","Tres Leches","Environment","Novel",2,"2129.8","n/a","n/a",0,0,30.8,2732.2,2762.8,"Far","CA"
"193","Helado","Environment","Familiar",1,"107.4","107.6","116",10.4,15.6,357.8,2353.2,2736.8,"Near","CA"
"194","Helado","Environment","Novel",1,"2640","n/a","n/a",0,0,30.8,2696.8,2727.4,"Far","CA"
"195","Helado","Environment","Familiar",2,"37.8","38.6","38",498.2,82.4,349.4,1813.4,2743.2,"Near","CA"
"196","Helado","Environment","Novel",2,"2749","n/a","n/a",0,0,0,2749.2,2749,"Out of view","CA"
"197","Zapote","Environment","Familiar",1,"1840","17.6","17.8",12.2,1.4,250.6,2464.4,2728.6,"Near","CA"
"198","Zapote","Environment","Novel",1,"1492.2","n/a","n/a",0,0,239.8,2480.2,2719.8,"Far","CA"
"199","Zapote","Environment","Familiar",2,"2.8","2.8","143.6",6.6,1.6,491.6,2248.2,2747.8,"Near","CA"
"200","Zapote","Environment","Novel",2,"2748.4","n/a","n/a",0,0,0,2748.4,2748.4,"OutOfView","CA"
"201","Merengue","Environment","Familiar",1,"460.2","460.4","466.4",9.4,14.6,114.6,2574.8,2713.2,"Near","CA"
"202","Merengue","Environment","Novel",1,"1076","n/a","n/a",0,0,155.8,2554.2,2709.8,"Far","CA"
"203","Merengue","Environment","Familiar",2,"282.4","282.4","282.6",4.4,3.6,359,2363.2,2730,"Near","CA"
"204","Merengue","Environment","Novel",2,"2105.6","n/a","n/a",0,0,27.4,2708.2,2735.4,"Far","CA"
