CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),TrialEndTimeStamp,TotalTouchesToApparatusPerVideo,TotalTouchesToApparatusXVideos,MotorActionsUsed,ClosestDistanceToApparatus,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-11-30,AJB,A007-S 2020-04-09 ExploreEnv Time1 Familiar T1 (pt. 1),2020-04-09,MM,A007-S,Environment,Familiar,1,1,1,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2059.6,2059.6,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2020-11-30,AJB,A007-S 2020-04-09 ExploreEnv Time1 Familiar T1 (pt. 2),2020-04-09,MM,A007-S,Environment,Familiar,1,1,1,2121.2,61.60,n/a,n/a,n/a,n/a,n/a,229,416.4,645.2,n/a,n/a,n/a,Far,n/a,
2020-11-30,AJB,A007-S 2020-04-09 ExploreEnv Time1 Novel T1 (pt. 1),2020-04-09,MM,A007-S,Environment,Novel,1,1,1,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2037.40,2037.40,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2020-11-30,AJB,A007-S 2020-04-09 ExploreEnv Time1 Novel T1 (pt. 2),2020-04-09,MM,A007-S,Environment,Novel,1,1,1,NA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,760.4,760.4,n/a,n/a,n/a,OutOfView,n/a,No solomon output excel file b/c nothing happened
2020-12-02,AJB,A007-S 2020-04-23 ExploreEnv Time2 Familiar T1 (pt. 1),2020-04-23,MM,A007-S,Environment,Familiar,2,n/a,1,125.00,125.00,1300.40,n/a,1300.6,2.8,0.4,1395.6,604.4,2003.00,n/a,n/a,n/a,Near,n/a,
2020-12-02,AJB,A007-S 2020-04-23 ExploreEnv Time2 Familiar T1 (pt. 2),2020-04-23,MM,A007-S,Environment,Familiar,2,n/a,1,,306.8,306.4,n/a,307.00,1.6,0.8,87.6,629.8,719.6,n/a,n/a,n/a,Near,n/a,
2020-12-02,AJB,A007-S 2020-04-23 ExploreEnv Time2 Novel T1 (pt. 1),2020-04-23,MM,A007-S,Environment,Novel,2,n/a,1,890.2,890.2,n/a,n/a,n/a,n/a,n/a,820.6,1153.6,1974.00,n/a,n/a,n/a,Far,n/a,
2020-12-02,AJB,A007-S 2020-04-23 ExploreEnv Time2 Novel T1 (pt. 2),2020-04-23,MM,A007-S,Environment,Novel,2,n/a,1,,n/a,n/a,n/a,n/a,n/a,n/a,522.4,217.4,739.6,n/a,0,n/a,Far,0,
2020-11-30,AJB,A007-S 2020-04-10 ExploreObj Time1 Familiar T1 (pt. 1),2020-04-10,MM,A007-S,Object,Familiar,1,1,1,154.60,154.60,n/a,n/a,n/a,n/a,n/a,444.8,1550.2,1994.80,n/a,n/a,n/a,Far,n/a,
2020-12-02,AJB,A007-S 2020-04-10 ExploreObj Time1 Familiar T1 (pt. 2),2020-04-10,MM,A007-S,Object,Familiar,1,1,1,,108.00,n/a,n/a,n/a,n/a,n/a,263.2,477.2,740.2,n/a,n/a,n/a,Far,n/a,
