CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,AviaryOrWild,Condition,Time,IndicatedTrial,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,ApproachedFirst,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
2020-02-15,AJB,A007-S 2020-04-08 Boldness Time1 C1 T1,2020-04-08,MM,A007-S,Boldness,Aviary,C1,1,1,0.80,n/a,1.80,n/a,n/a,n/a,n/a,n/a,n/a,306.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-08 Boldness Time1 C1 T2,2020-04-08,MM,A007-S,Boldness,Aviary,C1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,934.80,OutOfView,934.80,n/a,n/a,n/a,
2020-02-15,AJB,A007-S 2020-04-08 Boldness Time1 C1 T3,2020-04-08,MM,A007-S,Boldness,Aviary,C1,1,3,0.80,n/a,1.20,n/a,n/a,n/a,n/a,n/a,n/a,339.00,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-06 Boldness Time1 C2 T1,2020-04-06,MM,A007-S,Boldness,Aviary,C2,1,1,0.00,n/a,9.00,n/a,n/a,n/a,n/a,n/a,n/a,311.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-06 Boldness Time1 C2 T2,2020-04-06,MM,A007-S,Boldness,Aviary,C2,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,905.60,OutOfView,905.60,n/a,n/a,n/a,
2020-02-15,AJB,A007-S 2020-04-06 Boldness Time1 C2 T3,2020-04-06,MM,A007-S,Boldness,Aviary,C2,1,3,8.40,n/a,11.00,n/a,n/a,n/a,n/a,n/a,n/a,408.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-07 Boldness Time1 C3 T1,2020-04-07,MM,A007-S,Boldness,Aviary,C3,1,1,10.20,n/a,14.00,n/a,n/a,n/a,n/a,n/a,n/a,345.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-07 Boldness Time1 C3 T2,2020-04-07,MM,A007-S,Boldness,Aviary,C3,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,907.40,OutOfView,907.40,n/a,n/a,n/a,
2020-02-15,AJB,A007-S 2020-04-07 Boldness Time1 C3 T3,2020-04-07,MM,A007-S,Boldness,Aviary,C3,1,3,8.20,n/a,11.20,n/a,n/a,n/a,n/a,n/a,n/a,312.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-22 Boldness Time2 C1 T1,2020-04-22,MM,A007-S,Boldness,Aviary,C1,2,1,2.00,n/a,3.00,n/a,n/a,n/a,n/a,n/a,n/a,316.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-22 Boldness Time2 C1 T2,2020-04-22,MM,A007-S,Boldness,Aviary,C1,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,912.20,OutOfView,912.20,n/a,n/a,n/a,
2020-02-15,AJB,A007-S 2020-04-22 Boldness Time2 C1 T3,2020-04-22,MM,A007-S,Boldness,Aviary,C1,2,3,1.40,n/a,3.00,n/a,n/a,n/a,n/a,n/a,n/a,319.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-20 Boldness Time2 C2 T1,2020-04-20,MM,A007-S,Boldness,Aviary,C2,2,1,3.20,n/a,5.40,n/a,n/a,n/a,n/a,n/a,n/a,312.20,n/a,n/a,n/a,No Solomon output excel file because not trial 2
2020-02-15,AJB,A007-S 2020-04-20 Boldness Time2 C2 T2,2020-04-20,MM,A007-S,Boldness,Aviary,C2,2,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,913.20,OutOfView,913.20,n/a,n/a,n/a,
2020-02-15,AJB,A007-S 2020-04-20 Boldness Time2 C2 T3,2020-04-20,MM,A007-S,Boldness,Aviary,C2,2,3,1.40,n/a,4.00,n/a,n/a,n/a,n/a,n/a,n/a,309.60,n/a,n/a,n/a,No Solomon output excel file because not trial 2
