"","BirdID","Test","Time","LatencyFirstLand","Name","FlexGroup"
"1","A007-S","Cat","1",900,"Taquito","Control"
"2","A007-S","Hawk","1",900,"Taquito","Control"
"3","A022-N","Cat","1",900,"Tomatillo","Control"
"4","A022-N","Hawk","1",900,"Tomatillo","Control"
"5","A025GO","Cat","1",900,"Chalupa","Manipulation"
"6","A025GO","Hawk","1",900,"Chalupa","Manipulation"
"7","A031-Y","Cat","1",319.8,"Queso","Control"
"8","A031-Y","Hawk","1",900,"Queso","Control"
"9","A035P-","Cat","1",659.2,"Mole","Manipulation"
"10","A035P-","Hawk","1",900,"Mole","Manipulation"
"11","A036R-","Cat","1",900,"Habanero","Manipulation"
"12","A036R-","Hawk","1",900,"Habanero","Manipulation"
"13","A042GY","Cat","1",900,"Tapa","Control"
"14","A042GY","Hawk","1",900,"Tapa","Control"
"16","A044KS","Cat","1",431.8,"Fideo","Control"
"17","A044KS","Hawk","1",900,"Fideo","Control"
"18","A046NG","Cat","1",900,"Avocada","Control"
"19","A046NG","Hawk","1",900,"Avocada","Control"
"20","A064LR","Cat","1",668.6,"Diablo","Manipulation"
"21","A064LR","Hawk","1",900,"Diablo","Manipulation"
"22","A068YS","Cat","1",900,"Burrito","Manipulation"
"23","A068YS","Hawk","1",836.2,"Burrito","Manipulation"
"24","A070KP","Cat","1",900,"Taco","Control"
"25","A070KP","Hawk","1",900,"Taco","Control"
"26","A073OL","Cat","1",900,"Adobo","Manipulation"
"27","A073OL","Hawk","1",900,"Adobo","Manipulation"
"28","A075Y-","Cat","1",900,"Marisco","Control"
"29","A075Y-","Hawk","1",346,"Marisco","Control"
"31","A086GB","Cat","1",900,"Chilaquile","Manipulation"
"32","A086GB","Hawk","1",722.2,"Chilaquile","Manipulation"
"33","A087AG","Cat","1",739.8,"Yuca","Control"
"34","A087AG","Hawk","1",900,"Yuca","Control"
"35","A088YR","Cat","1",143.4,"Pizza","Control"
"36","A088YR","Hawk","1",900,"Pizza","Control"
"38","A090SB","Cat","1",900,"Mofongo","Control"
"39","A090SB","Hawk","1",900,"Mofongo","Control"
"40","A096NS","Cat","1",45.4,"Pollito","Manipulation"
"41","A096NS","Hawk","1",900,"Pollito","Manipulation"
"110","A073OL","Environment","1",874.6,"Adobo","Manipulation"
"210","A073OL","Object","1",2000,"Adobo","Manipulation"
"310","A046NG","Environment","1",953.2,"Avocada","Control"
"42","A046NG","Object","1",673.2,"Avocada","Control"
"51","A068YS","Environment","1",79.4,"Burrito","Manipulation"
"61","A068YS","Object","1",1511.2,"Burrito","Manipulation"
"71","A025GO","Environment","1",836.2,"Chalupa","Manipulation"
"81","A025GO","Object","1",2000,"Chalupa","Manipulation"
"91","A086GB","Environment","1",629.6,"Chilaquile","Manipulation"
"101","A086GB","Object","1",2000,"Chilaquile","Manipulation"
"111","A064LR","Environment","1",2000,"Diablo","Manipulation"
"121","A064LR","Object","1",2000,"Diablo","Manipulation"
"131","A044KS","Environment","1",2000,"Fideo","Control"
"141","A044KS","Object","1",2000,"Fideo","Control"
"15","A036R-","Environment","1",234,"Habanero","Manipulation"
"161","A036R-","Object","1",207.8,"Habanero","Manipulation"
"171","A075Y-","Environment","1",1900,"Marisco","Control"
"181","A075Y-","Object","1",2000,"Marisco","Control"
"191","A090SB","Environment","1",89.8,"Mofongo","Control"
"201","A090SB","Object","1",1889.2,"Mofongo","Control"
"211","A035P-","Environment","1",72.8,"Mole","Manipulation"
"221","A035P-","Object","1",671,"Mole","Manipulation"
"231","A088YR","Environment","1",1462,"Pizza","Control"
"241","A088YR","Object","1",1563.2,"Pizza","Control"
"251","A096NS","Environment","1",918.2,"Pollito","Manipulation"
"261","A096NS","Object","1",1649.8,"Pollito","Manipulation"
"271","A031-Y","Environment","1",296.2,"Queso","Control"
"281","A031-Y","Object","1",1736,"Queso","Control"
"291","A070KP","Environment","1",61.2,"Taco","Control"
"30","A070KP","Object","1",1051.6,"Taco","Control"
"311","A042GY","Environment","1",617.4,"Tapa","Control"
"321","A042GY","Object","1",2000,"Tapa","Control"
"331","A007-S","Environment","1",2000,"Taquito","Control"
"341","A007-S","Object","1",1926.8,"Taquito","Control"
"351","A022-N","Environment","1",391.6,"Tomatillo","Control"
"361","A022-N","Object","1",1513,"Tomatillo","Control"
"37","A087AG","Environment","1",624.6,"Yuca","Control"
"381","A087AG","Object","1",987.2,"Yuca","Control"
