Name,BirdID,Condition,Test,SumTouches,TotTime,TotalMot,UniqueMot,Notes,
Adobo,A073OL,Manip,Environment,51,5443.6,18,"PeckVert, PeckHorz, PeckOnTop, PushVert, PushHorz, PushUpDown, PullVert, PullHorz, GrabVert, GrabHorz, GrabUpDown, StandOnTop, PushOnTop, PullUpDown, PullOnTop, GrabOnTop, GapeHorz, GapeUpDown",,
Adobo,A073OL,Manip,Object,4,5433.8,1,PullHorz,,
Adobo,A073OL,Manip,Boldness,9,3362.2,4,"PullHorz, GrabHorz, PushHorz, PullVert",,
Adobo,A073OL,Manip,MABlogFun,51,904,18,,,
Adobo,A073OL,Manip,MABlogNFun,51,904,18,,,
Adobo,A073OL,Manip,MABplasFun,51,5948,16,"UpsideDownPeck,UpsideDownPull,UpsideDownPush,UpsideDownGape,UpsideDownGrab,StandOnTop,VerticalGape,VerticalPush,VerticalGrab,VerticalPull,HorizontalPush,HorizontalGape,HorizontalPull,HorizontalPeck",,
Adobo,A073OL,Manip,MABplasNFun,51,5948,16,,,
Avocada,A046NG,NA,Environment,0,5483,0,0,,
Avocada,A046NG,NA,Object,0,5449.8,0,0,,
Avocada,A046NG,NA,Boldness,0,3660.8,0,0,,
Avocada,A046NG,NA,MABlogFun,NA,NA,NA,,,
Avocada,A046NG,NA,MABlogNFun,NA,NA,NA,,,
Avocada,A046NG,NA,MABplasFun,NA,NA,NA,,,
Avocada,A046NG,NA,MABplasNFun,NA,NA,NA,,,
Burrito,A068YS,Manip,Environment,51,5419.6,13,"PeckVert, PeckHorz, PeckUpDown, PeckOnTop, PushHorz, PullVert, PullHorz, GrabVert, GrabHorz, GrabUpDown, StandOnTop, PushVert, GapeUpDown",,
Burrito,A068YS,Manip,Object,0,5467.4,0,0,,
Burrito,A068YS,Manip,Boldness,0,3756.2,0,0,,
Burrito,A068YS,Manip,MABlogFun,51,3097,18,,,
Burrito,A068YS,Manip,MABlogNFun,51,3097,18,,,
Burrito,A068YS,Manip,MABplasFun,51,6150,16,,,
Burrito,A068YS,Manip,MABplasNFun,51,6150,16,,,
Chalupa,A025GO,Manip,Environment,0,5430.8,0,,,
Chalupa,A025GO,Manip,Object,0,5477.4,0,,,
Chalupa,A025GO,Manip,Boldness,0,3635.8,0,,,
Chalupa,A025GO,Manip,MABlogFun,NA,NA,NA,,,
Chalupa,A025GO,Manip,MABlogNFun,NA,NA,NA,,,
Chalupa,A025GO,Manip,MABplasFun,6,20087,6,"PeckHorz, GapeHorz, PeckVert, GrabVert, GapeVert, PullVert",,
Chalupa,A025GO,Manip,MABplasNFun,15,20087,6,"PeckHorz, GapeHorz, PeckVert, GrabVert, GapeVert, PullVert",,
Chilaquile,A086GB,Manip,Environment,51,5431,9,"PeckVert, PeckHorz, GrabVert, PullVert, GapeVert, PullHorz, GrabUpDown, PushHorz, StandOnTop",,
Chilaquile,A086GB,Manip,Object,0,5430.4,0,0,,
Chilaquile,A086GB,Manip,Boldness,0,3662.2,0,0,,
Chilaquile,A086GB,Manip,MABlogFun,51,7152,11,,"Persistence numbers not the same in Exp_mot, MotSum",
Chilaquile,A086GB,Manip,MABlogNFun,51,7152,11,,"Persistence numbers not the same in Exp_mot, MotSum",
Chilaquile,A086GB,Manip,MABplasFun,51,6013,19,,"Persistence numbers not the same in Exp_mot, MotSum",
Chilaquile,A086GB,Manip,MABplasNFun,51,6013,19,,"Persistence numbers not the same in Exp_mot, MotSum",
Diablo,A064LR,Manip,Environment,0,5436.4,0,0,,
Diablo,A064LR,Manip,Object,0,6048.6,0,0,,
Diablo,A064LR,Manip,Boldness,0,3766,0,0,,
Diablo,A064LR,Manip,MABlogFun,4,5212,2,"PeckHorz, PullHorz",,
Diablo,A064LR,Manip,MABlogNFun,3,5212,2,,,
Diablo,A064LR,Manip,MABplasFun,51,7322,10,"PeckVert, GrabVert, GrabHorz, PullHorz, PeckHorz, PushHorz, PullVert, GrabVert, PushVert, GapeHorz",,
Diablo,A064LR,Manip,MABplasNFun,10,7322,10,"PeckVert, GrabVert, GrabHorz, PullHorz, PeckHorz, PushHorz, PullVert, GrabVert, PushVert, GapeHorz",,
Fideo,A044KS,CON,Environment,0,5461.4,0,0,,
Fideo,A044KS,CON,Object,0,5452.4,0,0,,
Fideo,A044KS,CON,Boldness,0,3602.8,0,0,,
Fideo,A044KS,CON,MABlogFun,NA,NA,NA,,,
Fideo,A044KS,CON,MABlogNFun,NA,NA,NA,,,
Fideo,A044KS,CON,MABplasFun,NA,NA,NA,,,
Fideo,A044KS,CON,MABplasNFun,NA,NA,NA,,,
Habanero,A036R,Manip,Environment,0,5418,0,0,,
Habanero,A036R,Manip,Object,0,5430.2,0,0,,
Habanero,A036R,Manip,Boldness,0,3082.2,0,0,,
Habanero,A036R,Manip,MABlogFun,51,1249,7,,Did not complete MABlog so don't count motor actions?,
Habanero,A036R,Manip,MABlogNFun,11,1249,7,,Did not complete MABlog so don't count motor actions?,
Habanero,A036R,Manip,MABplasFun,51,12626,15,"PeckVert, PullHorz, PeckHorz, GrabVert, GrabHorz, PeckUpDown, GrabUpDown, PullUpDown, PushHorz, PushVert, PullVert, GapeVert, GapeHorz, GapeUpDown, PushUpDown",,
Habanero,A036R,Manip,MABplasNFun,51,12626,15,"PeckVert, PullHorz, PeckHorz, GrabVert, GrabHorz, PeckUpDown, GrabUpDown, PullUpDown, PushHorz, PushVert, PullVert, GapeVert, GapeHorz, GapeUpDown, PushUpDown",,
Marisco,A075Y,CON,Environment,0,5476.6,0,0,,
Marisco,A075Y,CON,Object,0,5435.2,0,0,,
Marisco,A075Y,CON,Boldness,0,3693.2,0,,Pecked pigeon,
Marisco,A075Y,CON,MABlogFun,40,3607,16,,,
Marisco,A075Y,CON,MABlogNFun,51,3607,16,,,
Marisco,A075Y,CON,MABplasFun,12,4810,3,,,
