CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Name,Test,Condition,Item,Time,Session,LatencyFirstLandingOnFloor,LatencyFirstTimeWithin20cmOfObject,LatencyFirstTouchToFood,LatencyFirstTouchToApparatus,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,TotalTouchesToApparatus,MotorActionsUsed,TotalNumberMotorActionsUsedForThisBirdInThisExperiment,Notes
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A007-S,Taquito,Boldness,1,C1,1,2,1680,n/a,n/a,n/a,n/a,80,1810,n/a,1890,n/a,n/a,n/a,scrounged other grackle's food
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A043KR,Memela,Boldness,1,C1,1,1,1590,1620,1628,n/a,18,33,1857,n/a,1890,n/a,n/a,n/a,
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A044KS,Fideo,Boldness,1,C1,1,2,900,n/a,n/a,n/a,n/a,n/a,1890,n/a,1890,n/a,n/a,n/a,Not around for Trial 1
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A062AP,Pepino,Boldness,1,C1,1,1,900,n/a,n/a,n/a,n/a,n/a,1890,n/a,1890,n/a,n/a,n/a,Not around for Trial 1
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A066KY,Kentucky,Boldness,1,C1,1,1,1600,n/a,n/a,n/a,n/a,50,1840,n/a,1890,n/a,n/a,n/a,scrounged other grackle's food
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A071OK,Pan Dulce,Boldness,1,C1,1,2,900,n/a,n/a,n/a,n/a,n/a,1890,n/a,1890,n/a,n/a,n/a,Not around for Trial 1
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A007-S,Taquito,Boldness,2,C1,1,1,840,n/a,n/a,n/a,n/a,120,1080,Far,1200,n/a,n/a,n/a,12m away
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A043KR,Memela,Boldness,2,C1,1,1,120,n/a,n/a,n/a,n/a,360,840,Far,1200,n/a,n/a,n/a,3m away
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A044KS,Fideo,Boldness,2,C1,1,2,120,n/a,n/a,n/a,n/a,120,1080,Far,1200,n/a,n/a,n/a,2m away
3/11/21,KM,"A007-S, A043KR, A044KS, A062AP, A066KY, A071OK 2020-1-6 Boldness Time1 and Time3 C1 T1-T3",1/6/20,KM,A062AP,Pepino,Boldness,2,C1,1,1,120,n/a,n/a,n/a,n/a,120,1080,Far,1200,n/a,n/a,n/a,4m away
