BirdID,Sex,FollowNumber,Season,DistHumanFood,Notes,Spreadsheet notes
Abeja,F,1,nonbreeding,26.6856,,"All GPS coordinates for each follow are located in the ""Loc FF to Nearest HF"" tab in the focal datasheets for CA and AZ"
Abeja,F,2,nonbreeding,149.1138,,380 unique focal follows total amongst CA (107) and AZ (273) birds (Note Diablo bs ff2 no GPS data entered)
Adobo,M,1,nonbreeding,190.1387,,"Bolded BirdID names are those that sucessfully completed tests in aviaries and thus included in P1-P4, P6 part of FlexFor Analysis"
Adobo,M,2,nonbreeding,121.4664,,All distances are in meters
Ahumada Asada,F,1,nonbreeding,52.7461,,"Birds successful in aviary: Avg # focal follows per bird is 4.51 (x̄ 4.35 for CA, x̄ 4.61 for AZ)"
Alma,F,1,breeding,68.8825,,"All birds: Avg # focal follows per bird is 3.90 (x̄ 4.11 for CA, x̄ 3.87 for AZ)"
Aquaman,M,1,breeding,113.3461,,
Aquaman,M,2,breeding,167.3527,,
Aquaman,M,3,breeding,108.5150,,
Aquaman,M,4,breeding,90.2863,,
Aquaman,M,1,nonbreeding,154.5570,,
Aquaman,M,2,nonbreeding,43.2803,,
Aquaman,M,3,nonbreeding,120.4372,,
Aquaman,M,4,nonbreeding,161.2286,,
Azucara,F,1,breeding,120.7372,,
Azucara,F,1,nonbreeding,127.3818,,
Becky,F,1,breeding,58.0293,,
Birria,F,1,nonbreeding,130.2308,,
Burrito,M,1,breeding,57.8116,,
Burrito,M,2,breeding,97.9379,,
Burrito,M,3,breeding,140.8400,,
Burrito,M,4,breeding,130.4959,,
Burrito,M,1,nonbreeding,93.5670,,
Burrito,M,2,nonbreeding,37.2143,,
Burrito,M,3,nonbreeding,49.3131,,
Burrito,M,4,nonbreeding,48.3724,,
Calabazo,M,1,breeding,746.7104,,
Calabazo,M,2,breeding,724.5865,,
Calabazo,M,3,breeding,668.9589,,
Calabazo,M,4,breeding,613.3504,,
Calabazo,M,1,nonbreeding,592.4937,,
Cebollita,F,1,breeding,119.0710,,
Cebollita,F,1,nonbreeding,90.9797,,
Cemita,F,1,nonbreeding,94.7837,,
Ceviche,F,1,nonbreeding,155.1671,,
Chalupa,F,1,breeding,82.3270,,
Chalupa,F,3,breeding,276.9360,,
Chalupa,F,4,breeding,16.7840,,
Chalupa,F,1,nonbreeding,56.7394,,
Chalupa,F,2,nonbreeding,69.7313,,
Chalupa,F,3,nonbreeding,27.2299,,
Chancaca,F,1,breeding,34.9943,,
Chancaca,F,2,breeding,112.7026,"focal follow data lost, GPS coordinates known",
Chilaquile,M,1,breeding,69.3300,,
Chilaquile,M,2,breeding,65.3582,,
Chilaquile,M,3,breeding,67.8963,,
Chilaquile,M,1,nonbreeding,18.8647,,
Chilaquile,M,2,nonbreeding,35.9201,,
Chilaquile,M,3,nonbreeding,42.9796,,
Chile,M,1,breeding,78.5203,,
Chile,M,2,breeding,78.7925,,
Chile,M,3,breeding,55.9632,,
Chile,M,4,breeding,75.8597,,
Chile,M,1,nonbreeding,59.0576,,
Chimichanga,F,1,breeding,34.2583,,
Chimichanga,F,2,breeding,49.3441,,
Chimichanga,F,1,nonbreeding,58.4679,,
Chimichanga,F,2,nonbreeding,29.9434,,
Chimichanga,F,3,nonbreeding,102.3459,,
Cochinita,F,1,breeding,6.0998,,
