"","Date","BirdID","TimeStamp","How","What","WhatAsEnteredByExperimenter","HumanFood","TotalTimeInView","LocationOfFocal","DistanceToHumanFoodSource","NumberHumanFood","Population","FocalID","Notes","CaloriesPer100g","Phi","Lambda"
"1","2018-11-28","Pico","13:32:45","eat","fry","fry","Yes",671,"33.418678, -111.929119",107.77,"5","AZ",1,"",133,NA,NA
"2","2018-11-28","Pico","13:33:34","eat","fry","fry","Yes",671,"33.418678, -111.929119",107.77,"5","AZ",1,"",133,NA,NA
"3","2018-12-27","Birria","8:40:09","eat","lizard","lizard","No",663,"33.418431, -111.930344",130.23,"N/A","AZ",2,"",119,NA,NA
"4","2019-01-16","Taquito","11:11:11","gape","unknown","unknown","unknown",646,"33.421511, -111.930367",74.78,"7","AZ",3,"",NA,0.0103,4.38858
"5","2019-02-04","Chalupa","7:39:47","eat","grains","ramen noodles","Yes",629,"33.422, -111.937",56.74,"16","AZ",4,"ramen noodles",319,0.06313,3.50323
"6","2019-02-04","Chalupa","7:41:09","eat","insect","bug","No",629,"33.422, -111.937",56.74,"16","AZ",4,"bug",276,0.06313,3.50323
"7","2019-02-04","Fajita","8:13:25","eat","unknown","unknown","unknown",574,"33.422389, -111.931164",79.83,"N/A","AZ",5,"",NA,NA,NA
"8","2019-03-07","Aquaman","8:48:59","gape","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"9","2019-03-07","Aquaman","8:52:32","gape","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"10","2019-03-07","Aquaman","8:54:09","lift or nudge","rock","rock","No",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",0,NA,NA
"11","2019-03-07","Aquaman","8:55:46","stalk catch","unknown","unknown","unknown",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",NA,NA,NA
"12","2019-03-07","Aquaman","8:58:03","flip","rock","rock","No",672,"33.418989, -111.926900",154.56,"5","AZ",6,"",0,NA,NA
"13","2019-04-08","Queso","8:16:31","lift or nudge","rock","pebble","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"pebble",0,0.02706,3.50568
"14","2019-04-08","Queso","8:21:52","stalk catch","unknown","unknown","unknown",900,"33.423261, -111.924375",71.52,"4","AZ",7,"",NA,0.02706,3.50568
"15","2019-04-08","Queso","8:22:03","eat","insect","bug","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"bug",276,0.02706,3.50568
"16","2019-04-08","Queso","8:23:16","stalk catch","unknown","unknown","unknown",900,"33.423261, -111.924375",71.52,"4","AZ",7,"",NA,0.02706,3.50568
"17","2019-04-08","Queso","8:23:34","eat","insect","grasshopper","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"grasshopper",276,0.02706,3.50568
"18","2019-04-08","Queso","8:25:29","eat","insect","bug","No",900,"33.423261, -111.924375",71.52,"4","AZ",7,"bug",276,0.02706,3.50568
"19","2019-04-10","Guapo","8:31:55","eat","insect","bug","No",900,"33.4222137, -111.9200966",408.47,"N/A","AZ",8,"Follow notes indicate Prim8 crashed multiple times - at least 900 seconds recorded; bug eaten",276,NA,NA
"20","2019-04-10","Mixiote","9:34:08","eat","grains","pizza","Yes",602,"33.4174842, -111.9302781",77.39,"6","AZ",9,"pizza",319,NA,NA
"21","2019-05-13","Crema","9:22:23","eat","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"bug",276,NA,NA
"22","2019-05-13","Crema","9:24:54","food share","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"""bug"" qualifier noted in google photos",276,NA,NA
"23","2019-05-13","Crema","9:38:32","food share","insect","bug","No",593,"33.416, -111.9337",254.49,"10","AZ",10,"""bug"" qualifier noted in google photos",276,NA,NA
"24","2019-05-20","Habanero","12:53:36","eat","insect","bug","No",497,"33.4233, -111.9003",2247.94,"24","AZ",11,"bug",276,0.05851,4.78359
"25","2019-05-22","Aquaman","8:32:11","eat","insect","bug","No",1979,"33.4193, -111.9258",113.35,"5","AZ",12,"bug",276,NA,NA
"26","2019-05-22","Aquaman","8:38:50","gape","unknown","unknown","unknown",1979,"33.4193, -111.9258",113.35,"5","AZ",12,"",NA,NA,NA
"27","2019-06-04","Crema","7:53:03","stalk catch","unknown","unknown","unknown",923,"33.4212, -111.9291",115.74,"10","AZ",13,"",NA,NA,NA
"28","2019-06-05","Chile","8:32:11","gape","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"29","2019-06-05","Chile","8:35:48","stalk catch","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"30","2019-06-05","Chile","8:35:55","eat","insect","bug","No",739,"33.4203, -111.9296",78.79,"7","AZ",14,"bug",276,NA,NA
"31","2019-06-05","Chile","8:39:34","food share","unknown","unknown","unknown",739,"33.4203, -111.9296",78.79,"7","AZ",14,"",NA,NA,NA
"32","2019-07-10","Memela","6:53:29","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"33","2019-07-10","Memela","6:53:51","eat","insect","moth","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"moth",276,NA,NA
"34","2019-07-10","Memela","7:02:56","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
"35","2019-07-10","Memela","7:03:59","eat","insect","bug","No",783,"33.4160, -111.9319",181.44,"21","AZ",15,"bug",276,NA,NA
