BirdID,Sex,SumFocalTime,NumFoodTypes,PropFoodTypes,NumForageTechs,PropForageTechs,PropHumanFood,NumHumanFood,PropMicroHabitatHumSurface,PropMicroHabitatBuilding,PropMicroHabitatDumpster,PropMicroHabitatMiscHum,PropMicroHabitatNatGround,PropMicroHabitatRock,PropMicroHabitatShrub,PropMicroHabitatGrass,PropMicroHabitatTree,ShannonDiversityIndex,Phi,Lambda,DomRank,FlexibilityManipulated,Population,HumanPopulationDensity,NumFollows,Notes
Adobo,M,1800,4,0.002,3,0.00,0.50,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.06274,3.26909,0.764706,Yes,AZ,"180,587",2,
Avocada,F,0,,,,,,,,,,,,,,,,,0.03259,2.79385,,No,AZ,"180,587",,No follows
Burrito,M,6550,10,0.002,7,0.00,0.54,5,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.13,0.75,0.75,0.08189,2.20602,0.968000,Yes,AZ,"180,587",8,
Chalupa,F,4024,4,0.001,2,0.00,0.33,2,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.40,1.33,0.06313,3.50323,0.500000,Yes,AZ,"180,587",6,No substrate entered for nbs1
Chilaquile,M,5290,10,0.002,6,0.00,0.52,8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.67,0.63,0.07163,2.82868,0.812500,Yes,AZ,"180,587",6,
Diablo,M,5226,1,0.000,3,0.00,0.00,0,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.60,0.95,0.07797,3.14878,1.000000,Yes,AZ,"180,587",6,No substrate entered for nbs2
Fideo,M,6603,7,0.001,3,0.00,0.69,5,0.00,0.13,0.13,0.38,0.00,0.00,0.00,0.00,0.38,1.26,0.02363,4.13445,0.551724,No,AZ,"180,587",8,
Habanero,M,497,1,0.002,1,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.05851,4.78359,1.000000,Yes,AZ,"180,587",1,
Marisco,M,3497,0,0.000,0,0.00,0.00,0,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.50,1.04,0.06105,3.37725,1.000000,No,AZ,"180,587",4,No foraging behaviors
Mofongo,M,2216,4,0.002,3,0.00,0.33,2,0.25,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.25,1.39,0.10338,5.34865,-0.898305,No,AZ,"180,587",4,
Mole,M,1795,0,0.000,0,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.69,0.08123,2.13987,1.000000,Yes,AZ,"180,587",2,No foraging behaviors
Pizza,M,2360,0,0.000,0,0.00,0.00,0,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.67,0.63,0.04656,3.30433,-0.978261,No,AZ,"180,587",3,No foraging behaviors
