"","BirdID","Sex","Microhabitat","ProportionFollows","Phi","Lambda","MABavgLatencySwitch","NumFollows","FollowsPerHabitat"
"1","Adobo","M","HumanSurface",0,0.06274,3.26909,79,2,0
"2","Adobo","M","Building",0,0.06274,3.26909,79,2,0
"3","Adobo","M","Dumpster",0,0.06274,3.26909,79,2,0
"4","Adobo","M","MiscHuman",0,0.06274,3.26909,79,2,0
"5","Adobo","M","NaturalGround",0,0.06274,3.26909,79,2,0
"6","Adobo","M","Rock",0,0.06274,3.26909,79,2,0
"7","Adobo","M","Shrub",0,0.06274,3.26909,79,2,0
"8","Adobo","M","Grass",0,0.06274,3.26909,79,2,0
"9","Adobo","M","Tree",1,0.06274,3.26909,79,2,2
"10","Burrito","M","HumanSurface",0,0.08189,2.20602,391,8,0
"11","Burrito","M","Building",0.13,0.08189,2.20602,391,8,1
"12","Burrito","M","Dumpster",0,0.08189,2.20602,391,8,0
"13","Burrito","M","MiscHuman",0,0.08189,2.20602,391,8,0
"14","Burrito","M","NaturalGround",0,0.08189,2.20602,391,8,0
"15","Burrito","M","Rock",0,0.08189,2.20602,391,8,0
"16","Burrito","M","Shrub",0,0.08189,2.20602,391,8,0
"17","Burrito","M","Grass",0.13,0.08189,2.20602,391,8,1
"18","Burrito","M","Tree",0.75,0.08189,2.20602,391,8,6
"19","Chalupa","F","HumanSurface",0.2,0.06313,3.50323,NA,6,1
"20","Chalupa","F","Building",0.2,0.06313,3.50323,NA,6,1
"21","Chalupa","F","Dumpster",0,0.06313,3.50323,NA,6,0
"22","Chalupa","F","MiscHuman",0,0.06313,3.50323,NA,6,0
"23","Chalupa","F","NaturalGround",0,0.06313,3.50323,NA,6,0
"24","Chalupa","F","Rock",0,0.06313,3.50323,NA,6,0
"25","Chalupa","F","Shrub",0,0.06313,3.50323,NA,6,0
"26","Chalupa","F","Grass",0.2,0.06313,3.50323,NA,6,1
"27","Chalupa","F","Tree",0.4,0.06313,3.50323,NA,6,2
"28","Chilaquile","M","HumanSurface",0,0.07163,2.82868,170,6,0
"29","Chilaquile","M","Building",0,0.07163,2.82868,170,6,0
"30","Chilaquile","M","Dumpster",0,0.07163,2.82868,170,6,0
"31","Chilaquile","M","MiscHuman",0,0.07163,2.82868,170,6,0
"32","Chilaquile","M","NaturalGround",0,0.07163,2.82868,170,6,0
"33","Chilaquile","M","Rock",0,0.07163,2.82868,170,6,0
"34","Chilaquile","M","Shrub",0,0.07163,2.82868,170,6,0
"35","Chilaquile","M","Grass",0.33,0.07163,2.82868,170,6,2
"36","Chilaquile","M","Tree",0.67,0.07163,2.82868,170,6,4
"37","Diablo","M","HumanSurface",0,0.07797,3.14878,NA,6,0
"38","Diablo","M","Building",0.2,0.07797,3.14878,NA,6,1
"39","Diablo","M","Dumpster",0,0.07797,3.14878,NA,6,0
"40","Diablo","M","MiscHuman",0,0.07797,3.14878,NA,6,0
"41","Diablo","M","NaturalGround",0,0.07797,3.14878,NA,6,0
"42","Diablo","M","Rock",0,0.07797,3.14878,NA,6,0
"43","Diablo","M","Shrub",0,0.07797,3.14878,NA,6,0
"44","Diablo","M","Grass",0.2,0.07797,3.14878,NA,6,1
"45","Diablo","M","Tree",0.6,0.07797,3.14878,NA,6,4
"46","Fideo","M","HumanSurface",0,0.02363,4.13445,NA,8,0
"47","Fideo","M","Building",0.13,0.02363,4.13445,NA,8,1
"48","Fideo","M","Dumpster",0.13,0.02363,4.13445,NA,8,1
"49","Fideo","M","MiscHuman",0.38,0.02363,4.13445,NA,8,3
"50","Fideo","M","NaturalGround",0,0.02363,4.13445,NA,8,0
"51","Fideo","M","Rock",0,0.02363,4.13445,NA,8,0
"52","Fideo","M","Shrub",0,0.02363,4.13445,NA,8,0
"53","Fideo","M","Grass",0,0.02363,4.13445,NA,8,0
"54","Fideo","M","Tree",0.38,0.02363,4.13445,NA,8,3
"55","Habanero","M","HumanSurface",0,0.05851,4.78359,NA,1,0
"56","Habanero","M","Building",0,0.05851,4.78359,NA,1,0
"57","Habanero","M","Dumpster",0,0.05851,4.78359,NA,1,0
"58","Habanero","M","MiscHuman",0,0.05851,4.78359,NA,1,0
"59","Habanero","M","NaturalGround",0,0.05851,4.78359,NA,1,0
"60","Habanero","M","Rock",0,0.05851,4.78359,NA,1,0
"61","Habanero","M","Shrub",0,0.05851,4.78359,NA,1,0
"62","Habanero","M","Grass",0,0.05851,4.78359,NA,1,0
"63","Habanero","M","Tree",1,0.05851,4.78359,NA,1,1
"64","Marisco","M","HumanSurface",0,0.06105,3.37725,208,4,0
"65","Marisco","M","Building",0.25,0.06105,3.37725,208,4,1
"66","Marisco","M","Dumpster",0,0.06105,3.37725,208,4,0
"67","Marisco","M","MiscHuman",0.25,0.06105,3.37725,208,4,1
"68","Marisco","M","NaturalGround",0,0.06105,3.37725,208,4,0
"69","Marisco","M","Rock",0,0.06105,3.37725,208,4,0
"70","Marisco","M","Shrub",0,0.06105,3.37725,208,4,0
"71","Marisco","M","Grass",0,0.06105,3.37725,208,4,0
"72","Marisco","M","Tree",0.5,0.06105,3.37725,208,4,2
"73","Mofongo","M","HumanSurface",0.25,0.10338,5.34865,630,4,1
"74","Mofongo","M","Building",0.25,0.10338,5.34865,630,4,1
"75","Mofongo","M","Dumpster",0,0.10338,5.34865,630,4,0
"76","Mofongo","M","MiscHuman",0.25,0.10338,5.34865,630,4,1
"77","Mofongo","M","NaturalGround",0,0.10338,5.34865,630,4,0
"78","Mofongo","M","Rock",0,0.10338,5.34865,630,4,0
"79","Mofongo","M","Shrub",0,0.10338,5.34865,630,4,0
"80","Mofongo","M","Grass",0,0.10338,5.34865,630,4,0
"81","Mofongo","M","Tree",0.25,0.10338,5.34865,630,4,1
"82","Mole","M","HumanSurface",0,0.08123,2.13987,1173,2,0
"83","Mole","M","Building",0,0.08123,2.13987,1173,2,0
"84","Mole","M","Dumpster",0,0.08123,2.13987,1173,2,0
"85","Mole","M","MiscHuman",0,0.08123,2.13987,1173,2,0
"86","Mole","M","NaturalGround",0,0.08123,2.13987,1173,2,0
"87","Mole","M","Rock",0,0.08123,2.13987,1173,2,0
"88","Mole","M","Shrub",0,0.08123,2.13987,1173,2,0
"89","Mole","M","Grass",0.5,0.08123,2.13987,1173,2,1
"90","Mole","M","Tree",0.5,0.08123,2.13987,1173,2,1
