Date,FocalBirdID,TimeStamp,Behavior,NonFocalBirdID,BehavType,OutcomeFocalBird,GroupSize,Sex,Site,Notes
2019-10-29,Abeja,13:20:31,vicinity,unbanded adult female,affiliative,NA,1,F,AZ,
2019-10-29,Abeja,13:21:18,vicinity,unbanded adult female,affiliative,NA,1,F,AZ,
2019-10-29,Abeja,13:26:50,vicinity,unbanded adult female,affiliative,NA,1,F,AZ,
2019-10-29,Abeja,13:27:30,vicinity,unbanded adult male,affiliative,NA,1,F,AZ,
2019-10-29,Abeja,13:34:04,proximity,unbanded adult female,affiliative,NA,1,F,AZ,added proximity before displace
2019-10-29,Abeja,13:34:05,displace,unbanded adult female,aggressive,Lose,1,F,AZ,
2019-10-29,Abeja,13:34:16,vicinity,unbanded adult female,affiliative,NA,1,F,AZ,
2019-12-09,Abeja,9:34:23,vicinity,unbanded adult male,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:34:27,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:34:30,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:34:34,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:34:56,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:37:08,vicinity,Pan Dulce,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:03,vicinity,unknown adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:24,vicinity,Pan Dulce,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:27,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:30,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:34,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:40:44,vicinity,Pan Dulce,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:41:13,vicinity,Torta,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:41:54,proximity,Torta,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:42:04,vicinity,Torta,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:43:13,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:43:17,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:43:19,vicinity,unknown adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:43:35,head-up,unbanded adult female,aggressive,Win,3,F,AZ,
2019-12-09,Abeja,9:48:28,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:48:30,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:48:36,proximity,unbanded adult female,affiliative,NA,3,F,AZ,added proximity before theft
2019-12-09,Abeja,9:48:37,tolerated theft,unbanded adult female,affiliative,NA,3,F,AZ,Lose
2019-12-09,Abeja,9:51:33,vicinity,Pan Dulce,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:51:48,vicinity,Tortilla,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:51:57,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:52:00,vicinity,unbanded adult female,affiliative,NA,3,F,AZ,
2019-12-09,Abeja,9:52:22,vicinity,Torta,affiliative,NA,3,F,AZ,
