Year,City,HumanPopDensity,PopulationCount,Source
2009,Tempe,4322,172589,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2010,Tempe,4050.1,161719,"https://www.census.gov/quickfacts/fact/table/tempecityarizona,US/POP060220 "
2011,Tempe,4105,163928,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2012,Tempe,4111,164139,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2013,Tempe,4126,164742,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2014,Tempe,4182,166975,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2015,Tempe,4253,169816,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2016,Tempe,4375,174708,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2017,Tempe,4466,178339,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2018,Tempe,4599,183652,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2020,Tempe,4521.2,180587,"https://www.census.gov/quickfacts/fact/table/tempecityarizona,US/POP060220 "
2009,Woodland,3468,53069,https://www.opendatanetwork.com/entity/1600000US0686328-1600000US0473000/Woodland_CA-Tempe_AZ/geographic.population.density?year=2018&ref=compare-entity
2010,Woodland,3624.7,55468,https://www.census.gov/quickfacts/fact/table/woodlandcitycalifornia/POP060220
