grains      ,0.23,1.34,-1.97,2.27
insect      ,0.26,1.23,-1.71,2.28
rock        ,-0.11,1.37,-2.31,1.99
unknown     ,0.00,1.22,-1.96,1.92
vegetation  ,0.36,1.40,-1.98,2.44
food crumbs ,0.13,1.23,-1.84,2.11
cat food    ,0.73,1.33,-1.50,2.89
seed        ,-0.26,1.38,-2.50,1.95
fruit       ,1.02,1.39,-1.17,3.26
chicken     ,0.34,1.47,-2.03,2.60
condiment   ,0.43,1.37,-1.69,2.61
fry         ,-0.17,1.38,-2.45,2.03
misc. trash ,0.16,1.27,-1.90,2.19
vomit       ,-0.56,1.32,-2.66,1.67
,,,,
average across food types,0.52,0.44,-0.19,1.22
,,,,
flip ,0.78,1.32,-1.44,2.71
gape ,0.28,1.21,-1.69,2.15
stalk/catch,0.63,1.28,-1.43,2.60
break into pieces,-0.24,1.31,-2.17,1.83
lift or nudge,-0.26,1.38,-2.40,1.99
dig  ,0.40,1.32,-1.71,2.44
dunk in water,0.43,1.28,-1.58,2.47
theft,-0.27,1.34,-2.31,2.04
,,,,
average across foraging techniques,0.58,0.64,-0.43,1.62
