PHI (MALES),,,,,,
Building,0.20,0.27,-0.23,0.61,2858.45,1
Dumpster,-0.01,0.42,-0.71,0.62,2688.07,1
Grass,0.28,0.29,-0.19,0.73,2757.13,1
Human surface,-0.18,0.30,-0.68,0.28,3228.37,1
Misc human,-0.24,0.30,-0.72,0.23,3234.41,1
Natural ground,0.04,0.34,-0.48,0.58,3603.94,1
Rock,0.28,0.42,-0.41,0.96,2327.11,1
Shrub,-0.16,0.40,-0.84,0.46,2549.61,1
Tree,-0.01,0.19,-0.32,0.29,3069.74,1
LAMBDA (MALES),,,,,,
Building,0.18,0.28,-0.28,0.62,2800,1
Dumpster,-0.11,0.44,-0.85,0.56,2565,1
Grass,-0.07,0.32,-0.60,0.42,2754,1
Human surface,0.17,0.30,-0.31,0.64,3780,1
Misc human,0.34,0.27,-0.09,0.77,3201,1
Natural ground,0.32,0.35,-0.24,0.87,2581,1
Rock,0.08,0.46,-0.71,0.80,2879,1
Shrub,-0.59,0.48,-1.42,0.13,2339,1
Tree,-0.32,0.21,-0.67,0.01,3782,1
LATENCY (MALES),,,,,,
Building,0.40,0.26,-0.01,0.81,2509.69,1
Dumpster,-0.02,0.44,-0.76,0.62,2622.36,1
Grass,-0.39,0.39,-1.06,0.18,2174.13,1
Human surface,0.21,0.29,-0.26,0.68,2455.05,1
Misc human,-0.22,0.34,-0.78,0.28,2207.25,1
Natural ground,0.05,0.34,-0.51,0.55,3218.02,1
Rock,-0.12,0.48,-0.95,0.60,2946.13,1
Shrub,0.34,0.35,-0.24,0.89,2699.78,1
Tree,-0.28,0.21,-0.63,0.05,3230.49,1
