"","ID","Test","Dur.sec","Trial","Reversal","cent.rev"
"2","Adobo","LatencyMABplastic",36,NA,1,-0.914901270616327
"3","Adobo","LatencyMABplastic",5,NA,2,-0.381208862756803
"4","Adobo","LatencyMABplastic",52,NA,3,0.152483545102721
"5","Adobo","LatencyMABwooden",85,NA,1,-0.914901270616327
"6","Adobo","LatencyMABwooden",109,NA,2,-0.381208862756803
"7","Adobo","LatencyMABwooden",43,NA,3,0.152483545102721
"17","Burrito","LatencyMABplastic",121,NA,1,-0.914901270616327
"18","Burrito","LatencyMABplastic",92,NA,2,-0.381208862756803
"19","Burrito","LatencyMABplastic",14,NA,3,0.152483545102721
"20","Burrito","LatencyMABwooden",91,NA,1,-0.914901270616327
"21","Burrito","LatencyMABwooden",107,NA,2,-0.381208862756803
"22","Burrito","LatencyMABwooden",974,NA,3,0.152483545102721
"41","Chilaquile","LatencyMABplastic",23,NA,1,-0.914901270616327
"42","Chilaquile","LatencyMABplastic",31,NA,2,-0.381208862756803
"43","Chilaquile","LatencyMABplastic",78,NA,3,0.152483545102721
"44","Chilaquile","LatencyMABwooden",110,NA,1,-0.914901270616327
"45","Chilaquile","LatencyMABwooden",212,NA,2,-0.381208862756803
"46","Chilaquile","LatencyMABwooden",188,NA,3,0.152483545102721
"54","Diablo","LatencyMABplastic",37,NA,1,-0.914901270616327
"55","Diablo","LatencyMABplastic",12,NA,2,-0.381208862756803
"56","Diablo","LatencyMABwooden",770,NA,1,-0.914901270616327
"69","Habanero","LatencyMABplastic",13,NA,1,-0.914901270616327
"70","Habanero","LatencyMABplastic",32,NA,2,-0.381208862756803
"71","Habanero","LatencyMABplastic",39,NA,3,0.152483545102721
"72","Habanero","LatencyMABwooden",940,NA,1,-0.914901270616327
"82","Marisco","LatencyMABwooden",409,NA,1,-0.914901270616327
"83","Marisco","LatencyMABwooden",6,NA,2,-0.381208862756803
"98","Mofongo","LatencyMABplastic",656,NA,1,-0.914901270616327
"99","Mofongo","LatencyMABplastic",408,NA,2,-0.381208862756803
"100","Mofongo","LatencyMABplastic",443,NA,3,0.152483545102721
