Batch,ID,ExperimentalGroup,ReverseNumber,TrialsToReverse
Pilot,Empanada,Control,1,110
Pilot,Fajita,Manipulation,1,100
Pilot,Fajita,Manipulation,2,70
Pilot,Fajita,Manipulation,3,80
Pilot,Fajita,Manipulation,4,50
Pilot,Fajita,Manipulation,5,60
Pilot,Fajita,Manipulation,6,90
Pilot,Fajita,Manipulation,7,110
Pilot,Fajita,Manipulation,8,110
Pilot,Fajita,Manipulation,9,50
Pilot,Fajita,Manipulation,10,60
Pilot,Fajita,Manipulation,11,40
Pilot,Fajita,Manipulation,12,60
Pilot,Fajita,Manipulation,13,100
Pilot,Fajita,Manipulation,14,70
Pilot,Fajita,Manipulation,15,60
Pilot,Fajita,Manipulation,16,40
Pilot,Fajita,Manipulation,17,50
Pilot,Fajita,Manipulation,18,100
Pilot,Fajita,Manipulation,19,70
Pilot,Fajita,Manipulation,20,40
Pilot,Fajita,Manipulation,21,70
Pilot,Fajita,Manipulation,22,60
Pilot,Fajita,Manipulation,23,50
Pilot,Fajita,Manipulation,24,60
Pilot,Fajita,Manipulation,25,60
Pilot,Fajita,Manipulation,26,70
Pilot,Fajita,Manipulation,27,50
Pilot,Fajita,Manipulation,28,40
Pilot,Fajita,Manipulation,29,80
Pilot,Fajita,Manipulation,30,50
Pilot,Fajita,Manipulation,31,60
Pilot,Fajita,Manipulation,32,80
Pilot,Fajita,Manipulation,33,40
Pilot,Fajita,Manipulation,34,30
Pilot,Fajita,Manipulation,35,50
Pilot,Fajita,Manipulation,36,90
Pilot,Fajita,Manipulation,37,120
Pilot,Fajita,Manipulation,38,40
Pilot,Fajita,Manipulation,39,NA
1,Tomatillo,Control,1,50
1,Queso,Control,1,70
1,Queso,Control,1,460
1,Chalupa,Manipulation,1,90
1,Chalupa,Manipulation,2,50
1,Chalupa,Manipulation,3,70
1,Chalupa,Manipulation,4,60
1,Chalupa,Manipulation,5,40
1,Chalupa,Manipulation,6,60
1,Chalupa,Manipulation,7,50
1,Chalupa,Manipulation,8,50
1,Mole,Manipulation,1,70
1,Mole,Manipulation,2,110
1,Mole,Manipulation,3,110
1,Mole,Manipulation,4,70
1,Mole,Manipulation,5,70
1,Mole,Manipulation,6,40
1,Mole,Manipulation,7,50
1,Mole,Manipulation,1,307
1,Mole,Manipulation,2,230
1,Mole,Manipulation,3,290
1,Mole,Manipulation,4,350
1,Mole,Manipulation,5,320
1,Habanero,Manipulation,1,80
1,Habanero,Manipulation,2,70
1,Habanero,Manipulation,3,70
1,Habanero,Manipulation,4,60
1,Habanero,Manipulation,5,50
1,Habanero,Manipulation,6,40
1,Habanero,Manipulation,1,290
1,Habanero,Manipulation,2,370
1,Tapa,Control,1,100
1,Tapa,Control,1,NA
1,Memela,Manipulation,1,60
1,Memela,Manipulation,2,70
1,Memela,Manipulation,3,150
1,Memela,Manipulation,4,80
1,Memela,Manipulation,5,100
1,Memela,Manipulation,6,90
1,Memela,Manipulation,7,60
1,Memela,Manipulation,8,90
1,Memela,Manipulation,9,60
1,Memela,Manipulation,10,70
1,Memela,Manipulation,11,80
2,Fideo,Control,1,70
1,Avocada,Control,1,100
3,Diablo,Manipulation,1,80
3,Diablo,Manipulation,2,110
3,Diablo,Manipulation,3,130
3,Diablo,Manipulation,4,170
3,Diablo,Manipulation,5,130
3,Diablo,Manipulation,6,80
3,Diablo,Manipulation,7,50
3,Diablo,Manipulation,8,40
Juv,Taco,None,1,80
3,Burrito,Manipulation,1,60
3,Burrito,Manipulation,2,50
3,Burrito,Manipulation,3,90
3,Burrito,Manipulation,4,110
3,Burrito,Manipulation,5,90
3,Burrito,Manipulation,6,60
3,Burrito,Manipulation,7,50
3,Burrito,Manipulation,8,23
3,Adobo,Manipulation,1,100
3,Adobo,Manipulation,2,90
3,Adobo,Manipulation,3,80
3,Adobo,Manipulation,4,60
3,Adobo,Manipulation,5,50
3,Adobo,Manipulation,6,50
3,Marisco,Control,1,50
3,Pavo,Control,NA,NA
3,Chilaquile,Manipulation,1,40
3,Chilaquile,Manipulation,2,70
3,Chilaquile,Manipulation,3,70
3,Chilaquile,Manipulation,4,90
3,Chilaquile,Manipulation,5,50
3,Chilaquile,Manipulation,6,30
3,Yuca,Control,1,80
3,Pizza,Control,1,60
4,Pollito,Manipulation,1,60
4,Pollito,Manipulation,2,60
4,Pollito,Manipulation,3,50
4,Pollito,Manipulation,4,70
4,Pollito,Manipulation,5,90
4,Pollito,Manipulation,6,60
4,Pollito,Manipulation,7,50
4,Pollito,Manipulation,8,40
4,Mofongo,Control,1,40
4,Taquito,Control,1,160
4,Guacamole,Manipulation,,NA
3,Huachinango,Control,,NA
