Date,Experimenter,Batch,ID,ExperimentalGroup,TrialsInitialDiscrimination,ReverseNumber,TrialsToReverse,TubesOrTouchscreen,Notes
13-Feb-18,ZJU,Pilot,Empanada,Control,70,1,110,TUBES,
13-Feb-18,ZJU,Pilot,Fajita,Manipulation,60,1,100,TUBES,
15-Feb-18,ZJU,Pilot,Fajita,Manipulation,,2,70,TUBES,
16-Feb-18,ZJU,Pilot,Fajita,Manipulation,,3,80,TUBES,
19-Feb-18,ZJU,Pilot,Fajita,Manipulation,,4,50,TUBES,
21-Feb-18,ZJU,Pilot,Fajita,Manipulation,,5,60,TUBES,
23-Feb-18,ZJU,Pilot,Fajita,Manipulation,,6,90,TUBES,
27-Feb-18,ZJU,Pilot,Fajita,Manipulation,,7,110,TUBES,
3-Mar-18,ZJU,Pilot,Fajita,Manipulation,,8,110,TUBES,
6-Mar-18,ZJU,Pilot,Fajita,Manipulation,,9,50,TUBES,
7-Mar-18,ZJU,Pilot,Fajita,Manipulation,,10,60,TUBES,
7-Mar-18,ZJU,Pilot,Fajita,Manipulation,,11,40,TUBES,
8-Mar-18,ZJU,Pilot,Fajita,Manipulation,,12,60,TUBES,
9-Mar-18,ZJU,Pilot,Fajita,Manipulation,,13,100,TUBES,
9-Mar-18,ZJU,Pilot,Fajita,Manipulation,,14,70,TUBES,
12-Mar-18,ZJU,Pilot,Fajita,Manipulation,,15,60,TUBES,
12-Mar-18,ZJU,Pilot,Fajita,Manipulation,,16,40,TUBES,
13-Mar-18,ZJU,Pilot,Fajita,Manipulation,,17,50,TUBES,
15-Mar-18,CR,Pilot,Fajita,Manipulation,,18,100,TUBES,
15-Mar-18,CR,Pilot,Fajita,Manipulation,,19,70,TUBES,
16-Mar-18,ZJU,Pilot,Fajita,Manipulation,,20,40,TUBES,
17-Mar-18,ZJU,Pilot,Fajita,Manipulation,,21,70,TUBES,
20-Mar-18,ZJU,Pilot,Fajita,Manipulation,,22,60,TUBES,
21-Mar-18,ZJU,Pilot,Fajita,Manipulation,,23,50,TUBES,
22-Mar-18,ZJU,Pilot,Fajita,Manipulation,,24,60,TUBES,
23-Mar-18,ZJU,Pilot,Fajita,Manipulation,,25,60,TUBES,
25-Mar-18,CR,Pilot,Fajita,Manipulation,,26,70,TUBES,
25-Mar-18,CR,Pilot,Fajita,Manipulation,,27,50,TUBES,
26-Mar-18,ZJU,Pilot,Fajita,Manipulation,,28,40,TUBES,
27-Mar-18,ZJU,Pilot,Fajita,Manipulation,,29,80,TUBES,
28-Mar-18,ZJU,Pilot,Fajita,Manipulation,,30,50,TUBES,
30-Mar-18,ZJU,Pilot,Fajita,Manipulation,,31,60,TUBES,
3-Apr-18,ZJU,Pilot,Fajita,Manipulation,,32,80,TUBES,
3-Apr-18,ZJU,Pilot,Fajita,Manipulation,,33,40,TUBES,
