ID,Reversal,10TrialBlockNumber,CorrectPer10TrialBlock,TotalSamplingBlocks(2-8correct),TotalAcquisitionBlocks(9-10correct),Total10TrialBlocks,SamplingRatio,AcquisitionRatio
Chalupa,1,1,3,8,1,9,0.89,0.11
Chalupa,1,2,4,,,,,
Chalupa,1,3,2,,,,,
Chalupa,1,4,3,,,,,
Chalupa,1,5,2,,,,,
Chalupa,1,6,6,,,,,
Chalupa,1,7,6,,,,,
Chalupa,1,8,8,,,,,
Chalupa,1,9,10,,,,,
Chalupa,2,1,0,1,1,5,0.20,0.20
Chalupa,2,2,1,,,,,
Chalupa,2,3,5,,,,,
Chalupa,2,4,8,,,,,
Chalupa,2,5,9,,,,,
Chalupa,3,1,2,5,2,7,0.71,0.29
Chalupa,3,2,3,,,,,
Chalupa,3,3,4,,,,,
Chalupa,3,4,5,,,,,
Chalupa,3,5,4,,,,,
Chalupa,3,6,9,,,,,
Chalupa,3,7,10,,,,,
Chalupa,4,1,1,4,1,6,0.67,0.17
Chalupa,4,2,4,,,,,
Chalupa,4,3,5,,,,,
Chalupa,4,4,6,,,,,
Chalupa,4,5,8,,,,,
Chalupa,4,6,10,,,,,
Chalupa,5,1,4,2,2,4,0.50,0.50
Chalupa,5,2,3,,,,,
Chalupa,5,3,10,,,,,
Chalupa,5,4,9,,,,,
Chalupa,6,1,4,3,3,6,0.50,0.50
Chalupa,6,2,5,,,,,
Chalupa,6,3,10,,,,,
Chalupa,6,4,7,,,,,
Chalupa,6,5,10,,,,,
Chalupa,6,6,10,,,,,
Chalupa,7,1,1,3,1,5,0.60,0.20
Chalupa,7,2,3,,,,,
Chalupa,7,3,7,,,,,
Chalupa,7,4,10,,,,,
Chalupa,7,5,8,,,,,
Chalupa,8,1,2,4,1,5,0.80,0.20
Chalupa,8,2,3,,,,,
Chalupa,8,3,4,,,,,
Chalupa,8,4,8,,,,,
Chalupa,8,5,10,,,,,
Diablo,1,1,0,5,1,8,0.63,0.13
Diablo,1,2,1,,,,,
Diablo,1,3,3,,,,,
Diablo,1,4,3,,,,,
Diablo,1,5,5,,,,,
Diablo,1,6,5,,,,,
Diablo,1,7,8,,,,,
Diablo,1,8,9,,,,,
Diablo,2,1,0,8,2,11,0.73,0.18
Diablo,2,2,2,,,,,
Diablo,2,3,3,,,,,
Diablo,2,4,2,,,,,
Diablo,2,5,2,,,,,
Diablo,2,6,2,,,,,
Diablo,2,7,4,,,,,
Diablo,2,8,5,,,,,
Diablo,2,9,5,,,,,
Diablo,2,10,9,,,,,
Diablo,2,11,10,,,,,
Diablo,3,1,1,9,2,13,0.69,0.15
Diablo,3,2,1,,,,,
Diablo,3,3,3,,,,,
Diablo,3,4,3,,,,,
Diablo,3,5,5,,,,,
Diablo,3,6,5,,,,,
Diablo,3,7,4,,,,,
Diablo,3,8,3,,,,,
Diablo,3,9,3,,,,,
Diablo,3,10,3,,,,,
Diablo,3,11,6,,,,,
Diablo,3,12,10,,,,,
Diablo,3,13,10,,,,,
Diablo,4,1,2,15,1,17,0.88,0.06
Diablo,4,2,0,,,,,
Diablo,4,3,2,,,,,
Diablo,4,4,4,,,,,
Diablo,4,5,4,,,,,
Diablo,4,6,5,,,,,
Diablo,4,7,5,,,,,
Diablo,4,8,5,,,,,
Diablo,4,9,3,,,,,
Diablo,4,10,3,,,,,
Diablo,4,11,4,,,,,
Diablo,4,12,4,,,,,
Diablo,4,13,3,,,,,
Diablo,4,14,8,,,,,
Diablo,4,15,5,,,,,
Diablo,4,16,8,,,,,
Diablo,4,17,10,,,,,
Diablo,5,1,2,12,1,13,0.92,0.08
Diablo,5,2,2,,,,,
Diablo,5,3,2,,,,,
Diablo,5,4,4,,,,,
Diablo,5,5,4,,,,,
Diablo,5,6,3,,,,,
Diablo,5,7,4,,,,,
Diablo,5,8,3,,,,,
Diablo,5,9,4,,,,,
Diablo,5,10,4,,,,,
Diablo,5,11,6,,,,,
Diablo,5,12,9,,,,,
Diablo,5,13,10,,,,,
Diablo,6,1,4,7,1,8,0.88,0.13
Diablo,6,2,6,,,,,
Diablo,6,3,4,,,,,
Diablo,6,4,7,,,,,
Diablo,6,5,8,,,,,
Diablo,6,6,7,,,,,
Diablo,6,7,9,,,,,
Diablo,6,8,10,,,,,
Diablo,7,1,2,3,2,5,0.60,0.40
Diablo,7,2,3,,,,,
Diablo,7,3,7,,,,,
Diablo,7,4,9,,,,,
Diablo,7,5,10,,,,,
Diablo,8,1,4,2,2,4,0.50,0.50
Diablo,8,2,7,,,,,
Diablo,8,3,9,,,,,
Diablo,8,4,9,,,,,
Adobo,1,1,2,8,1,10,0.80,0.10
Adobo,1,2,1,,,,,
Adobo,1,3,8,,,,,
Adobo,1,4,2,,,,,
Adobo,1,5,3,,,,,
Adobo,1,6,3,,,,,
Adobo,1,7,3,,,,,
Adobo,1,8,5,,,,,
Adobo,1,9,8,,,,,
Adobo,1,10,9,,,,,
Adobo,2,1,1,5,2,9,0.56,0.22
Adobo,2,2,1,,,,,
Adobo,2,3,2,,,,,
Adobo,2,4,2,,,,,
Adobo,2,5,6,,,,,
Adobo,2,6,3,,,,,
Adobo,2,7,6,,,,,
Adobo,2,8,9,,,,,
Adobo,2,9,9,,,,,
Adobo,3,1,0,4,1,8,0.50,0.13
Adobo,3,2,0,,,,,
Adobo,3,3,1,,,,,
Adobo,3,4,4,,,,,
Adobo,3,5,7,,,,,
Adobo,3,6,8,,,,,
Adobo,3,7,8,,,,,
Adobo,3,8,10,,,,,
Adobo,4,1,3,,,,,
Adobo,4,2,3,,,,,
Adobo,4,3,6,,,,,
Adobo,4,4,7,,,,,
Adobo,4,5,9,,,,,
Adobo,4,6,10,,,,,
Adobo,5,1,0,3,1,5,0.60,0.20
Adobo,5,2,4,,,,,
Adobo,5,3,6,,,,,
Adobo,5,4,8,,,,,
Adobo,5,5,10,,,,,
Adobo,6,1,2,4,1,5,0.80,0.20
Adobo,6,2,6,,,,,
Adobo,6,3,4,,,,,
Adobo,6,4,9,,,,,
Adobo,6,5,8,,,,,
Habanero,1,1,0,4,2,8,0.50,0.25
Habanero,1,2,1,,,,,
Habanero,1,3,5,,,,,
Habanero,1,4,4,,,,,
Habanero,1,5,7,,,,,
Habanero,1,6,5,,,,,
Habanero,1,7,9,,,,,
Habanero,1,8,10,,,,,
Habanero,2,1,1,4,2,7,0.57,0.29
Habanero,2,2,2,,,,,
Habanero,2,3,3,,,,,
Habanero,2,4,5,,,,,
Habanero,2,5,7,,,,,
Habanero,2,6,10,,,,,
Habanero,2,7,9,,,,,
Habanero,3,1,4,6,1,7,0.86,0.14
Habanero,3,2,5,,,,,
Habanero,3,3,4,,,,,
Habanero,3,4,3,,,,,
Habanero,3,5,6,,,,,
Habanero,3,6,8,,,,,
Habanero,3,7,10,,,,,
Habanero,4,1,0,3,2,6,0.50,0.33
Habanero,4,2,5,,,,,
Habanero,4,3,5,,,,,
Habanero,4,4,5,,,,,
Habanero,4,5,9,,,,,
Habanero,4,6,9,,,,,
Habanero,5,1,0,3,1,5,0.60,0.20
Habanero,5,2,3,,,,,
Habanero,5,3,3,,,,,
Habanero,5,4,8,,,,,
Habanero,5,5,10,,,,,
Habanero,6,1,1,1,2,4,0.25,0.50
Habanero,6,2,4,,,,,
Habanero,6,3,9,,,,,
Habanero,6,4,10,,,,,
Mole,1,1,2,6,1,7,0.86,0.14
Mole,1,2,5,,,,,
Mole,1,3,3,,,,,
Mole,1,4,4,,,,,
Mole,1,5,7,,,,,
Mole,1,6,9,,,,,
Mole,1,7,8,,,,,
Mole,2,1,0,6,2,11,0.55,0.18
Mole,2,2,0,,,,,
Mole,2,3,0,,,,,
Mole,2,4,3,,,,,
Mole,2,5,3,,,,,
Mole,2,6,3,,,,,
Mole,2,7,4,,,,,
Mole,2,8,10,,,,,
Mole,2,9,8,,,,,
Mole,2,10,7,,,,,
Mole,2,11,10,,,,,
Mole,3,1,0,8,2,11,0.73,0.18
Mole,3,2,2,,,,,
Mole,3,3,6,,,,,
Mole,3,4,4,,,,,
Mole,3,5,7,,,,,
Mole,3,6,7,,,,,
Mole,3,7,5,,,,,
Mole,3,8,9,,,,,
Mole,3,9,7,,,,,
Mole,3,10,8,,,,,
Mole,3,11,9,,,,,
Mole,4,1,0,4,1,6,0.67,0.17
Mole,4,2,5,,,,,
Mole,4,3,5,,,,,
Mole,4,4,6,,,,,
Mole,4,5,8,,,,,
Mole,4,6,10,,,,,
Mole,5,1,0,5,1,7,0.71,0.14
Mole,5,2,5,,,,,
Mole,5,3,7,,,,,
Mole,5,4,8,,,,,
Mole,5,5,8,,,,,
Mole,5,6,8,,,,,
Mole,5,7,9,,,,,
Mole,6,1,7,2,2,4,0.50,0.50
Mole,6,2,6,,,,,
Mole,6,3,9,,,,,
Mole,6,4,9,,,,,
Mole,7,1,2,,,5,0.00,0.00
Mole,7,2,5,,,,,
Mole,7,3,7,,,,,
Mole,7,4,8,,,,,
Mole,7,5,10,,,,,
Memela,1,1,2,4,2,6,0.67,0.33
Memela,1,2,4,,,,,
Memela,1,3,6,,,,,
Memela,1,4,7,,,,,
Memela,1,5,9,,,,,
Memela,1,6,9,,,,,
Memela,2,1,1,5,1,7,0.71,0.14
Memela,2,2,4,,,,,
Memela,2,3,3,,,,,
Memela,2,4,4,,,,,
Memela,2,5,3,,,,,
Memela,2,6,8,,,,,
Memela,2,7,9,,,,,
Memela,3,1,2,13,2,15,0.87,0.13
Memela,3,2,3,,,,,
Memela,3,3,4,,,,,
Memela,3,4,6,,,,,
Memela,3,5,3,,,,,
Memela,3,6,4,,,,,
Memela,3,7,4,,,,,
Memela,3,8,6,,,,,
