Bird,Batch,Sex,Trialstolearn,TrialstoreverseR1,Trialstoreverselast,Reversalstopass,TotalLoci_plastic,TotalLoci_wooden,AvgLatencyAttemptNewLoci_plastic,AvgLatencyAttemptNewLoci_wooden,TStrialstolearn,TStrialstoreverseR1,Notes
Tomatillo,1,M,40,50,50,Control,3,NA,317,NA,NA,NA,
Queso,1,M,50,70,70,Control,1,NA,88,NA,330,460,
Tapa,1,F,30,100,100,Control,4,NA,685,NA,450,(629+),
Yuca,3,F,40,80,80,Control,4,4,132,77,NA,NA,
Marisco,3,M,40,50,50,Control,1,2,NA,208,NA,NA,"MAB log experiment ended too early due to experimenter error (timed out on 2 consequetive sessions, not 3)"
Pizza,3,M,50,60,60,Control,0,1,NA,1482,NA,NA,"Detour and DetourA = 0/4 correct, did not complete experiment"
Mofongo,4,M,20,40,40,Control,3,4,502,630,NA,NA,
Taquito,4,M,90,160,160,Control,0,4,NA,100,NA,NA,
Chalupa,1,F,50,90,50,8,0,NA,NA,NA,NA,NA,
Mole,1,M,30,70,50,7,4,4,356,1173,431,307,"MAB log not originally in this sheet, but he completed it in the actual data sheet"
Habanero,1,M,50,80,40,6,4,NA,28,NA,350,290,
Diablo,3,M,20,80,40,8,2,1,25,NA,NA,NA,
Burrito,3,M,40,60,23,8,3,4,76,391,NA,NA,
Adobo,3,M,50,100,50,6,4,4,31,79,NA,NA,
Chilaquile,3,JM,30,40,30,6,4,4,44,170,NA,NA,
Pollito,4,M,40,60,40,8,0,3,NA,668,NA,NA,
Taco,Juv,JM,50,80,80,(Control),1,4,NA,117,NA,NA,"Taco was the first juvenile we tested and we did not put him in the flexibility experiment - he receive 1 reversal and moved on to his next test, so he was essentially a control bird without the matched yellow tube experience"
Memela,1,F,50,60,80,X (11+),NA,NA,NA,NA,NA,NA,
Fideo,2,M,60,70,70,Control,NA,NA,NA,NA,NA,NA,
Avocada,1,F,50,100,100,Control,NA,NA,NA,NA,NA,NA,
Huachinago,3,M,70,NA,NA,Control,NA,NA,NA,NA,NA,NA,
Guacamole,4,M,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,
