,mean,sd,X5.5.,X94.5.,n_eff,Rhat4
MODEL 1 (last reversal): loci solved plastic ~ a[batch] + b*trials,NA,NA,NA,NA,NA,NA
a[1],0.04,0.46,-0.7,0.78,2304,1
a[2],0.29,0.36,-0.3,0.87,2456,1
a[3],-0.78,0.55,-1.65,0.08,2510,1
b    ,-0.22,0.25,-0.63,0.18,2364,1
MODEL 2 (last reversal): loci solved plastic ~ a + b*trials,,,,,,
a ,-0.02,0.24,-0.4,0.35,1466,1
b ,-0.46,0.31,-0.97,-0.01,1383,1
MODEL 3 (last reversal): trials ~ a[batch],,,,,,
a[1],0.09,0.37,-0.48,0.69,2095,1
a[2],-0.21,0.29,-0.68,0.25,1715,1
a[3],0.25,0.39,-0.38,0.86,2161,1
sigma ,1.03,0.21,0.75,1.39,2049,1
MODEL 4: loci solved ~ a[condition],,,,,,
a[1] control,-0.11,0.32,-0.62,0.4,1311,1
a[2] manipulated,0.15,0.39,-0.46,0.8,1222,1
MODEL 5 (first reversal): loci solved plastic ~ a + b*trials,,,,,,
a ,0,0.24,-0.37,0.39,1208,1
b ,-0.44,0.3,-0.94,0.02,1273,1
MODEL 6 (last reversal): loci solved wooden ~ a + b*trials,,,,,,
a ,1.06,0.27,0.63,1.5,1255,1
b ,0.41,0.43,-0.21,1.13,1107,1
MODEL 7: loci solved ~ a[condition],,,,,,
a[1]  control,-0.45,0.4,-1.1,0.18,1161,1
a[2]  manipulated,0.77,0.41,0.13,1.44,1302,1
MODEL 8 (first reversal): loci solved wooden ~ a + b*trials,,,,,,
a ,0.11,0.26,-0.3,0.52,1221,1
b ,-0.5,0.35,-1.09,0.04,1234,1
MODEL 9 (last reversal): avg switch latency plastic ~ a + b*trials,,,,,,
a   ,4.93,0.3,4.45,5.41,1235,1.01
b   ,0.46,0.29,0,0.92,1363,1
phi ,0.93,0.35,0.44,1.55,1476,1
MODEL 10: avg switch latency plastic ~ a[condition],,,,,,
a[1] manipulated,4.07,0.39,3.46,4.68,1027,1
a[2] control,5.18,0.39,4.5,5.76,1006,1
phi  ,0.91,0.41,0.37,1.63,925,1.01
MODEL 11 (first reversal): avg switch latency plastic ~ a + b*trials,,,,,,
a   ,4.93,0.29,4.46,5.39,1488,1
b   ,0.46,0.28,0.02,0.93,1211,1
phi ,0.94,0.36,0.44,1.6,1447,1
MODEL 12 (last reversal): avg switch latency wooden ~ a + b*trials,,,,,,
a   ,5.75,0.28,5.28,6.18,1049,1
b   ,-0.41,0.32,-0.86,0.15,1281,1.01
phi ,1.04,0.42,0.48,1.77,1456,1
MODEL 13: avg switch latency wooden ~ a[condition],,,,,,
a[1] control,5.31,0.42,4.61,5.95,701,1
a[2] manipulated,5.34,0.44,4.61,6,620,1.01
phi  ,0.66,0.32,0.25,1.25,806,1
MODEL 14 (first reversal): avg switch latency wooden ~ a + b*trials,,,,,,
a   ,5.71,0.26,5.28,6.12,1109,1
b   ,-0.5,0.28,-0.89,-0.01,1308,1
phi ,1.08,0.41,0.53,1.8,1347,1
