,mean,sd,X5.5.,X94.5.,n_eff,Rhat4
MODEL 21 (plastic phi): latency ~ a + b*phi,,,,,,
a,4.99,0.31,4.51,5.48,1354,1
b,-0.07,0.24,-0.45,0.31,1769,1
var,0.80,0.31,0.39,1.34,1527,1
MODEL 22 (plastic lambda): latency ~ a + b*lambda,,,,,,
a ,4.97,0.30,4.50,5.46,1547,1
b ,0.32,0.27,-0.10,0.74,1260,1
var,0.87,0.34,0.40,1.46,1425,1
MODEL 23 (plastic both): latency ~ a+ b*phi + c*lambda,,,,,,
a,4.99,0.31,4.52,5.46,1183,1
b,0.33,0.27,-0.09,0.76,1736,1
c,-0.01,0.25,-0.41,0.42,1556,1
var,0.83,0.32,0.39,1.42,1321,1
MODEL 24 (plastic interaction): latency ~ a + b*phi*lambda,,,,,,
a,5.02,0.31,4.51,5.49,886,1
b,0.07,0.21,-0.25,0.42,1256,1
var,0.80,0.30,0.39,1.33,1493,
MODEL 25 (plastic U shaped): latency ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,3.07,0.52,2.29,3.91,1210,1
b ,0.82,0.53,-0.02,1.68,1353,1
c,1.49,0.47,0.76,2.27,1226,1
var,1.27,0.48,0.61,2.12,1456,1
MODEL 26 (plastic phi first): latency ~ a + b*phi,,,,,,
a,4.97,0.30,4.49,5.44,1105,1
b,0.16,0.26,-0.24,0.60,1376,1
var,0.80,0.30,0.39,1.32,1218,1
MODEL 27 (plastic lambda first): latency ~ a + b*lambda,,,,,,
a ,4.95,0.34,4.40,5.47,1284,1
b ,0.20,0.27,-0.53,0.88,1334,1
var,0.80,0.34,0.36,1.41,1614,1
MODEL 28 (wooden phi): latency ~ a + b*phi,,,,,,
a,5.73,0.28,5.27,6.15,1064,1
b,0.47,0.30,0.00,0.94,1144,1
var,1.06,0.44,0.48,1.86,1364,1
MODEL 29 (wooden lambda): latency ~ a + b*lambda,,,,,,
a ,5.76,0.30,5.28,6.21,1373,1
b ,-0.25,0.25,-0.63,0.15,1415,1
var,0.96,0.37,0.35,1.62,1532,1
MODEL 30 (wooden both): latency ~ a+ b*phi + c*lambda,,,,,,
a,5.72,0.31,4.52,5.46,1183,1
b,-0.29,0.27,-0.09,0.76,1736,1
c,0.47,0.25,-0.41,0.42,1556,1
var,1.07,0.32,0.39,1.42,1321,1
MODEL 31 (wooden interaction): latency ~ a + b*phi*lambda,,,,,,
a,5.80,0.30,5.31,6.23,1259,1
b,0.15,0.24,-0.22,0.56,1448,1
var,0.92,0.35,0.44,1.54,1342,1
MODEL 32 (wooden U shaped): latency ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,5.07,0.53,4.20,5.90,739,1
b ,0.68,0.59,-0.23,1.68,867,1
c,0.39,0.77,-0.81,1.62,931,1
var,0.78,0.34,0.34,1.42,932,1
MODEL 33 (wooden phi first): latency ~ a + b*phi,,,,,,
a,5.75,0.30,5.27,6.22,1172,1
b,0.30,0.33,-0.22,0.82,1467,1
var,0.95,0.40,0.43,1.65,1216,1
MODEL 34 (wooden lambda first): latency ~ a + b*lambda,,,,,,
a ,5.76,0.30,5.28,6.21,1250,1
b ,-0.21,0.25,-0.60,0.21,1233,1
var,0.94,0.37,0.45,1.59,1537,1
MODEL 35 (plastic phi): loci solved ~ a + b*phi,,,,,,
a,0.02,0.30,-0.45,0.50,1153,1
b,0.24,0.26,-0.16,0.65,1463,1
MODEL 36 (plastic lambda): loci solved ~ a + b*lambda,,,,,,
a,0.00,0.25,-0.40,0.41,1369,1
b ,0.14,0.22,-0.21,0.49,1200,1
MODEL 37 (plastic both): loci solved ~ a+ b*phi + c*lambda,,,,,,
a,4.99,0.31,4.52,5.46,1183,1
b,0.33,0.27,-0.09,0.76,1736,1
c,-0.01,0.25,-0.41,0.42,1556,1
MODEL 38 (plastic interaction): loci solved ~ a + b*phi*lambda,,,,,,
a,5.02,0.31,4.51,5.49,886,1
b,0.07,0.21,-0.25,0.42,1256,1
MODEL 39 (plastic U shaped): loci solved ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,-0.66,0.50,-1.45,0.15,947,1
b ,1.51,0.60,0.61,2.48,845,1
c,-0.55,0.58,-1.45,0.37,861,1
MODEL 40 (plastic phi first): loci solved ~ a + b*phi,,,,,,
a,0.02,0.26,-0.41,0.42,1313,1
b,0.20,0.22,-0.17,0.54,1624,1
MODEL 41 (plastic lambda first): loci solved ~ a + b*lambda,,,,,,
a ,0.01,0.26,-0.41,0.42,1346,1
b ,0.29,0.23,-0.08,0.66,1536,1
MODEL 42 (wooden phi): loci solved ~ a + b*phi,,,,,,
a,1.35,0.34,0.83,1.90,1329,1
b,-0.08,0.27,-0.52,0.37,1268,1
MODEL 43 (wooden lambda): loci solved ~ a + b*lambda,,,,,,
a,1.34,0.33,0.83,1.87,1566,1
b ,0.20,0.27,-0.24,0.63,1444,1
MODEL 44 (wooden both): loci solved ~ a+ b*phi + c*lambda,,,,,,
a,0.75,0.42,0.07,1.43,1186,1
b,0.37,0.34,-0.18,0.92,1354,1
c,0.56,0.36,-0.01,1.14,1131,1
MODEL 45 (wooden interaction): loci solved ~ a + b*phi*lambda,,,,,,
a,0.92,0.38,0.34,1.53,966,1
b,0.67,0.32,0.17,1.19,952,1
MODEL 46 (wooden U shaped): loci solved ~ a+ b*abs(lambda) + c*abs(phi),,,,,,
a ,0.40,0.50,-0.43,1.20,902,1
b ,1.52,0.75,0.33,2.70,827,1
c,0.43,0.67,-0.60,1.52,1002,1
MODEL 47 (wooden phi first): loci solved ~ a + b*phi,,,,,,
a,1.34,0.34,0.82,1.19,1259,1
b,0.05,0.28,-0.37,0.48,1434,1
MODEL 48 (wooden lambda first): loci solved ~ a + b*lambda,,,,,,
a ,1.34,0.33,0.82,1.88,1283,1
b ,-0.11,0.27,-0.52,0.32,1111,1
