,mean,sd,X5.5.,X94.5.,n_eff,Rhat4
MODEL 7: plastic,,,,,,
intercept,4.99,0.31,4.51,5.48,1354,1
b * phi,-0.07,0.24,-0.45,0.31,1769,1
variance,0.8,0.31,0.39,1.34,1527,1
MODEL 8: plastic,,,,,,
intercept,4.97,0.3,4.5,5.46,1547,1
b * lambda,0.32,0.27,-0.1,0.74,1260,1
variance,0.87,0.34,0.4,1.46,1425,1
MODEL 9: plastic,,,,,,
intercept,4.99,0.31,4.52,5.46,1183,1
b * phi,0.33,0.27,-0.09,0.76,1736,1
c * lambda,-0.01,0.25,-0.41,0.42,1556,1
variance,0.83,0.32,0.39,1.42,1321,1
MODEL 10: plastic,,,,,,
intercept,5.02,0.31,4.51,5.49,886,1
b * phi * lambda,0.07,0.21,-0.25,0.42,1256,1
variance,0.8,0.3,0.39,1.33,1493,
MODEL 11: plastic,,,,,,
intercept,3.07,0.52,2.29,3.91,1210,1
b * abs(phi),0.82,0.53,-0.02,1.68,1353,1
c * abs(lambda),1.49,0.47,0.76,2.27,1226,1
variance,1.27,0.48,0.61,2.12,1456,1
MODEL 12: plastic,,,,,,
intercept,4.97,0.3,4.49,5.44,1105,1
b * phi first,0.16,0.26,-0.24,0.6,1376,1
variance,0.8,0.3,0.39,1.32,1218,1
MODEL 13: plastic,,,,,,
intercept,4.95,0.34,4.4,5.47,1284,1
b * lambda first,0.2,0.27,-0.53,0.88,1334,1
variance,0.8,0.34,0.36,1.41,1614,1
MODEL 14: wooden,,,,,,
intercept,5.73,0.28,5.27,6.15,1064,1
b * phi,0.47,0.3,0,0.94,1144,1
variance,1.06,0.44,0.48,1.86,1364,1
MODEL 15: wooden,,,,,,
intercept,5.76,0.3,5.28,6.21,1373,1
b * lambda,-0.25,0.25,-0.63,0.15,1415,1
variance,0.96,0.37,0.35,1.62,1532,1
MODEL 16: wooden,,,,,,
intercept,5.72,0.31,4.52,5.46,1183,1
b * phi,-0.29,0.27,-0.09,0.76,1736,1
c * lambda,0.47,0.25,-0.41,0.42,1556,1
variance,1.07,0.32,0.39,1.42,1321,1
MODEL 17: wooden,,,,,,
intercept,5.8,0.3,5.31,6.23,1259,1
b * phi * lambda,0.15,0.24,-0.22,0.56,1448,1
variance,0.92,0.35,0.44,1.54,1342,1
MODEL 18: wooden,,,,,,
intercept,5.07,0.53,4.2,5.9,739,1
b * abs(phi),0.68,0.59,-0.23,1.68,867,1
c * abs(lambda),0.39,0.77,-0.81,1.62,931,1
variance,0.78,0.34,0.34,1.42,932,1
MODEL 19: wooden,,,,,,
intercept,5.75,0.3,5.27,6.22,1172,1
b * phi first,0.3,0.33,-0.22,0.82,1467,1
variance,0.95,0.4,0.43,1.65,1216,1
MODEL 20: wooden,,,,,,
intercept,5.76,0.3,5.28,6.21,1250,1
b * lambda first,-0.21,0.25,-0.6,0.21,1233,1
variance,0.94,0.37,0.45,1.59,1537,1
