VideoFileName,Trial,1CorrectChoice,2CorrectChoice,2CorrectChoiceAdapted,Coder1,Coder2,Notes
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,1,-1,-1,-1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,1,0,2,2,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,2,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,3,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,4,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,5,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,6,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,7,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,8,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,9,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,10,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,11,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,12,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,13,-1,-1,-1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,13,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,14,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,15,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,16,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,17,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S1 T1.mp4,18,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S2 T19.mp4Â,19,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S2 T19.mp4Â,20,0,2,2,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S2 T19.mp4Â,21,1,1,1,Maggie MacPherson and Kelsey McCune,Brynna Hood,
A064LR 2019-12-06 Go:No-Go S2 T19.mp4Â,22,0,0,0,Maggie MacPherson and Kelsey McCune,Brynna Hood,
