,color,Trial,rewarded,TrialThisSession,Latency,PeckXY,Location,date,frameRate,expName,session,participant,bird,Notes
1,Green_Replacement.jpg,b,yes,0,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
2,Pink_Replacement.jpg,a,no,1,0.547045700005,[-1.64374817 -5.91749341],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
3,Pink_Replacement.jpg,a,no,1,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
4,Pink_Replacement.jpg,a,no,2,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
5,Green_Replacement.jpg,b,yes,3,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
6,Pink_Replacement.jpg,a,no,4,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
7,Pink_Replacement.jpg,a,no,5,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
8,Green_Replacement.jpg,b,yes,6,1.92893539999,[ 0.2275959  -4.65307174],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
9,Green_Replacement.jpg,b,yes,6,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
10,Pink_Replacement.jpg,a,no,7,1.97985490001,[ 0.2275959  -4.65307174],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
11,Pink_Replacement.jpg,a,no,7,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
12,Green_Replacement.jpg,b,yes,8,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
13,Pink_Replacement.jpg,a,no,9,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
14,Green_Replacement.jpg,b,yes,10,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
15,Pink_Replacement.jpg,a,no,11,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
16,Pink_Replacement.jpg,a,no,12,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
17,Green_Replacement.jpg,b,yes,13,6.43078509999,[ 0.32874963 -4.34961054],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
18,Green_Replacement.jpg,b,yes,13,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
19,Pink_Replacement.jpg,a,no,14,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
20,Pink_Replacement.jpg,a,no,15,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
21,Green_Replacement.jpg,b,yes,16,0.963857700001,[ 6.32210835 -6.77730015],outside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
22,Green_Replacement.jpg,b,yes,16,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
23,Pink_Replacement.jpg,a,no,17,1.8957717,[ 0.32874963 -4.12201464],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
24,Pink_Replacement.jpg,a,no,17,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
25,Green_Replacement.jpg,b,yes,18,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
26,Green_Replacement.jpg,b,yes,19,1.446921,[ 0.42990337 -3.74268814],inside stimulus,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
27,Green_Replacement.jpg,b,yes,19,NA,,,2020_Apr_16_1437,60.0094214793,Inhibition_Task,1,A007-S S1 T1,7,NA
