,bird,session,trialtype,avgfirstlatency
1,35,1,go,5.04160631122125
2,35,1,no go,2.341670311151
3,35,2,go,3.16502249590113
4,35,2,no go,2.1499641387247
5,35,3,go,2.1777039408211
6,35,3,no go,2.90365451062111
7,35,4,go,3.7268107801211
8,35,4,no go,2.7511278268884
9,35,5,go,2.2264828874717
NA,35,5,no go,3.44343310434222
11,35,6,go,2.877834244584
12,35,6,no go,5.22680428057667
13,35,7,go,2.90190954250125
14,35,7,no go,3.198162691855
15,35,8,go,3.19945832419556
16,35,8,no go,4.39175781320333
17,35,9,go,3.01361931311889
18,35,9,no go,9.88509677863
19,64,10,no go,6.249036260008
20,64,10,go,1.724188499995
21,64,11,no go,5.75362436
22,64,11,go,2.85311637777778
23,64,12,no go,3.8695847
24,64,12,go,1.91215066666667
25,64,4,no go,NA
26,64,4,go,5.40772300001
27,64,5,no go,4.14271071428571
28,64,5,go,3.511846537505
29,64,6,no go,7.48427640001
30,64,6,go,8.98847980003
31,64,9,no go,3.75176517142143
32,64,9,go,3.34206551111667
33,64,1,no go,3.84276375
34,64,1,go,2.64365946666667
35,64,7,no go,2.035410460004
36,64,7,go,2.891505170008
37,64,8,no go,2.27379868889111
38,64,8,go,2.382687240001
39,64,2,no go,4.83255805
40,64,2,go,5.23619041111111
41,68,10,go,2.321960160003
42,68,10,no go,4.7569724999925
43,68,11,go,2.75130825
44,68,11,no go,4.31872615555548
45,68,12,go,3.5363546899999
46,68,12,no go,5.04731286666667
47,68,4,go,4.981087090003
48,68,4,no go,5.075077775
49,68,5,go,3.0094189
50,68,5,no go,4.012402780004
51,68,6,go,2.800569955558
52,68,6,no go,3.57825556249375
53,68,9,go,3.42860815554289
54,68,9,no go,4.696158420014
55,68,3,go,3.905639525
56,68,3,no go,0.7726661
57,68,7,go,2.84237127142443
58,68,7,no go,3.55059654444111
59,68,8,go,3.40344337778089
60,68,8,no go,2.22439393333378
61,68,1,go,1.81241695001
62,68,1,no go,4.64948867494
63,68,2,go,0.20503780013
64,68,2,no go,4.2054274999558
65,7,1,no go,1.474224100005
66,7,1,go,2.69262479999525
67,7,10,no go,2.66783244284914
68,7,10,go,2.566605579999
69,7,11,no go,6.205510600005
70,7,11,go,3.4553621888891
71,7,12,no go,2.806713389984
72,7,12,go,2.69361375555444
73,7,13,no go,5.74217412500125
74,7,13,go,2.590737690002
75,7,14,no go,4.860992633339
76,7,14,go,4.092345190018
77,7,15,no go,3.6736319399916
78,7,15,go,3.59033228571
79,7,16,no go,7.06309459999
80,7,16,go,5.048629280006
81,7,2,no go,4.3230874
82,7,2,go,2.32187735
83,7,3,no go,4.18019765
84,7,3,go,3.85316202
85,7,4,no go,2.87337662857143
86,7,4,go,4.36845734285714
87,7,5,no go,3.6030569625
88,7,5,go,3.10852695
89,7,6,no go,3.602818524988
90,7,6,go,5.677920450005
91,7,7,no go,3.23669361111
92,7,7,go,2.8454174888835
93,7,8,no go,3.0604321599987
94,7,8,go,3.87792238889074
95,7,9,no go,3.854282059998
96,7,9,go,3.68701614999375
97,73,1,no go,2.66086064284114
98,73,1,go,1.95129244999653
99,73,10,no go,3.9636418125
100,73,10,go,3.12875845555444
101,73,11,no go,2.68040173334333
102,73,11,go,3.43000266001
103,73,12,no go,8.205992250005
104,73,12,go,3.86799936250625
105,73,2,no go,2.51897525553089
106,73,2,go,3.0769872500089
107,73,3,no go,2.59238171997688
108,73,3,go,1.82822142855629
109,73,4,no go,9.51370240003
110,73,4,go,NA
111,73,5,no go,3.56288850001
112,73,5,go,2.786736100028
113,73,6,no go,5.21933406
114,73,6,go,2.05997750000218
115,73,7,no go,2.02415832222189
116,73,7,go,1.81919565555311
117,73,8,no go,2.7081197899982
118,73,8,go,3.14198548889667
119,73,9,no go,3.1653310999975
120,73,9,go,3.21075437143286
121,86,2,go,7.02120175
122,86,2,no go,4.02290713329333
123,86,1,go,4.33299310001
124,86,1,no go,3.68281853333522
125,86,3,go,4.29133921111556
126,86,3,no go,2.7503309600038
127,86,4,go,2.23172755552411
128,86,4,no go,2.9361300799882
129,86,5,go,2.96401208751087
130,86,5,no go,4.345217490021
131,86,6,go,2.6897150499855
132,86,6,no go,3.02555490000571
133,86,7,go,2.17997881109167
134,86,7,no go,2.313754660028
135,86,8,go,3.52833643752125
136,86,8,no go,2.1949761200224
137,86,9,go,4.014947269997
138,86,9,no go,5.42129329988
139,87,1,no go,4.06059646363036
140,87,1,go,2.88481917135871
141,87,10,no go,6.86336419999
142,87,10,go,2.82082300000333
143,87,2,no go,5.789620500055
144,87,2,go,7.07198070013
145,87,3,no go,5.166301499866
146,87,3,go,5.44766051110333
147,87,4,no go,6.517261240074
148,87,4,go,5.18323771671167
149,87,5,no go,4.70242476665067
150,87,5,go,5.416975160036
151,87,6,no go,4.33427376242
152,87,6,go,6.069637000002
153,87,7,no go,4.12041624282857
154,87,7,go,4.45689695714429
155,87,8,no go,5.03722525714286
156,87,8,go,3.57731888
157,87,9,no go,4.1969384
158,87,9,go,2.81398972222222
159,88,10,go,2.80086938333333
160,88,10,no go,3.04770025
161,88,1,go,3.94036249997714
162,88,1,no go,3.21932931663333
163,88,11,go,4.94934426666667
164,88,11,no go,NA
165,88,12,go,4.3206506
166,88,12,no go,NA
167,88,13,go,3.44221000001
168,88,13,no go,NA
169,88,15,go,2.09183611428857
170,88,15,no go,3.870077299988
171,88,16,go,3.688772199995
172,88,16,no go,0.496541700035
173,88,2,go,3.123006575
174,88,2,no go,2.28564676666667
175,88,4,go,2.56895258333333
176,88,4,no go,4.4786575
177,88,5,go,3.4408785
178,88,5,no go,3.0692153
179,88,6,go,3.6805088125
180,88,6,no go,5.396724
181,88,7,go,4.59564191111444
182,88,7,no go,3.93074195
183,88,8,go,2.1339172
184,88,8,no go,NA
185,88,9,go,3.24403325
186,88,9,no go,5.27117015
187,90,1,go,7.008264540008
188,90,1,no go,4.2101442000012
189,90,10,go,2.67379385999556
190,90,10,no go,2.745218499997
191,90,11,go,1.4304400000018
192,90,11,no go,1.9518389000002
193,90,12,go,2.18480988889222
194,90,12,no go,1.63067444444556
195,90,13,go,2.42726551111122
196,90,13,no go,2.20734456363518
197,90,14,go,4.640573400015
198,90,14,no go,NA
199,90,15,go,7.48736520001
200,90,15,no go,9.51337110001
201,90,16,go,2.47352033333156
202,90,16,no go,3.69120511666433
203,90,17,go,3.539294170006
204,90,17,no go,3.85267387777778
205,90,2,go,1.24283825
206,90,2,no go,0.3684276
207,90,3,go,5.6425619
208,90,3,no go,3.58044342
209,90,4,go,6.1215706
210,90,4,no go,3.64690876666667
211,90,5,go,NA
212,90,5,no go,2.1214843
213,90,7,go,3.16898259999756
214,90,7,no go,1.5147328599994
215,90,8,go,2.302277088889
216,90,8,no go,2.6235556199979
217,90,9,go,2.04312218750025
218,90,9,no go,0.9534786900024
