Date,Experimenter,Batch,ID,Condition,Session,Trial,Trial start time,FirstTouch,SideRewardTakenFrom,AdaptedFirstTouch,SideOfFirstTouch,SideDemonstrated,NumberOfRebaits,Maintenance diet,Notes,TrialsToReverseLast,FlexRatio,AvgLatencyToSwitch
8-Oct-18,KM,1,Queso,Pre-reversal,1,1,,1,Left,1,Left,Left,,,"2020: Corina coded adaptedfirsttouch. 1=correct (around the side), 0=incorrect (tap the plastic)",,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,2,14:29,1,Right,1,Right,Left,,,,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,3,14:30,1,Left,1,Left,Left,,,stepped a little on side of tube before taking cracker,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,4,,0,Left,0,Left,Left,,,,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,5,,1,Left,1,Left,Left,,,,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,6,,1,Left,1,Left,Left,,,,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,7,14:36,1,Left,1,Left,Left,2,,Rebait 2x; Came down and stepped on side of tube before taking cracker,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,8,14:40,1,Left,1,Left,Left,1,,Rebait 1x,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,9,,1,Left,1,Left,Left,2,,Rebait 2x,,,
8-Oct-18,KM,1,Queso,Pre-reversal,1,10,,-1,,-1,,Left,3,,"Rebait 3x, did not come down to participate at all.  End session",,,
9-Oct-18,CL,1,Queso,Pre-reversal,2,10,,1,Left,1,Left,Left,,,9/10 correct responses,,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,1,13:49,1,Left,1,Left,Right,1,,"2020-03-24: Corina coded adaptedfirsttouch. came to the ground, walked all around tube without touching it, drank water and went back to plant after approximately 2 min; came back after rebait",,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,2,13:54,1,Left,1,Left,Right,0,,,,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,3,13:56,1,Right,1,Right,Right,0,,,,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,4,13:58,1,Right,1,Right,Right,1,,Sat futher to the outside of the plant this time so definitely could see the baiting process.  But then flew to perch instead of going for food,,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,5,14:01,1,Right,1,Right,Right,1,,,,,
13-Nov-18,KM,1,Tapa,Pre-reversal,1,6,14:05,-1,,-1,,Right,2,,"After second rebait came down to drink water but did not go to tube, end session",,,
13-Nov-18,KM,1,Tapa,Pre-reversal,2,6,14:51,-1,,-1,,Right,3,,"3 re-baits and she didn't move at all in her plant.  End session, try again tomorrow",,,
14-Nov-18,KM,1,Tapa,Pre-reversal,3,6,10:57,1,Right,1,Right,Right,0,,,,,
14-Nov-18,KM,1,Tapa,Pre-reversal,3,7,10:59,-1,,-1,,Right,2,,"Came down and approached from the left, but stepped on board and it freaked her out so she flew back to her perch; After 2nd rebait she came down for water and did not go to tube. End session",,,
14-Nov-18,KM,1,Tapa,Pre-reversal,4,7,11:57,1,Right,1,Right,Right,0,,,,,
14-Nov-18,KM,1,Tapa,Pre-reversal,4,8,11:58,1,Left,1,Left,Right,0,,,,,
