Date,BirdID,Fledglings,Territory,Year,Aviary
16-Oct-2019,Abeja,,,,no
7-Oct-2019,Adobo,,,,yes
29-Oct-2019,Ahumada Asada,,,,no
1-May-2018,Al Pastor,,,,no
23-Jan-2020,Alma,yes,,2020,no
26-Feb-2019,Aquaman,,yes,2020,no
14-Feb-2019,Avocada,no,,2019,yes
22-Oct-2019,Azucara,,,,no
25 Sept 18,Becky,,,,no
29-Oct-2018,Birria,,,,no
1-May-2018,Botana,,,,no
29-Sept-2019,Burrito,,yes,2020,yes
31-Oct-2018,Calabazo,,yes,2019,no
1-Apr-2019,Cebollita,,,,no
21-Mar-2019,Cemita,yes,,2020,no
1-Aug-2018,Ceviche,,,,no
18-Jan-2019,Chalupa,no,,2019,yes
20 Sept 18,Chalupa,no,,2020,yes
11-Mar-2019,Chancaca,yes,,2020,yes
13-Nov-2019,Chilaquile,,no,2020,no
24-Apr-2018,Chile,,yes,2019,no
17-Jun-2019,Chile,,yes,2020,no
18 Sept 18,Chimichanga,no,,2019,yes
29-Oct-2018,Cochinita,yes,,2019,no
8-Jan-2020,Concha,no,,2020,yes
29-Sept-2019,Conejita,,,,no
16-Apr-2019,Crema,yes,,2019,no
5-Nov-2019,Cúrcuma ,,,,no
18-Sept-2019,Diablo,,yes,2020,yes
23-Dec-2019,Elote,,,,yes
25-Jan-2018,Empanada,,,,yes
1-Oct-2019,Enchilada,yes,,2020,no
5-Mar-2019,Ensalada ,,,,no
31-Jan-2018,Fajita,,,,yes
18-Jan-2019,Fideo,,no,2019,yes
3-Jun-2019,Fideo,,yes,2020,yes
17-Apr-2018,Flauta,,,,no
24-Oct-2018,Fresca,,,,yes
3-Oct-2019,Frijoles,,,,no
23-Apr-2019,Galleta,no,,2020,no
28-Mar-2018,Gordita,,,,no
27-Feb-2020,Guacamole,,no,2020,yes
4-Apr-2019,Guapo,,yes,2019,no
24-Oct-2018,Habanero,,no,2019,yes
17-Dec-2019,Huachinango,,no,2020,yes
24 Sept 18,Jamaica,,,,yes
19-Sept-2019,Kentucky,,,,no
14-Oct-2019,Lechuga,no,,2020,no
6-Nov-2019,Limon ,,,,no
23-May-2019,Mangonada,yes,,2020,no
10-Oct-2019,Marisco,,no,2020,yes
30-Nov-2018,Memela,no,,2019,yes
29-May-2019,Memela,yes,,2020,yes
8-Oct-2019,Migas,,,,no
31-Oct-2018,Mixiote,,yes,2019,no
31-Oct-2018,Mixiote,,no,2020,no
18-Dec-2019,Mofongo,,no,2020,yes
24-Apr-2019,Mole,,yes,2020,yes
17-Oct-2018,Morada,yes,,2020,no
18-Apr-2018,Nacho,,yes,2019,no
18-Apr-2018,Nacho,,yes,2020,no
29-May-2018,Naranja,yes,,2019,no
29-May-2018,Naranja,yes,,2020,no
10-Oct-2018,Nopal,,,,yes
6-Jan-2020,Paella,no,,2020,yes
25-Apr-2018,Palomita,no,,2019,no
2-Oct-2019,Pan dulce,,,,no
24-Apr-2018,Papa,,,,no
4-Nov-2019,Pavo,,yes,2020,yes
18 Sept 18,Peggy,,,,no
17-Jun-2019,Pepino,,no,2020,no
23-Jan-2020,Pernil,,yes,2020,yes
9-Apr-2019,Picante,,yes,2019,no
9-Apr-2019,Picante,,yes,2020,no
12 Sept 18,Pico,,yes,2019,no
12 Sept 18,Pico,,yes,2020,no
19-Sept-2019,Pinto beans,,,,no
21-Nov-2019,Pizza,,no,2020,yes
28-Jan-2019,Platana,,,,yes
16-Feb-2020,Pollito,,no,2020,yes
1-Apr-2019,Pozole,no,,2019,no
19-Feb-2020,Pupusa,,,,yes
17-Apr-2018,Quesadilla,,,,no
5-Oct-2018,Queso,,no,2019,yes
4-Apr-2019,Queso,,no,2020,yes
9-May-2019,Ranchera,,,,no
9-Oct-2018,Roja,,,,no
,Salsa,,,,no
2-Apr-2019,Shakira,no,,2019,no
30-May-2018,Sincronizada,no,,2019,no
30-May-2018,Sincronizada,yes,,2020,no
14-Oct-2019,Sofrita,,,,no
1-Oct-2019,Taco,,no,2020,yes
14-Oct-2019,Tajin,,,,no
18-Sept-2019,Tamale,,,,no
5-Nov-2018,Tapa,no,,2019,yes
18-Apr-2018,Taquito,,yes,2019,no
27-Feb-2020,Taquito,,no,2020,yes
17 Sept 18,Tomatillo,,yes,2020,yes
11-Mar-2019,Torta,,,,no
19-Jun-2018,Tortilla,yes,,2019,no
19-Jun-2018,Tortilla,yes,,2020,no
1-May-2018,Tostada,yes,,2019,no
1-May-2018,Tostada,yes,,2020,no
9-Apr-2019,Tripa,no,,2020,no
6-Nov-2019,Uva,,,,no
8-Jun-2018,Yerba,,,,no
18-Nov-2019,Yuca,yes,,2020,yes
