"","Date","Aviary","ID","Sex","FatScore","mass","Ltarsus","Rtarsus","tarsus","Lwing","Rwing","wing","Season","Experimenter","Body","Fatbin","Body2"
"1","16-Oct-2019","Wild","Abeja","F",3,91,36.5,36.1,36.3,141,142,141.5,"non-breeding","MF",90.3973426511434,1,-0.461300143370493
"4","29-Oct-2019","Wild","Ahumada Asada","F",1,95,37,36,36.5,140,141,140.5,"non-breeding","MF",94.6437751649562,1,0.0771620646041461
"6","23-Jan-2020","Wild","Alma","F",0,82,36.8,37.2,37,136,134,135,"non-breeding","MF",83.0317016121961,0,-1.39528869118782
"8","14-Feb-2019","Wild","Avocada","F",0,103,35.9,34.9,35.4,144,147,145.5,"non-breeding","KM",101.16304293662,0,0.903827579077691
"10","22-Oct-2019","Wild","Azucara","F",1,96,39.4,40.2,39.8,141,141,141,"non-breeding","MF",95.5017834627972,1,0.185960459730696
"12","29-Oct-2018","Wild","Birria","F",1,95,35.1,36.6,35.85,150,146,148,"non-breeding","KM",92.6607077412397,1,-0.174297686625526
"13","1-May-2018","Wild","Botana","F",NA,85,32.1,36.6,34.35,139,138,138.5,"breeding","LB",85.1770777725601,NA,-1.1232476354338
"17","1-Apr-2019","Wild","Cebollita","F",0,103,36.8,36,36.4,133,136,134.5,"breeding","MF",104.453617043818,0,1.32108366250833
"18","21-Mar-2019","Wild","Cemita","F",0,96,41,40.9,40.95,141,143,142,"breeding","MF",95.2273580328856,0,0.151162373941292
"19","1-Aug-2018","Wild","Ceviche","F",NA,94,34.9,33.4,34.15,136,140,138,"breeding","LB",94.3346462275725,NA,0.037963455034579
"21","20 Sept 18","Wild","Chalupa","F",1,93,36.6,36.45,36.525,134,136,135,"non-breeding","KM",94.1701006089541,1,0.017098506203851
"22","11-Mar-2019","Wild","Chancaca","F",1,86,36.8,35.2,36,144,143,143.5,"breeding","KM",84.9436150687872,1,-1.15285150704706
"29","18 Sept 18","Wild","Chimichanga","F",1,100,30.06,30.09,30.075,136,138,137,"non-breeding","KM",100.653637529965,1,0.839233226258052
"30","29-Oct-2018","Wild","Cochinita","F",0,89,34,35.1,34.55,147,145,146,"non-breeding","KM",87.290707980439,0,-0.85523207534323
"31","8-Jan-2020","Wild","Concha","F",0,91,40.3,40.1,40.2,143,144,143.5,"non-breeding","MF",89.8821973402284,0,-0.526622335738049
"33","29-Sept-2019","Wild","Conejita","F",1,85,37.3,40.1,38.7,128,129,128.5,"non-breeding","MF",87.8163245415657,1,-0.788582092532547
"34","16-Apr-2019","Wild","Crema","F",1,98,35,35.1,35.05,144,140,142,"breeding","LB",97.2112613252374,1,0.402728116180946
"35","5-Nov-2019","Wild","Cúrcuma ","F",0,83,39.5,40.3,39.9,135,136,135.5,"non-breeding","MF",83.9178659555392,0,-1.28292001291663
