"","ID","Fledglings","Territory","Year","Aviary","Date","Sex","FatScore","mass","Ltarsus","Rtarsus","tarsus","Lwing","Rwing","wing","Season","Experimenter","Fatbin","Body","Body2","SMI_cat"
"1","Abeja",NA,NA,NA,NA,"16-Oct-2019","F",3,91,36.5,36.1,36.3,141,142,141.5,"non-breeding","MF",1,90.3973426511434,-0.461300143370493,"moderately low"
"2","Ahumada Asada",NA,NA,NA,NA,"29-Oct-2019","F",1,95,37,36,36.5,140,141,140.5,"non-breeding","MF",1,94.6437751649562,0.0771620646041461,"moderate"
"3","Alma",1,"","2020","no","23-Jan-2020","F",0,82,36.8,37.2,37,136,134,135,"non-breeding","MF",0,83.0317016121961,-1.39528869118782,"low"
"4","Avocada",0,"","2019","yes","14-Feb-2019","F",0,103,35.9,34.9,35.4,144,147,145.5,"non-breeding","KM",0,101.16304293662,0.903827579077691,"moderately high"
"5","Azucara",NA,NA,NA,NA,"22-Oct-2019","F",1,96,39.4,40.2,39.8,141,141,141,"non-breeding","MF",1,95.5017834627972,0.185960459730696,"moderate"
"6","Birria",NA,NA,NA,NA,"29-Oct-2018","F",1,95,35.1,36.6,35.85,150,146,148,"non-breeding","KM",1,92.6607077412397,-0.174297686625526,"moderate"
"7","Botana",NA,NA,NA,NA,"1-May-2018","F",NA,85,32.1,36.6,34.35,139,138,138.5,"breeding","LB",NA,85.1770777725601,-1.1232476354338,"low"
"8","Cebollita",NA,NA,NA,NA,"1-Apr-2019","F",0,103,36.8,36,36.4,133,136,134.5,"breeding","MF",0,104.453617043818,1.32108366250833,"high"
"9","Cemita",1,"","2020","no","21-Mar-2019","F",0,96,41,40.9,40.95,141,143,142,"breeding","MF",0,95.2273580328856,0.151162373941292,"moderate"
"10","Ceviche",NA,NA,NA,NA,"1-Aug-2018","F",NA,94,34.9,33.4,34.15,136,140,138,"breeding","LB",NA,94.3346462275725,0.037963455034579,"moderate"
"11","Chalupa",0,"","2019","yes","20 Sept 18","F",1,93,36.6,36.45,36.525,134,136,135,"non-breeding","KM",1,94.1701006089541,0.017098506203851,"moderate"
"12","Chalupa",0,"","2020","yes","20 Sept 18","F",1,93,36.6,36.45,36.525,134,136,135,"non-breeding","KM",1,94.1701006089541,0.017098506203851,"moderate"
"13","Chancaca",1,"","2020","yes","11-Mar-2019","F",1,86,36.8,35.2,36,144,143,143.5,"breeding","KM",1,84.9436150687872,-1.15285150704706,"low"
"14","Chimichanga",0,"","2019","yes","18 Sept 18","F",1,100,30.06,30.09,30.075,136,138,137,"non-breeding","KM",1,100.653637529965,0.839233226258052,"moderately high"
"15","Cochinita",1,"","2019","no","29-Oct-2018","F",0,89,34,35.1,34.55,147,145,146,"non-breeding","KM",0,87.290707980439,-0.85523207534323,"moderately low"
"16","Concha",0,"","2020","yes","8-Jan-2020","F",0,91,40.3,40.1,40.2,143,144,143.5,"non-breeding","MF",0,89.8821973402284,-0.526622335738049,"moderately low"
"17","Conejita",NA,NA,NA,NA,"29-Sept-2019","F",1,85,37.3,40.1,38.7,128,129,128.5,"non-breeding","MF",1,87.8163245415657,-0.788582092532547,"moderately low"
"18","Crema",1,"","2019","no","16-Apr-2019","F",1,98,35,35.1,35.05,144,140,142,"breeding","LB",1,97.2112613252374,0.402728116180946,"moderate"
"19","Cúrcuma ",NA,NA,NA,NA,"5-Nov-2019","F",0,83,39.5,40.3,39.9,135,136,135.5,"non-breeding","MF",0,83.9178659555392,-1.28292001291663,"low"
"20","Elote",NA,NA,NA,NA,"23-Dec-2019","F",0,87,37.1,37.7,37.4,129,131,130,"non-breeding","MF",0,89.4588430193992,-0.580305115720491,"moderately low"
"21","Empanada",NA,NA,NA,NA,"25-Jan-2018","F",NA,96,37.4,37.5,37.45,144,147,145.5,"non-breeding","LB",NA,94.2878846787917,0.0320339302575099,"moderate"
"22","Enchilada",1,"","2020","no","1-Oct-2019","F",1,72,39.9,39.6,39.75,133,136,134.5,"non-breeding","MF",1,73.0161206519895,-2.66529871028957,"low"
"23","Ensalada ",NA,NA,NA,NA,"5-Mar-2019","F",1,94,30.6,31.9,31.25,138,145,141.5,"breeding","KM",1,93.3774748264559,-0.0834091617158246,"moderate"
"24","Fajita",NA,NA,NA,NA,"31-Jan-2018","F",NA,92,32.9,34,33.45,135,134,134.5,"non-breeding","LB",NA,93.2983763886532,-0.0934391149360881,"moderate"
"25","Flauta",NA,NA,NA,NA,"17-Apr-2018","F",NA,96,33.7,33.8,33.75,130,130,130,"breeding","LB",NA,98.7132060903715,0.593179864056226,"moderately high"
