"","ID","Fledglings","Territory","Year","Aviary","Date","Sex","FatScore","mass","Ltarsus","Rtarsus","tarsus","Lwing","Rwing","wing","Season","Experimenter","Fatbin","Body","Body2","SMI_cat"
"1","Adobo",NA,NA,NA,NA,"7-Oct-2019","M",0,143,44.4,45,44.7,164,163,163.5,"non-breeding","MF",0,147.896898716298,-1.55859558696042,"low"
"2","Al Pastor",NA,NA,NA,NA,"1-May-2018","M",NA,172,45.1,44.5,44.8,176,176,176,"breeding","LB",NA,171.199103296535,0.533727238436904,"moderately high"
"3","Aquaman","",1,"2020","no","26-Feb-2019","M",0,147,39.1,39.2,39.15,170,170,170,"non-breeding","KM",0,148.980515107599,-1.46129683989605,"low"
"4","Burrito","",1,"2020","yes","29-Sept-2019","M",0,175,52,50.3,51.15,164,168,166,"non-breeding","MF",0,179.569057537316,1.2852718506738,"high"
"5","Calabazo","",1,"2019","no","31-Oct-2018","M",2,176,40,41.3,40.65,179,178,178.5,"non-breeding","LB",1,173.899366395528,0.776185933585178,"moderately high"
"6","Chile","",1,"2019","no","24-Apr-2018","M",NA,183,43.7,41.7,42.7,173,178,175.5,"breeding","LB",NA,182.41775260596,1.54105836624557,"high"
"7","Chile","",1,"2019","no","17-Jun-2019","M",NA,171,48,47.3,47.65,181,180,180.5,"breeding","MF",NA,167.98219750034,0.244878799167753,"moderate"
"8","Chile","",1,"2020","no","24-Apr-2018","M",NA,183,43.7,41.7,42.7,173,178,175.5,"breeding","LB",NA,182.41775260596,1.54105836624557,"high"
"9","Chile","",1,"2020","no","17-Jun-2019","M",NA,171,48,47.3,47.65,181,180,180.5,"breeding","MF",NA,167.98219750034,0.244878799167753,"moderate"
"10","Diablo","",1,"2020","yes","18-Sept-2019","M",0,177,45.3,46.5,45.9,176,180,178,"non-breeding","MM",0,175.142906600131,0.887844362530407,"moderately high"
"11","Fideo","",0,"2019","yes","18-Jan-2019","M",0,170,46.1,48.2,47.15,177,175,176,"non-breeding","KM",0,169.2084160489,0.354981903328789,"moderate"
"12","Fideo","",1,"2020","yes","18-Jan-2019","M",0,170,46.1,48.2,47.15,177,175,176,"non-breeding","KM",0,169.2084160489,0.354981903328789,"moderate"
"13","Guacamole","",0,"2020","yes","27-Feb-2020","M",0,162,47.1,46.1,46.6,166,168,167,"non-breeding","KM",0,165.710901377011,0.0409373778437195,"moderate"
"14","Guapo","",1,"2019","no","4-Apr-2019","M",0,190,45.8,43.8,44.8,176,177,176.5,"breeding","KM",0,188.83630383149,2.11738500473663,"high"
"15","Habanero","",0,"2019","yes","24-Oct-2018","M",1,155,42.9,44.8,43.85,173,175,174,"non-breeding","KM",1,155.198555758753,-0.902974199698692,"moderately low"
"16","Huachinango","",0,"2020","yes","17-Dec-2019","M",0,165,44.2,42,43.1,170,170,170,"non-breeding","MF",0,167.223027161591,0.176712312058831,"moderate"
"17","Marisco","",0,"2020","yes","10-Oct-2019","M",0,144,47,46.4,46.7,166,179,172.5,"non-breeding","MF",0,144.835569732377,-1.83347466490567,"low"
"18","Mixiote","",1,"2019","no","31-Oct-2018","M",1,158,44.8,45.1,44.95,168,166,167,"non-breeding","LB",1,161.619274182517,-0.326452966815654,"moderate"
"19","Mixiote","",0,"2020","no","31-Oct-2018","M",1,158,44.8,45.1,44.95,168,166,167,"non-breeding","LB",1,161.619274182517,-0.326452966815654,"moderate"
"20","Mofongo","",0,"2020","yes","18-Dec-2019","M",0,174,49.8,49.8,49.8,176,174,175,"non-breeding","MF",0,173.704098795431,0.758652705974134,"moderately high"
"21","Mole","",1,"2020","yes","24-Oct-2018","M",1,161,40.4,39.1,39.75,163,168,165.5,"non-breeding","KM",1,165.46307643371,0.0186849860674289,"moderate"
"22","Nacho","",1,"2019","no","18-Apr-2018","M",NA,176,40.7,40.9,40.8,178,183,180.5,"breeding","LB",NA,172.893957661168,0.685909512034087,"moderately high"
"23","Nacho","",1,"2020","no","18-Apr-2018","M",NA,176,40.7,40.9,40.8,178,183,180.5,"breeding","LB",NA,172.893957661168,0.685909512034087,"moderately high"
