Date,Experimenter,Batch,ID,Experiment,Condition,RewardedStimulus,Program,Program Version,TSFacing,Session,Trial,StartTime,CorrectChoice,"Criterion: choose rewarded color in 17/20 trials - do not need to adhere to at least 8/10 or 9/10 per 10-trial set, just need to get 85% correct if they are over 150 trials",Time maintenance diet removed,Notes,LatencyFirstPeckToScreen
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,1,11:25,-1,,,HEART = rewarded; Queso was looking in and around the hopper for freebies and did not see the stimulus before it disappeared,NA
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,1,,0,,,,0.5
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,2,,0,,,,5
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,3,,1,,,,8.8
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,4,,0,,,,4.3
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,5,,0,,,,5.7
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,6,,1,,,,9.1
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,7,,0,,,,5.4
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,8,,1,,,,1.9
1-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,1,9,,1,,Returned 1300,Program ended because it was 10 trials - changed program to have 25 trials so we can do 20 trial sessions.  Also increased food reward time from 3 to 7 seconds,3.9
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,10,9:30,0,4/10 correct,Removed 0810,,7.3
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,11,,1,,,,3.2
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,12,,-1,,,,NA
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,12,,1,,,,2.9
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,13,,0,,,,2.5
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,14,,1,,,,1.2
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,15,,1,,,,4.2
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,16,,0,,,,1.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,17,,-1,,,,NA
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,17,,0,,,,6.7
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,18,,0,,,,0.9
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,19,,1,,,,8.2
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,2,20,,-1,,,"Bath time, end session",NA
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,20,10:56,1,6/10 correct,,,4.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,21,,0,,,,7.9
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,22,,0,,,,6.2
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,23,,1,,,,2.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,24,,0,,,,2.7
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,25,,1,,,,1.4
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,26,,1,,,,1.3
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,27,,0,,,,2.4
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,28,,1,,,,7.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,29,,0,,,,3.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,30,,1,5/10 correct,,,5.7
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,31,,0,,,,2.8
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,32,,0,,,,1.1
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,33,,1,,,,7.4
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,34,,0,,,,2.4
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,35,,1,,,,8.6
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,36,,1,,,,2.8
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,37,,0,,,,7
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,38,,1,,,,0.9
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,39,,0,,,,5.4
2-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,3,40,,1,5/10 correct,Returned 11:45,,1.4
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,41,11:15,0,,Removed 0900,,6.2
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,42,,1,,,,5.9
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,43,,0,,,,3.3
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,44,,1,,,,1.4
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,45,,0,,,,2.1
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,46,,-1,,,,NA
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,46,,1,,,,2.4
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,47,,0,,,,3.2
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,48,,1,,,,4.1
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,49,,0,,,,1.5
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,50,,0,4/10 correct,,,2.5
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,51,,1,,,,1.5
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,52,,0,,,,1.1
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,53,,1,,,,0.9
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,54,,0,,,,5.7
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,55,,1,,,,2.5
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,56,,1,,,,4
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,57,,0,,,,1.3
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,58,,1,,,,8.8
3-Apr-19,KM,1,Queso,GoNoGo,Control,Heart,inhibition_task_green_rewarded.psyexp,,,4,59,,0,,,,2.1
