"","BirdID","Site","LatencyFirstLand","DurationNear","hr","Sex","History","Breeding.Sites","Food.Sites","SMI","Group.Size","Season"
"1","Adobo","AZ",974.7,1766.5,1.74343,"M",71,12,19,146.454083,2,"non-breeding"
"2","Akxi","CA",1063.5,303.9,2.09304105787335,"M",33,0,1,176.83,2,"non-breeding"
"6","Bacmut","CA",305.5,336.5,107.984539410872,"M",35,0,27,161.25,7,"both"
"7","Bunuelo","CA",279.5,490.2,1.04451137704295,"M",30,0,13,186.44,1,"breeding"
"8","Burrito","AZ",42.2,1482.8,0.273609164497061,"M",86,6,10,177.8943687,1,"both"
"10","Camote","CA",2626,11.5,0.43782592,"M",38,1,17,175.14,6,"both"
"12","Chalupa","AZ",1406.6,257.1,0.206311358426911,"F",125,4,16,94.16656889,6,"both"
"14","Chilaquile","AZ",375.3,904.8,0.197108739469992,"M",56,3,9,146.5362354,2,"non-breeding"
"15","Chile","AZ",120,300,0.147060552695617,"M",0,6,7,166.8141913,2,"both"
"18","Churro","CA",999.9,152.4,0.02335267,"M",28,0,14,168.7,4,NA
"22","Cuervo","CA",1426.7,476.4,27.210557036687,"M",22,2,37,163.73,6,"both"
"23","Cutuy","CA",279,605.1,0.3998592,"F",25,3,44,106.73,5,"both"
"24","Diablo","AZ",3060,0,0.324934046917611,"M",96,4,3,173.8558221,3,"both"
"25","Dulce","CA",864.2,199.5,0.94768702,"M",28,5,25,207.36,4,"both"
"27","Fideo","AZ",2179.5,35,0.631261995886726,"M",137,16,8,167.9107291,8,"both"
"29","Galandra","CA",108.8,1627.4,0.6131505,"F",42,0,41,94.58,11,"both"
"31","Habanero","AZ",285,942.5,9.016253,"M",182,21,24,357.329521,1,"breeding"
"32","Helado","CA",2694.5,15.4,4.70678697862415,"M",49,1,17,183.66,3,"breeding"
"34","Kau","CA",109.2,2535.7,85.3186447628026,"M",36,0,22,162,6,"non-breeding"
"35","Kel","CA",1024.3,160.2,915.288637226001,"F",43,7,44,106.43,8,"both"
"37","Marisco","AZ",2480,1.3,0.127356625025345,"M",162,0,5,143.6423473,1,"breeding"
"41","Mofongo","AZ",67.8,935.3,0.923859651272831,"M",149,5,6,172.3438759,4,"breeding"
"42","Mole","AZ",43.3,1657.3,5.080269,"M",182,2,1,163.9058159,1,"breeding"
"53","Pina","CA",2726.4,0,0.68706676,"F",62,0,38,114.41,8,"non-breeding"
"54","Pizza","AZ",1430.7,151.7,0.226992523837069,"M",161,1,7,158.6593693,2,"breeding"
"55","Pollito","AZ",904.6,640,0.0266366874892862,"M",88,1,5,169.8861494,1,"breeding"
"56","Polvorones","CA",703.8,472.5,48.3561292664696,"M",74,5,52,176,3,"both"
"59","Queso","AZ",389.9,289.8,0.154716179865738,"M",183,0,4,156.181693,3,"both"
"60","Quiscalus","CA",421.3,234,71.0122965426731,"F",27,0,30,95.05,4,"non-breeding"
"62","Sopapilla","CA",408.7,110.3,1.30291785032007,"F",28,3,44,106.37,2,"both"
"63","Taco","AZ",78.6,1020.9,0.862265225804086,"M",52,6,18,144.7735109,5,"both"
"64","Talingo","CA",1148.5,373.1,108.649452460609,"M",27,0,28,160.36,2,"both"
"65","Tapa","AZ",1283.7,122.9,0.202677175491987,"F",182,6,7,89.02091128,5,"both"
"66","Taquito","AZ",1975.1,671.5,0.162029510015438,"M",60,8,7,151.1552976,3,"both"
"67","Tembleque","CA",374.7,443.9,17.4882506015163,"M",74,5,24,164.25,4,"both"
"68","Tomatillo","AZ",205.8,1366.3,2.027503,"M",125,1,2,NA,2,"both"
"74","Tzanatl","CA",352.9,458.8,141.152033654462,"F",44,0,22,107.05,5,"non-breeding"
"75","Urraca","CA",941.3,100,0.389023,"M",25,0,33,174.39,5,"non-breeding"
"76","Wachil","CA",1242.7,196,18.4969195144145,"F",41,0,49,96.94,6,"both"
"77","Xango","CA",334.2,452.5,3.8826210017981,"M",76,2,17,185.71,1,"breeding"
"78","Xunub","CA",159.6,1016.1,73.4615832448461,"M",45,1,44,164.63,2,"both"
"79","Yuca","AZ",774.6,187.6,0.907798468039176,"F",67,5,9,93.12252477,9,"non-breeding"
"81","Zapote","CA",2120.3,119.9,6.22635906508555,"M",55,4,26,207.41,4,"both"
