Bird.Name,Site,Latency,Duration,Sex,History,Breeding.Sites,Food.Sites,SMI,Group.Size,Season,NB,B,Season_ratio
Adobo,AZ,874.6,1766.5,M,71,12,19,146.454083,2,non-breeding,605,0,0
Avocada,AZ,611.8,973.4,F,120,21,36,100.9705321,NA,breeding,0,93,1
Burrito,AZ,79.4,1482.8,M,86,6,10,177.8943687,1,both,353,299,0.458588957
Chalupa,AZ,836.2,257.1,F,125,4,16,94.16656889,6,both,95,161,0.62890625
Chilaquile,AZ,629.6,904.8,M,56,3,9,146.5362354,2,non-breeding,726,0,0
Chile,AZ,120,300,M,0,6,7,166.8141913,2,both,70,346,0.831730769
Concha,AZ,NA,NA,F,40,1,7,89.74211447,2,both,844,206,0.196190476
Diablo,AZ,3060,0,M,96,4,3,173.8558221,3,both,307,211,0.407335907
Fideo,AZ,3060,35,M,137,16,8,167.9107291,8,both,80,328,0.803921569
Guacamole,AZ,NA,NA,M,52,5,6,164.1936271,1,breeding,0,779,1
Habanero,AZ,285,942.5,M,182,21,24,357.329521,1,breeding,0,46,1
Huachinango,AZ,NA,NA,M,94,0,6,165.7762107,2,non-breeding,1158,0,0
Marisco,AZ,1900,1.3,M,162,0,5,143.6423473,1,breeding,0,1781,1
Mofongo,AZ,89.8,935.3,M,149,5,6,172.3438759,4,breeding,0,1013,1
Mole,AZ,72.8,1657.3,M,182,2,1,163.9058159,1,breeding,0,522,1
Pernil,AZ,NA,NA,M,28,0,6,167.6273492,2,non-breeding,1019,0,0
Pizza,AZ,1462,151.7,M,161,1,7,158.6593693,2,breeding,0,1091,1
Pollito,AZ,918.2,640,M,88,1,5,169.8861494,1,breeding,0,1078,1
Pupusa,AZ,NA,NA,F,48,3,2,91.27517083,2,breeding,0,421,1
Queso,AZ,296.2,289.8,M,183,0,4,156.181693,3,both,122,281,0.697270471
Taco,AZ,61.2,1020.9,M,52,6,18,144.7735109,5,both,410,49,0.106753813
Tapa,AZ,1283.7,122.9,F,182,6,7,89.02091128,5,both,76,107,0.584699454
Taquito,AZ,3060,671.5,M,60,8,7,151.1552976,3,both,17,1595,0.989454094
Tomatillo,AZ,391.6,1366.3,M,125,1,2,NA,2,both,32,179,0.848341232
Yuca,AZ,624.6,187.6,F,67,5,9,93.12252477,9,non-breeding,592,0,0
Akxi,CA,1048,303.9,M,33,0,1,176.83,2,non-breeding,180,0,0
Alegria,CA,716.4,295.2,F,131,NA,NA,109.76,NA,NA,NA,NA,NA
Bacmut,CA,307,336.5,M,35,0,27,161.25,7,both,418,131,0.238615665
Bunuelo,CA,502.6,490.2,M,30,0,13,186.44,1,breeding,0,124,1
Camote,CA,2715.2,11.5,M,38,1,17,175.14,6,both,221,76,0.255892256
Carlota,CA,1312.4,225.2,F,53,NA,NA,102.78,NA,NA,NA,NA,NA
Changa,CA,543.2,150.5,F,28,NA,NA,106.66,NA,NA,NA,NA,NA
Chocolate,CA,91.4,494.5,F,28,NA,NA,98.01,NA,NA,NA,NA,NA
Churro,CA,797.4,152.4,M,28,0,14,168.7,4,non-breeding,47,0,0
Cocinera,CA,1186.8,101.4,F,44,NA,NA,108.7,NA,NA,NA,NA,NA
Cuervo,CA,1234.6,476.4,M,22,2,37,163.73,6,both,1544,101,0.061398176
Cutuy,CA,520,605.1,F,25,3,44,106.73,5,both,1661,307,0.155995935
Dulce,CA,636.2,199.5,M,28,5,25,207.36,4,both,239,1548,0.866256295
Flan,CA,1049.2,658.4,F,28,NA,NA,98.12,3,NA,NA,NA,NA
Galandra,CA,28.4,1627.4,F,42,0,41,94.58,11,both,951,250,0.208159867
Helado,CA,2640,15.4,M,49,1,17,183.66,3,breeding,0,1077,1
Kau,CA,115,2535.7,M,36,0,22,162,6,non-breeding,855,0,0
Kel,CA,1463.4,160.2,F,43,7,44,106.43,8,both,687,198,0.223728814
Merengue,CA,1076,91.6,M,53,NA,NA,173.23,NA,NA,NA,NA,NA
Pina,CA,2724,0,F,62,0,38,114.41,8,non-breeding,886,0,0
Polvorones,CA,594.2,472.5,M,74,5,52,176,3,both,389,941,0.707518797
Quiscalus,CA,465.2,234,F,27,0,30,95.05,4,non-breeding,653,0,0
Sopapilla,CA,481,110.3,F,28,3,44,106.37,2,both,1117,136,0.108539505
Talingo,CA,1364.4,373.1,M,27,0,28,160.36,2,both,438,88,0.16730038
Tembleque,CA,723.8,443.9,M,74,5,24,164.25,4,both,80,906,0.918864097
Tres Leches,CA,642,50.3,F,28,NA,NA,92.08,1,NA,NA,NA,NA
Tzanatl,CA,403.6,458.8,F,44,0,22,107.05,5,non-breeding,436,0,0
Urraca,CA,614.8,100,M,25,0,33,174.39,5,non-breeding,1210,0,0
Wachil,CA,1160.6,196,F,41,0,49,96.94,6,both,977,59,0.056949807
Xango,CA,514.6,452.5,M,76,2,17,185.71,1,breeding,0,688,1
Xunub,CA,213.2,1016.1,M,45,1,44,164.63,2,both,370,111,0.230769231
Zapote,CA,1492.2,119.9,M,55,4,26,207.41,4,both,171,1092,0.864608076
