BirdID,Test,Condition,Time,LatencyFirstLand,LatencyFirstTimeWithin20cmOfObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear.20cm,TotalDurationFar.20cm,TotalDurationOutOfView,ClosestDistanceToApparatus,TrialDuration,Site,,,
Taquito,Environment,Familiar,1,2121.2,n/a,n/a,0,0,229,2475.8,Far,2704.8,AZ,,,
Taquito,Environment,Novel,1,NA,n/a,n/a,0,0,0,2797.8,OutOfView,2797.8,AZ,,,
Taquito,Environment,Familiar,2,125,1300.4,1300.6,4.4,1.2,1483.2,1233.8,Near,2722.6,AZ,,,
Taquito,Environment,Novel,2,890.2,n/a,n/a,0,0,1343,1370.6,Far,2713.6,AZ,,,
Taquito,Object,Familiar,1,154.6,n/a,n/a,0,0,708,2027,Far,2735,AZ,,,
Taquito,Object,Novel,1,1926.8,n/a,n/a,0,0,229.6,2479.6,Far,2709.2,AZ,,,
Taquito,Object,Familiar,2,74.4,79.4,n/a,0,26.8,2182.6,508,Near,2717.4,AZ,,,
Taquito,Object,Novel,2,1518.4,n/a,n/a,0,0,1039.4,1677.4,Far,2716.8,AZ,,,
Tomatillo,Environment,Familiar,1,95,123.2,2077.8,94.2,51.4,806.2,1791.4,Near,2743.2,AZ,,,
Tomatillo,Environment,Novel,1,391.6,553,n/a,0,264.8,1244.6,1462.2,Touch,2971.6,AZ,,,
Tomatillo,Environment,Familiar,2,517,556.6,1460,7.2,117.2,1250.8,1357,Near,2732.2,AZ,,,
Tomatillo,Environment,Novel,2,20,309,n/a,0,345,878.2,1509.4,Touch,2732.6,AZ,,,
Tomatillo,Object,Familiar,1,2452.6,0,n/a,0,309.8,688.6,1739.2,Touch,2737.6,AZ,,,
Tomatillo,Object,Novel,1,1513,n/a,n/a,0,0,4.8,2715.8,Far,2720.6,AZ,,,
Tomatillo,Object,Familiar,2,334.8,46,n/a,0,49,1150.6,1501,Touch,2700.6,AZ,,,
Tomatillo,Object,Novel,2,3.2,n/a,n/a,0,0,1557,1162.2,Far,2719.2,AZ,,,
Chalupa,Environment,Familiar,1,1098.8,1134.4,1149,0.8,130.6,157.4,2426.8,Near,2715.6,AZ,,,
Chalupa,Environment,Novel,1,836.2,995.8,n/a,0,52.8,263.4,2399.6,Near,2715.8,AZ,,,2700
Chalupa,Environment,Familiar,2,854.8,924.6,935.4,42,22.2,100.6,2540.2,Near,2705,AZ,,,
Chalupa,Environment,Novel,2,1977,n/a,n/a,0,0,198,2517,Far,2715,AZ,,,
Chalupa,Object,Familiar,1,19.4,812.4,n/a,0,2,250.4,2480.6,Near,2733,AZ,,,
Chalupa,Object,Novel,1,NA,n/a,n/a,0,0,0,2751.2,OutOfView,2751.2,AZ,,,
Chalupa,Object,Familiar,2,68,74.4,n/a,0,8.4,759.6,2008.4,Touch,2776.4,AZ,,,
Chalupa,Object,Novel,2,2433.2,n/a,n/a,0,0,66.4,2659.8,Far,2726.2,AZ,,,
Queso,Environment,Familiar,1,620.4,631.8,632,6.4,4.4,203.6,2520.2,Near,2734.6,AZ,,,
Queso,Environment,Novel,1,296.2,1185.8,n/a,0,2,328,2384.6,Near,2714.6,AZ,,,
Queso,Environment,Familiar,2,504.4,504.4,511.6,153.4,50.6,76.6,2467.6,Near,2748.2,AZ,,,
Queso,Environment,Novel,2,483.6,n/a,n/a,0,0,249.6,2458.4,Far,2708,AZ,,,
Queso,Object,Familiar,1,101.2,103,n/a,0,37.2,357.4,2424.2,Touch,2818.8,AZ,,,
Queso,Object,Novel,1,1736,n/a,n/a,0,0,10,2812,Far,2822,AZ,,,
Queso,Object,Familiar,2,836.8,2552.6,n/a,0,13.6,261.6,2440,Touch,2715.2,AZ,,,
Queso,Object,Novel,2,1205,n/a,n/a,0,0,255,2469.8,Far,2724.8,AZ,,,
Mole,Environment,Familiar,1,178.2,198,1303,8.8,140.2,1251.6,1308.2,Near,2708.8,AZ,,,
Mole,Environment,Novel,1,72.8,128.6,454.6,334.8,1680,570,149.4,Touch,2734.2,AZ,,,
Mole,Environment,Familiar,2,57.6,60.6,74,70.4,148.6,440.6,2113,Near,2772.6,AZ,,,
Mole,Environment,Novel,2,13.8,18.4,43.6,301.8,823.8,240.8,1374,Touch,2740.4,AZ,,,
Mole,Object,Familiar,1,4.8,5.8,n/a,0,76.4,1216.4,1467.8,Touch,2760.6,AZ,,,
Mole,Object,Novel,1,671,n/a,n/a,0,0,594.6,2134.2,Far,2728.8,AZ,,,
