dataSheet,pointID,site,firstDetection,distance,sex,age,visualDetect,auralDetect,originalLoc
1,15,CA,-,-,-,-,-,-,-
2,N14,CA,-,-,-,-,-,-,-
3,N13,CA,-,-,-,-,-,-,-
4,N12,CA,-,-,-,-,-,-,-
5,N11,CA,-,-,-,-,-,-,-
6,10,CA,-,-,-,-,-,-,-
7,9,CA,-,-,-,-,-,-,-
8,N8,CA,-,-,-,-,-,-,-
9,7,CA,-,-,-,-,-,-,-
10,N6,CA,-,-,-,-,-,-,-
11,21,CA,-,-,-,-,-,-,-
12,N22,CA,-,-,-,-,-,-,-
13,23,CA,-,-,-,-,-,-,-
14,N24,CA,-,-,-,-,-,-,-
15,N25,CA,-,-,-,-,-,-,-
16,N26,CA,-,-,-,-,-,-,-
17,27,CA,-,-,-,-,-,-,-
18,N28,CA,-,-,-,-,-,-,-
19,N29,CA,-,-,-,-,-,-,-
20,N30,CA,-,-,-,-,-,-,-
21,N45,CA,-,-,-,-,-,-,-
22,N44,CA,-,-,-,-,-,-,-
23,43,CA,-,-,-,-,-,-,-
24,42,CA,-,-,-,-,-,-,-
25,41,CA,-,-,-,-,-,-,-
26,N40,CA,-,-,-,-,-,-,-
27,N39,CA,-,-,-,-,-,-,-
28,N38,CA,-,-,-,-,-,-,-
29,N37,CA,-,-,-,-,-,-,-
30,N36,CA,-,-,-,-,-,-,-
31,5,CA,-,-,-,-,-,-,-
32,N4,CA,-,-,-,-,-,-,-
33,3,CA,-,-,-,-,-,-,-
34,N2,CA,-,-,-,-,-,-,-
35,1,CA,-,-,-,-,-,-,-
36,N16,CA,-,-,-,-,-,-,-
37,N17,CA,-,-,-,-,-,-,-
38,N18,CA,-,-,-,-,-,-,-
39,N19,CA,-,-,-,-,-,-,-
40,20,CA,-,-,-,-,-,-,-
41,N35,CA,-,-,-,-,-,-,-
42,N34,CA,-,-,-,-,-,-,-
43,N33,CA,-,-,-,-,-,-,-
44,32,CA,-,-,-,-,-,-,-
45,N31,CA,-,-,-,-,-,-,-
46,N54,CA,-,-,-,-,-,-,-
47,N55,CA,-,-,-,-,-,-,-
48,N56,CA,-,-,-,-,-,-,-
49,57,CA,-,-,-,-,-,-,-
50,N58,CA,-,-,-,-,-,-,-
51,N59,CA,-,-,-,-,-,-,-
52,60,CA,-,-,-,-,-,-,-
53,N75,CA,-,-,-,-,-,-,-
54,N74,CA,-,-,-,-,-,-,-
55,73,CA,-,-,-,-,-,-,-
56,N72,CA,-,-,-,-,-,-,-
57,71,CA,-,-,-,-,-,-,-
58,N70,CA,-,-,-,-,-,-,-
59,69,CA,-,-,-,-,-,-,-
60,84,CA,-,-,-,-,-,-,-
61,N85,CA,-,-,-,-,-,-,-
62,N86,CA,-,-,-,-,-,-,-
63,N87,CA,-,-,-,-,-,-,-
64,88,CA,-,-,-,-,-,-,-
65,89,CA,-,-,-,-,-,-,-
66,N90,CA,-,-,-,-,-,-,-
67,N102,CA,-,-,-,-,-,-,-
68,103,CA,-,-,-,-,-,-,-
69,104,CA,-,-,-,-,-,-,-
70,N105,CA,-,-,-,-,-,-,-
71,120,CA,-,-,-,-,-,-,-
72,135,CA,-,-,-,-,-,-,-
73,119,CA,-,-,-,-,-,-,-
74,118,CA,-,-,-,-,-,-,-
75,N117,CA,-,-,-,-,-,-,-
76,132,CA,-,-,-,-,-,-,-
77,133,CA,-,-,-,-,-,-,-
78,N134,CA,-,-,-,-,-,-,-
79,150,CA,-,-,-,-,-,-,-
80,149,CA,-,-,-,-,-,-,-
81,148,CA,-,-,-,-,-,-,-
82,N147,CA,-,-,-,-,-,-,-
83,162,CA,-,-,-,-,-,-,-
84,163,CA,-,-,-,-,-,-,-
85,178,CA,-,-,-,-,-,-,-
86,179,CA,-,-,-,-,-,-,-
87,N164,CA,-,-,-,-,-,-,-
88,N165,CA,-,-,-,-,-,-,-
89,N177,CA,-,-,-,-,-,-,-
90,N180,CA,-,-,-,-,-,-,-
91,N195,CA,-,-,-,-,-,-,-
92,N194,CA,-,-,-,-,-,-,-
93,193,CA,-,-,-,-,-,-,-
94,192,CA,-,-,-,-,-,-,-
95,191,CA,-,-,-,-,-,-,-
96,N190,CA,-,-,-,-,-,-,-
97,N205,CA,-,-,-,-,-,-,-
98,N206,CA,-,-,-,-,-,-,-
99,N207,CA,-,-,-,-,-,-,-
100,N208,CA,-,-,-,-,-,-,-
101,209,CA,-,-,-,-,-,-,-
102,210,CA,-,-,-,-,-,-,-
103,225,CA,-,-,-,-,-,-,-
104,221,CA,-,-,-,-,-,-,-
105,220,CA,-,-,-,-,-,-,-
106,222,CA,-,-,-,-,-,-,-
107,223,CA,-,-,-,-,-,-,-
108,224,CA,-,-,-,-,-,-,-
109,N128,CA,-,-,-,-,-,-,-
110,N143,CA,-,-,-,-,-,-,-
111,N142,CA,-,-,-,-,-,-,-
112,N141,CA,-,-,-,-,-,-,-
113,140,CA,-,-,-,-,-,-,-
114,N111,CA,-,-,-,-,-,-,-
115,N112,CA,-,-,-,-,-,-,-
116,N113,CA,-,-,-,-,-,-,-
117,N126,CA,-,-,-,-,-,-,-
118,156,CA,-,-,-,-,-,-,-
119,171,CA,-,-,-,-,-,-,-
120,N129,CA,-,-,-,-,-,-,-
121,204,CA,-,-,-,-,-,-,-
122,219,CA,-,-,-,-,-,-,-
123,N218,CA,-,-,-,-,-,-,-
124,217,CA,-,-,-,-,-,-,-
125,216,CA,-,-,-,-,-,-,-
126,215,CA,-,-,-,-,-,-,-
127,200,CA,-,-,-,-,-,-,-
128,201,CA,-,-,-,-,-,-,-
129,203,CA,-,-,-,-,-,-,-
130,158,CA,-,-,-,-,-,-,-
131,N157,CA,-,-,-,-,-,-,-
132,N155,CA,-,-,-,-,-,-,-
133,170,CA,-,-,-,-,-,-,-
