dataSheet,pointID,site,resurveyed,latitudeDD,longitudeDD,observer,date,wind,noise,cloudCover,timeOfDay,people,notes
1,15,CA,1,38.48607,-121.42484,CLR,18-Jan-2021,5,79.5,10%,8:20,1-5,No grackles
2,N14,CA,1,38.48637,-121.42945,CLR,18-Jan-2021,5,87,5%,8:45,0,No grackles
3,N13,CA,1,38.48631,-121.43616,CLR,18-Jan-2021,5,95,5%,9:06,0,No grackles
4,N12,CA,1,38.48652,-121.44237,CLR,18-Jan-2021,5,66,5%,9:25,1-5,No grackles
5,N11,CA,1,38.48632,-121.44842,CLR,18-Jan-2021,5,93,5%,9:45,0,No grackles
6,10,CA,1,38.48643,-121.45351,CLR,18-Jan-2021,5,64,0%,10:10,0,No grackles
7,9,CA,1,38.48657,-121.45922,CLR,18-Jan-2021,5,99,0%,10:27,1-5,No grackles
8,N8,CA,1,38.48639,-121.46494,CLR,18-Jan-2021,5,60,0%,10:42,1-5,No grackles
9,7,CA,1,38.48668,-121.4707,CLR,18-Jan-2021,5,98,0%,10:59,1-5,No grackles
10,N6,CA,1,38.48686,-121.47646,CLR,18-Jan-2021,5,90,0%,11:11,1-5,No grackles
11,21,CA,1,38.48227,-121.47652,CLR,18-Jan-2021,5,80,0%,11:27,0,No grackles
12,N22,CA,1,38.48226,-121.47065,CLR,18-Jan-2021,5,100,0%,11:46,0,No grackles
13,23,CA,0,38.4821,-121.46505,CLR,18-Jan-2021,4,76,0%,12:01,1-5,No grackles
14,N24,CA,0,38.48176,-121.45956,CLR,18-Jan-2021,4,71,0%,12:18,1-5,No grackles
15,N25,CA,1,38.48211,-121.45359,CLR,18-Jan-2021,5,100,0%,12:30,1-5,No grackles
16,N26,CA,0,38.48171,-121.44798,CLR,18-Jan-2021,3,77,0%,12:46,1-5,No grackles
17,27,CA,1,38.48178,-121.44215,CLR,18-Jan-2021,5,99,0%,12:59,6-10,No grackles
18,N28,CA,1,38.48165,-121.43638,CLR,18-Jan-2021,5,69,0%,13:12,1-5,No grackles
19,N29,CA,1,38.48149,-121.43104,CLR,18-Jan-2021,5,88,0%,13:23,1-5,No grackles
20,N30,CA,1,38.48153,-121.42247,CLR,18-Jan-2021,5,95,0%,13:42,1-5,No grackles
21,N45,CA,1,38.47753,-121.4248,CLR,18-Jan-2021,5,92,0%,13:53,0,No grackles
22,N44,CA,1,38.47753,-121.43138,CLR,18-Jan-2021,4,99,0%,14:14,1-5,No grackles
23,43,CA,1,38.47723,-121.43645,CLR,18-Jan-2021,4,95,0%,14:24,1-5,No grackles
24,42,CA,0,38.47729,-121.44223,CLR,18-Jan-2021,3,82,0%,14:37,1-5,No grackles
25,41,CA,0,38.47734,-121.44795,CLR,18-Jan-2021,4,61,0%,14:49,1-5,No grackles
26,N40,CA,1,38.47754,-121.45255,CLR,18-Jan-2021,5,99,0%,15:07,1-5,No grackles
27,N39,CA,0,38.47706,-121.45956,CLR,19-Jan-2021,4,81,0%,8:25,0,No grackles
28,N38,CA,0,38.47771,-121.46465,CLR,19-Jan-2021,4,94,0%,8:40,0,No grackles
29,N37,CA,1,38.47783,-121.46826,CLR,19-Jan-2021,5,87,0%,9:07,1-5,No grackles
30,N36,CA,0,38.47775,-121.47632,CLR,19-Jan-2021,4,79,0%,9:25,0,No grackles
31,5,CA,0,38.48684,-121.48219,CLR,19-Jan-2021,4,72,0%,9:59,1-5,No grackles
32,N4,CA,0,38.48688,-121.48777,CLR,19-Jan-2021,4,90,0%,10:09,1-5,No grackles
33,3,CA,0,38.48696,-121.4936,CLR,19-Jan-2021,4,62,0%,10:22,1-5,No grackles
34,N2,CA,0,38.48706,-121.49902,CLR,19-Jan-2021,3,91,0%,10:34,1-5,No grackles
35,1,CA,0,38.48713,-121.50506,CLR,19-Jan-2021,4,86,0%,10:45,1-5,No grackles
36,N16,CA,0,38.48261,-121.50505,CLR,19-Jan-2021,4,94,0%,11:00,1-5,No grackles
37,N17,CA,0,38.48268,-121.49941,CLR,19-Jan-2021,4,73,0%,11:14,1-5,No grackles
38,N18,CA,0,38.48237,-121.49371,CLR,19-Jan-2021,4,92,0%,11:26,1-5,No grackles
39,N19,CA,0,38.48224,-121.48798,CLR,19-Jan-2021,3,70,0%,11:37,1-5,No grackles
40,20,CA,0,38.48229,-121.48222,CLR,19-Jan-2021,3,72,0%,11:51,0,No grackles
41,N35,CA,0,38.47801,-121.48246,CLR,19-Jan-2021,3,84,0%,12:05,1-5,No grackles
42,N34,CA,0,38.47793,-121.48796,CLR,19-Jan-2021,3,60,0%,12:18,1-5,No grackles
43,N33,CA,0,38.47806,-121.4938,CLR,19-Jan-2021,3,80,0%,12:32,1-5,No grackles
44,32,CA,0,38.47806,-121.49952,CLR,19-Jan-2021,3,54,0%,12:47,1-5,No grackles
45,N31,CA,0,38.47815,-121.50494,CLR,19-Jan-2021,4,92,0%,13:02,0,No grackles
46,N54,CA,0,38.47287,-121.4595,CLR,20-Jan-2021,1,55,0%,8:29,1-5,No grackles
47,N55,CA,0,38.47323,-121.45377,CLR,20-Jan-2021,1,61,0%,8:29,1-5,No grackles
48,N56,CA,0,38.47296,-121.44831,CLR,20-Jan-2021,1,65,0%,8:54,0,No grackles
49,57,CA,0,38.47278,-121.44232,CLR,20-Jan-2021,1,54,0%,9:08,1-5,No grackles
50,N58,CA,0,38.47276,-121.43627,CLR,20-Jan-2021,0,63,0%,9:23,1-5,No grackles
51,N59,CA,0,38.47278,-121.4306,CLR,20-Jan-2021,0,64,0%,9:43,1-5,No grackles
52,60,CA,0,38.47261,-121.42508,CLR,20-Jan-2021,1,68,0%,9:58,1-5,No grackles
53,N75,CA,0,38.4684,-121.42537,CLR,20-Jan-2021,1,68,0%,10:13,1-5,No grackles
54,N74,CA,0,38.46812,-121.43084,CLR,20-Jan-2021,1,67,0%,10:30,1-5,No grackles
55,73,CA,0,38.46821,-121.43669,CLR,20-Jan-2021,1,52,0%,10:47,0,No grackles
56,N72,CA,0,38.46816,-121.4424,CLR,20-Jan-2021,1,75,0%,11:00,0,No grackles
57,71,CA,0,38.46837,-121.4481,CLR,20-Jan-2021,2,88,0%,11:16,0,No grackles
58,N70,CA,0,38.46833,-121.45404,CLR,20-Jan-2021,1,49,0%,11:27,1-5,No grackles
59,69,CA,0,38.46854,-121.45962,CLR,20-Jan-2021,1,62,0%,11:39,1-5,No grackles
60,84,CA,0,38.46402,-121.45972,CLR,20-Jan-2021,1,57,0%,11:52,1-5,No grackles
61,N85,CA,0,38.46435,-121.4542,CLR,20-Jan-2021,1,70,0%,12:06,1-5,No grackles
62,N86,CA,0,38.46433,-121.44789,CLR,20-Jan-2021,1,62,0%,12:19,1-5,No grackles
63,N87,CA,0,38.46407,-121.44252,CLR,20-Jan-2021,1,65,0%,12:38,1-5,No grackles
64,88,CA,0,38.46366,-121.43679,CLR,20-Jan-2021,1,62,0%,12:52,0,No grackles
65,89,CA,0,38.46363,-121.43101,CLR,20-Jan-2021,1,78,0%,13:02,1-5,No grackles
66,N90,CA,0,38.46356,-121.4251,CLR,20-Jan-2021,1,54,0%,13:18,1-5,No grackles
67,N102,CA,0,38.45989,-121.44258,CLR,21-Jan-2021,1,58,5%,8:30,0,No grackles
68,103,CA,0,38.45912,-121.43689,CLR,21-Jan-2021,1,63,5%,8:43,1-5,No grackles
69,104,CA,0,38.45916,-121.43116,CLR,21-Jan-2021,1,67,5%,9:01,0,No grackles
70,N105,CA,0,38.45904,-121.42559,CLR,21-Jan-2021,1,55,5%,9:15,0,No grackles
71,120,CA,0,38.45454,-121.42554,CLR,21-Jan-2021,1,59,5%,9:28,1-5,No grackles
72,135,CA,0,38.45003,-121.42562,CLR,21-Jan-2021,1,59,5%,9:40,0,No grackles
73,119,CA,0,38.45462,-121.43125,CLR,21-Jan-2021,1,58,5%,9:53,0,No grackles
74,118,CA,0,38.4547,-121.43693,CLR,21-Jan-2021,1,53,5%,10:08,1-5,No grackles
75,N117,CA,0,38.45503,-121.44273,CLR,21-Jan-2021,1,59,5%,10:20,1-5,No grackles
76,132,CA,0,38.45026,-121.44281,CLR,21-Jan-2021,1,54,0%,10:35,0,No grackles
77,133,CA,0,38.45016,-121.43706,CLR,21-Jan-2021,1,57,0%,10:49,1-5,No grackles
78,N134,CA,0,38.44991,-121.43132,CLR,21-Jan-2021,1,59,5%,11:02,1-5,No grackles
79,150,CA,0,38.44553,-121.42572,CLR,21-Jan-2021,1,81,5%,11:18,0,No grackles
80,149,CA,0,38.44558,-121.43145,CLR,21-Jan-2021,1,46,5%,11:34,1-5,No grackles
81,148,CA,0,38.44568,-121.43719,CLR,21-Jan-2021,2,50,5%,11:47,1-5,No grackles
82,N147,CA,0,38.44601,-121.44248,CLR,21-Jan-2021,2,62,10%,12:01,0,No grackles
83,162,CA,0,38.44122,-121.443,CLR,21-Jan-2021,2,59,10%,12:18,0,No grackles
84,163,CA,0,38.44123,-121.43726,CLR,21-Jan-2021,1,64,10%,12:32,0,No grackles
85,178,CA,0,38.43667,-121.43741,CLR,21-Jan-2021,2,58,20%,12:46,1-5,No grackles
86,179,CA,0,38.43664,-121.43164,CLR,21-Jan-2021,2,57,40%,13:00,1-5,No grackles
87,N164,CA,0,38.44096,-121.43154,CLR,21-Jan-2021,2,55,40%,13:15,6-10,No grackles
88,N165,CA,0,38.44103,-121.42518,CLR,21-Jan-2021,1,80,50%,13:31,1-5,No grackles
89,N177,CA,0,38.43689,-121.44313,CLR,22-Jan-2021,3,52,20%,8:45,0,No grackles
90,N180,CA,0,38.43627,-121.42589,CLR,22-Jan-2021,3,57,20%,8:59,0,No grackles
91,N195,CA,0,38.43192,-121.42599,CLR,22-Jan-2021,3,74,20%,9:12,1-5,No grackles
92,N194,CA,0,38.43183,-121.43175,CLR,22-Jan-2021,3,63,20%,9:23,0,No grackles
93,193,CA,0,38.43217,-121.43747,CLR,22-Jan-2021,2,47,30%,9:35,0,No grackles
94,192,CA,0,38.43226,-121.44318,CLR,22-Jan-2021,3,67,20%,9:46,0,No grackles
