Bird Name,Date,Time,LatDegrees,LatMinutes,LatSeconds,Latitude,LonDegrees,LonMinutes,LonSeconds,Longitude
Pico,2018-10-17,8:19:00,33,25,6.66,33.41851667,111,56,11.54,-111.9365389
Pico,2018-10-19,8:23:00,33,25,6.77,33.41854722,111,56,11.9,-111.9366389
Pico,2018-10-19,12:55:00,33,25,7.19,33.41866389,111,56,11.06,-111.9364056
Fajita,2018-10-25,3:18:00,33,25,20.48,33.42235556,111,55,28.14,-111.9244833
Fajita,2018-10-26,2:06:00,33,25,23.14,33.42309444,111,55,11.39,-111.9198306
Empanada,2018-10-26,2:06:00,33,25,23.14,33.42309444,111,55,11.39,-111.9198306
Flauta,2018-10-26,2:16:00,33,25,23.14,33.42309444,111,55,11.39,-111.9198306
Taquito,2018-10-29,11:50:00,33,25,11.04,33.41973333,111,55,45.66,-111.92935
Palomita,2018-10-29,12:15:00,33,25,11.04,33.41973333,111,55,45.66,-111.92935
Ceviche,2018-10-29,12:15:00,33,25,11.04,33.41973333,111,55,45.66,-111.92935
Palomita,2018-10-30,7:50:00,33,25,10.91,33.41969722,111,55,47.7,-111.9299167
Birria,2018-10-30,10:46:00,33,25,11.11,33.41975278,111,55,48.61,-111.9301694
Cochinita,2018-10-30,11:21:00,33,25,10.78,33.41966111,111,55,49.41,-111.9303917
Empanada,2018-10-30,2:29:00,33,25,22.57,33.42293611,111,55,11.59,-111.9198861
Cochinita,2018-10-31,11:07:00,33,25,11.39,33.41983056,111,55,49.4,-111.9303889
Taquito,2018-11-01,11:00:00,33,25,17.99,33.42166389,111,55,49.27,-111.9303528
Chile,2018-11-01,11:30:00,33,25,17.03,33.42139722,111,55,49.06,-111.9302944
Palomita,2018-11-02,11:00:00,33,25,12.78,33.42021667,111,55,44.97,-111.9291583
Nacho,2018-11-02,11:15:00,33,25,12.97,33.42026944,111,55,44.89,-111.9291361
Chile,2018-11-02,11:25:00,33,25,13.59,33.42044167,111,55,49.17,-111.930325
Cochinita,2018-11-02,11:35:00,33,25,11.74,33.41992778,111,55,48.57,-111.9301583
Birria,2018-11-02,11:45:00,33,25,11.13,33.41975833,111,55,48.44,-111.9301222
Pico,2018-11-02,9:18:00,33,25,6.71,33.41853056,111,56,12.65,-111.9368472
Jamaica,2018-11-06,9:30:00,33,25,6.71,33.41853056,111,56,13.59,-111.9371083
Taquito,2018-11-06,11:00:00,33,25,11.14,33.41976111,111,55,48.21,-111.9300583
Morada,2018-11-08,7:30:00,33,25,20.09,33.42224722,111,55,57.52,-111.9326444
Tostada,2018-11-08,7:34:00,33,25,20.43,33.42234167,111,55,59.28,-111.9331333
Fajita,2018-11-08,7:36:00,33,25,19.72,33.42214444,111,55,59.5,-111.9331944
Flauta,2018-11-08,11:30:00,33,25,22.91,33.42303056,111,55,11.82,-111.91995
Pico,2018-11-07,7:36:00,33,25,6.87,33.418575,111,56,11.19,-111.9364417
Jamaica,2018-11-07,11:30:00,33,25,6.87,33.418575,111,56,11.19,-111.9364417
Morada,2018-11-09,7:29:00,33,25,19.99,33.42221944,111,56,1.24,-111.9336778
Becky,2018-11-09,7:33:00,33,25,20.36,33.42232222,111,55,58.44,-111.9329
Birria,2018-11-09,8:47:00,33,25,8.84,33.41912222,111,55,47.94,-111.9299833
Pico,2018-11-09,9:34:00,33,25,6.85,33.41856944,111,56,11.38,-111.9364944
Jamaica,2018-11-09,9:54:00,33,25,6.39,33.41844167,111,56,8.77,-111.9357694
Becky,2018-11-09,11:21:00,33,25,21.64,33.42267778,111,55,57.16,-111.9325444
Pico,2018-11-13,9:00:00,33,25,7.41,33.418725,111,56,12.17,-111.9367139
Pico,2018-11-15,3:02:00,33,25,7.65,33.41879167,111,56,10.23,-111.936175
Jamaica,2018-11-15,3:02:00,33,25,7.65,33.41879167,111,56,10.23,-111.936175
Jamaica,2018-11-21,8:47:00,33,25,7.58,33.41877222,111,56,11.44,-111.9365111
Pico,2018-11-21,9:34:00,33,25,7.58,33.41877222,111,56,11.44,-111.9365111
Yerba,2018-11-21,9:54:00,33,25,7.58,33.41877222,111,56,11.44,-111.9365111
Chile,2018-11-21,11:21:00,33,25,16.45,33.42123611,111,55,49.53,-111.930425
Peggy,2018-11-21,9:00:00,33,25,16.45,33.42123611,111,55,49.53,-111.930425
Jamaica,2018-11-27,8:10:00,33,25,6.81,33.41855833,111,56,11.71,-111.9365861
Pico,2018-11-27,9:31:00,33,25,5.93,33.41831389,111,56,12.64,-111.9368444
Pico,2018-11-28,1:32:00,33,25,7.24,33.41867778,111,56,11.56,-111.9365444
Yerba,2018-11-28,1:54:00,33,25,7.5,33.41875,111,56,11.32,-111.9364778
Chile,2018-11-29,10:35:00,33,25,21.45,33.422625,111,55,50.66,-111.9307389
Yerba,2018-11-29,12:50:00,33,25,7.22,33.41867222,111,56,11.11,-111.9364194
Pico,2018-12-11,11:49:00,33,25,7.32,33.4187,111,56,11.15,-111.9364306
Jamaica,2018-12-11,11:49:00,33,25,7.32,33.4187,111,56,11.15,-111.9364306
Sincronizada,2018-12-13,9:13:00,33,25,5.82,33.41828333,111,56,12.61,-111.9368361
Pico,2018-12-13,10:49:00,33,25,6.27,33.41840833,111,56,12.38,-111.9367722
Chimichanga,2018-12-14,9:00:00,33,25,6.39,33.41844167,111,56,12.47,-111.9367972
Becky,2018-12-14,2:30:00,33,25,22.53,33.422925,111,55,50.43,-111.930675
Taquito,2018-12-21,10:42:00,33,25,18.43,33.42178611,111,55,49.44,-111.9304
Naranja,2018-12-21,10:42:00,33,25,18.43,33.42178611,111,55,49.44,-111.9304
Chile,2018-12-21,10:42:00,33,25,18.43,33.42178611,111,55,49.44,-111.9304
Tortilla,2018-12-21,12:00:00,33,25,22.74,33.42298333,111,55,51.03,-111.9308417
Birria,2018-12-27,8:42:00,33,25,6.35,33.41843056,111,55,49.24,-111.9303444
