mean,L,H,Rhat,Version,Site,ID
0.193097482,0.154404771,0.233286825,1.000097448,1,AZ,1
0.330400237,0.306852589,0.355202949,1.00033253,1,AZ,2
0.470290725,0.414996814,0.523792666,1.00179224,1,AZ,3
0.476022896,0.421007668,0.536136222,0.99949293,1,AZ,4
0.515494791,0.451855775,0.577867727,0.99935228,1,AZ,5
0.556072769,0.490724357,0.620121417,0.999032318,1,AZ,6
0.580360644,0.490334645,0.667045661,0.999024144,1,AZ,7
0.603905754,0.566359753,0.641900988,0.999296355,1,AZ,8
0.667879692,0.636027055,0.697445204,1.001862057,1,AZ,9
0.732152517,0.68745467,0.771208665,0.999187704,1,AZ,10
0.779903305,0.727233975,0.826751002,0.999075687,1,AZ,11
0.793909946,0.719939464,0.854379336,0.999010621,1,AZ,12
0.816972812,0.782067179,0.849656174,1.00395976,1,AZ,13
0.863626736,0.782640578,0.9341706,0.999414064,1,AZ,14
0.864095221,0.826979973,0.899317191,0.99965624,1,AZ,15
0.888062138,0.83837092,0.933184426,0.999255634,1,AZ,16
0.908920665,0.713257796,0.99278593,1.000428377,1,AZ,17
0.910993924,0.886087834,0.935148361,1.000376516,1,AZ,18
0.958337838,0.925418528,0.984957055,0.999368173,1,AZ,19
0.009255559,0.000771943,0.024987365,1.000534351,1,CA,1
0.149953836,0.12400205,0.1765143,1.001298905,1,CA,2
0.197565417,0.16737365,0.22944645,0.999654722,1,CA,3
0.229032396,0.20747285,0.25213025,0.999832155,1,CA,4
0.25012289,0.006230049,0.82888555,0.999130477,1,CA,5
0.259883418,0.23148105,0.28983605,1.000354988,1,CA,6
0.261246648,0.006332484,0.8552568,0.999242649,1,CA,7
0.264799958,0.004963496,0.85920145,1.000670362,1,CA,8
0.365069705,0.29465935,0.43564925,1.001602381,1,CA,9
0.436696548,0.39312235,0.47768605,1.001085731,1,CA,10
0.524264382,0.45791985,0.5884475,1.001191319,1,CA,11
0.562133575,0.53013095,0.5930904,0.999376554,1,CA,12
0.611033454,0.56606045,0.6559318,0.999490226,1,CA,13
0.635020037,0.55898845,0.70626215,0.999561957,1,CA,14
0.717619016,0.64819835,0.78724565,1.002386025,1,CA,15
0.75744805,0.7329478,0.78077095,1.001756164,1,CA,16
0.784255918,0.74406,0.82416505,0.999648303,1,CA,17
0.784995271,0.7582094,0.81029595,1.004424195,1,CA,18
0.843531674,0.7816366,0.8961494,1.000289108,1,CA,19
0.872850625,0.8459026,0.8986327,0.999150511,1,CA,20
0.955082355,0.93593845,0.9717322,1.003125189,1,CA,21
0.99201474,0.97800525,0.99933665,1.006211552,1,CA,22
0.997692965,0.9938491,0.99973805,1.022241211,1,CA,23
