Variable,M,sd,L,H,n_eff,Rhat4,Site
Latency,-0.54,0.45,-1.23,0.15,1.00,378.74,CA
Duration,0.43,0.43,-0.25,1.10,1.00,416.54,CA
Sex (Female),-0.85,0.82,-2.11,0.49,1.02,131.92,CA
History,-0.36,0.46,-1.16,0.30,1.02,136.81,CA
Breeding.Sites,-0.18,0.44,-0.90,0.54,1.00,188.82,CA
Food.Sites,0.14,0.49,-0.62,0.87,1.00,235.57,CA
SMI,-0.66,0.43,-1.32,0.05,1.00,156.42,CA
Group.Size,0.40,0.47,-0.37,1.17,1.00,187.72,CA
Season (Breeding),0.43,0.83,-0.89,1.75,1.01,125.14,CA
Latency,0.45,0.29,-0.02,0.90,451.47,1.00,AZ
Duration,-0.42,0.31,-0.91,0.09,281.59,1.00,AZ
Sex (Female),0.40,0.77,-0.89,1.65,210.46,1.00,AZ
History,-0.03,0.31,-0.48,0.45,326.36,1.01,AZ
Breeding.Sites,-0.44,0.32,-0.97,0.05,218.64,1.00,AZ
Food.Sites,-0.74,0.31,-1.26,-0.24,165.61,1.00,AZ
SMI,0.17,0.29,-0.26,0.65,476.68,1.00,AZ
Group.Size,-0.14,0.32,-0.66,0.35,163.10,1.00,AZ
Season (Breeding),0.03,0.66,-1.07,1.00,143.22,1.00,AZ
