Response variable,n,mu1,mu2,mu3,mu1_sd,mu2_sd,mu3_sd,Difference crosses zero? S1-S2,Difference crosses zero? S1-S3,Difference crosses zero? S2-S3,Notes
trials to reverse,60,91.00,101.00,81.00,21.00,21.00,21.00,Yes,No,No,
trials to reverse,60,91.00,115.00,81.00,21.00,21.00,21.00,Yes,No,No,
trials to reverse,60,91.00,120.00,81.00,21.00,21.00,21.00,No,Yes,No,
trials to reverse,60,91.00,120.00,79.00,21.00,21.00,21.00,No,No,No,
trials to reverse,60,91.00,120.00,79.00,22.00,22.00,22.00,No,No,No,
trials to reverse,60,91.00,120.00,79.00,23.00,23.00,23.00,No,No,No,
trials to reverse,60,91.00,120.00,79.00,24.00,24.00,24.00,No,Yes,No,
trials to reverse,45,91.00,120.00,79.00,21.00,21.00,21.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,21.00,21.00,21.00,No,No,No,
trials to reverse,45,91.00,120.00,77.00,24.00,22.00,23.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,23.00,22.00,23.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,22.00,22.00,23.00,Yes,No,No,
trials to reverse,45,91.00,120.00,77.00,21.00,22.00,23.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,21.00,21.00,23.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,22.00,22.00,22.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,22.00,22.00,21.00,No,Yes,No,
trials to reverse,45,91.00,120.00,77.00,21.00,22.00,21.00,Yes,No,No,
trials to reverse,18,91.00,101.00,81.00,21.00,21.00,21.00,Yes,Yes,Yes,
trials to reverse,15,91.00,101.00,81.00,21.00,21.00,21.00,Yes,Yes,Yes,
trials to reverse,15,111.00,81.00,71.00,21.00,21.00,21.00,Yes,No,Yes,Needs a 40 trial solving difference between sites to detect differences
trials to reverse,15,111.00,81.00,71.00,30.00,20.00,15.00,Yes,Yes,No,Can detect difference with only 10 trial differences if SD is 20 or 15 in the comparison
loci solved,60,1.90,2.10,3.60,0.50,0.50,0.50,No,No,No,
loci solved,60,1.90,2.10,2.20,0.50,0.50,0.50,Yes,Yes,Yes,
