CodingDate,VideoCoder,VideoFileName,TrialDate,Experimenter,BirdID,Test,Condition,Time,Session,IndicatedTrial,LatencyFirstLand,LatencyFirstLand2,LatencyFirstLandSummedAcrossCol_L_andCol_M,Total seconds in pt1 video (from when experimenter leaves view),"LatencyFirstTimeWithin20cmOfObject (pt2 latency starts at p2 video, so need to add total time of pt1 video to total)",LatencyFirstTimeWithin20cmOfObject (pt2 latency starts from pt1 beginning),LatencyFirstTouchToObject,LatencyFirstEnterTent,TotalDurationInTent,TotalDurationNear<20cm,TotalDurationFar>20cm,TotalDurationOutOfView(sec),ClosestDistanceToApparatus,TrialEndTimeStamp,TrialDuration,Notes
2021-07-01,VK,C101AY 2021-01-20 ExpEnv fam T1 pt1,2021-01-20,ZM,C101AY,Environment,Familiar,1,,1,263.6,n/a,263.6,,263.8,,,357.6,1.8,2.2,258.8,1969.2,Near,2231.8,,
2021-06-29,VK,C101AY 2021-01-20 ExpEnv fam T1 pt2,2021-01-20,ZM,C101AY,Environment,Familiar,1,,1,n/a,37.8,37.8,,106.8,,,107,1,1.2,203.8,343.2,Near,549,,
2021-06-07,VK,C101AY 2021-01-20 ExpEnv nov T1 pt1,2021-01-20,ZM,C101AY,Environment,Novel,1,1,1,514.6,n/a,514.6,,n/a,,,n/a,n/a,n/a,83.6,1967.2,Far,0,,
2021-06-11,VK,C101AY 2021-01-20 ExpEnv nov T1 pt2,2021-01-20,ZM,C101AY,Environment,Novel,1,1,,n/a,75.2,75.2,2053,136.6,2189.6,,n/a,n/a,4.8,232.8,412.2,Near,649.6,,
2021-08-13,AJB,C101AY 2021-01-21 ExpObj fam T1 pt1,2021-01-21,ZM,C101AY,Object,Familiar,1,1,1,935.4,n/a,935.4,,938.8,,,n/a,n/a,7.8,103,2018.2,Near,2128.8,,
2021-08-13,AJB,C101AY 2021-01-21 ExpObj fam T1 pt2,2021-01-21,ZM,C101AY,Object,Familiar,1,1,1,n/a,570.2,570.2,,570.2,,,n/a,n/a,2.2,58.6,574,Near,634.6,,
2021-08-13,AJB,C101AY 2021-01-21 ExpObj nov T1 pt1,2021-01-21,ZM,C101AY,Object,Novel,1,1,1,1345.4,n/a,1345.4,,n/a,,,n/a,n/a,n/a,116.2,2144.4,Far,2260.4,,
2021-08-13,AJB,C101AY 2021-01-21 ExpObj nov T1 pt2,2021-01-21,ZM,C101AY,Object,Novel,1,1,1,n/a,61.2,61.2,,n/a,,,n/a,n/a,n/a,124.2,376,Far,500,,
2021-06-02,VK,C101AY 2021-01-29 ExpEnv fam T2 pt1,2021-01-29,n/a,C101AY,Environment,Familiar,2,1,,1929.8,n/a,1929.8,,1984.8,,,1930,76,2.8,193,2014.4,Near,2286,,
2021-06-02,VK,C101AY 2021-01-29 ExpEnv fam T2 pt2,2021-01-29,n/a,C101AY,Environment,Familiar,2,1,,n/a,n/a,0,,n/a,,,n/a,n/a,n/a,n/a,444,Out of view,443.8,,
2021-06-07,VK,C101AY 2021-01-29 ExpEnv nov T2 pt1,2021-01-29,ZM,C101AY,Environment,Novel,2,1,,153.8,n/a,153.8,,281,281,,n/a,n/a,14.4,569.4,1731.4,Near,2315,,
2021-06-02,VK,C101AY 2021-01-29 ExpEnv nov T2 pt2,2021-01-29,ZM,C101AY,Environment,Novel,2,1,,n/a,n/a,0,,n/a,,,n/a,n/a,n/a,n/a,433.6,Out of view,433.4,,
2021-08-13,AJB,C101AY 2021-01-31 ExpObj fam T2 pt1,2021-01-31,KM,C101AY,Object,Familiar,2,1,1,1070.2,n/a,1070.2,,1070.2,,,n/a,n/a,66.4,226,2013.2,Near,2305.4,,
2021-08-13,AJB,C101AY 2021-01-31 ExpObj fam T2 pt2,2021-01-31,KM,C101AY,Object,Familiar,2,1,1,n/a,n/a,0,,n/a,,,n/a,n/a,n/a,n/a,407.4,OutOfView,407.4,,No Solomon output b/c bird did not come down
2021-08-13,AJB,C101AY 2021-01-31 ExpObj nov T2 pt1,2021-01-31,KM,C101AY,Object,Novel,2,1,1,139.8,n/a,139.8,,n/a,,,n/a,n/a,n/a,190,2110,Far,2299.8,,
2021-08-13,AJB,C101AY 2021-01-31 ExpObj nov T2 pt2,2021-01-31,KM,C101AY,Object,Novel,2,1,1,n/a,n/a,0,,n/a,,,n/a,n/a,n/a,n/a,476,OutOfView,476,,No Solomon output b/c bird did not come down
2021-08-13,AJB,C102OO 2021-01-24 ExpObj fam T1 Pt1,2021-01-24,KM,C102OO,Object,Familiar,1,1,1,n/a,n/a,0,,n/a,,,n/a,n/a,n/a,n/a,2206.2,OutOfView,2206.2,,No Solomon output b/c bird did not come down
2021-08-13,AJB,C102OO 2021-01-24 ExpObj fam T1 Pt2,2021-01-24,KM,C102OO,Object,Familiar,1,1,1,n/a,37.6,37.6,,190.2,,,n/a,n/a,19.8,159.8,358.4,Near,537.8,,
2021-08-13,AJB,C102OO 2021-01-24 ExpObj nov T1 Pt1,2021-01-24,KM,C102OO,Object,Novel,1,1,1,774.4,n/a,774.4,,n/a,,,n/a,n/a,n/a,215.4,1993.4,Far,2208.6,,
